ticker,weight
GOOG,0.0717493894058262
AAPL,0.0637244013911071
AXP,0.0472861311412276
MU,0.032827041409861
BAC,0.028832669183122
NVDA,0.0282113934105942
AMZN,0.0273009803816148
SNDK,0.0271265697489819
KO,0.0252931904624782
INTC,0.0233261992561456
BE,0.0233133458701684
STX,0.0225001483296867
RVMD,0.0223549808524589
NBIS,0.0222010769715732
HUT,0.0218866171968123
WDC,0.0207014413765142
LITE,0.0205297936980167
CIEN,0.0204078457575611
BFLY,0.0201254370256174
COGT,0.0199473234471842
V,0.0156996711000097
CVX,0.0149243912410654
TSM,0.0145498348667524
FIX,0.0145444301748461
GLUE,0.0137827551595271
META,0.0121387086356272
GE,0.0110345570196123
MCO,0.0106946695274254
CAT,0.0098217964662017
AVGO,0.00919397375782325
GEV,0.00874751997726057
CB,0.00731445404407465
PSX,0.00723389418274768
JPM,0.00715170132309871
LRCX,0.00668651628053678
ASML,0.00639841046937851
MA,0.00638276170002323
AMD,0.0063114701624671
GS,0.00611349495363197
C,0.00609365362155655
AMAT,0.00603984834647116
MRK,0.00587981451292069
SCHW,0.00586701342223752
LLY,0.0057147948272589
COF,0.0054677908138263
MS,0.005003442548708
WMT,0.00475639126036522
SU,0.00474934942820089
JNJ,0.00459301426233509
XOM,0.00451421338360207
DAL,0.00436914889195387
BRK-B,0.00411666208441608
FCX,0.0039602863602372
NFLX,0.00380006789545234
RTX,0.00335818264469624
CVNA,0.00309993782022029
SPGI,0.00304024875288018
SPOT,0.00300744930068998
ICE,0.00281861769946052
WBD,0.00271035039614597
DE,0.00248461052852476
CMI,0.00240410324184501
NU,0.00239065591054788
COST,0.00236479887400102
SE,0.00234786215033072
COP,0.0022802466790457
TSLA,0.00222666865564563
CVS,0.00212104054119194
NVS,0.00211155902636986
JCI,0.0020976595591392
BLK,0.00208571302341012
SHEL,0.00201594505619611
TRGP,0.00193601317404775
KR,0.00186703510562499
WFC,0.00175852658499267
RIO,0.00173569898147399
PEP,0.00168349205039835
PM,0.00165422639504196
NTRA,0.00158983202959741
SBUX,0.00156545558234001
RDDT,0.00151095456530627
BBIO,0.00149944868740906
CRS,0.00138511696717064
FWONA,0.00135758814887723
GM,0.00132300974248477
DG,0.00132263681296668
NYT,0.00129847527841468
CSX,0.00128940241433661
APP,0.00126858139927944
TTMI,0.00125973556302846
COHR,0.00123987585817022
ETN,0.00123586170676909
MPC,0.00121976971837861
DASH,0.00121445531418016
KKR,0.00121035413499418
MKSI,0.00116883129913358
WTW,0.00111817272496136
CBRE,0.00111138103429893
ROIV,0.00110501272347145
AIG,0.0010804044172467
CEG,0.001076927657812
STT,0.00107607508972727
MAR,0.00107563190622936
TSN,0.00107284474464239
USFD,0.00104845969039581
MELI,0.00104029596228918
GLW,0.00103875726467267
AZN,0.0010295589930911
BMY,0.000976585161788001
BN,0.000966335630959149
APH,0.000965758437693557
AON,0.000943127557245585
TPR,0.000943120757140469
CART,0.00092103983853552
FDX,0.00091028252963102
ADI,0.000866834049740467
ECHO,0.000846497935408937
ATI,0.000837035681160332
IBKR,0.00082785615833373
MTZ,0.000821754941045896
RIOT,0.000816776881428971
HLT,0.000798378052864974
AXON,0.000772432910789486
VRT,0.000768570801295804
LUV,0.000764986626675644
CLS,0.000760097792590112
TLN,0.000721182438714455
CG,0.000719347513075747
APO,0.000704856893951814
PTGX,0.000698379515793347
SGI,0.000687543760579575
PWR,0.000682793811533945
DKS,0.000673923721936974
MNST,0.000673257145436483
BABA,0.000665314236571914
CPNG,0.000655299179325654
ETSY,0.000636853856821466
RKT,0.000606331427408901
VST,0.000582060465063098
MRVL,0.000572631398820109
FLS,0.00056555341190493
CME,0.000560418641249803
