ticker,weight
A,0.0
AAPL,0.06372440139110716
ABBV,0.0004973786372310015
ABG,0.0
ABNB,0.0
ABT,0.0
ACMR,1.9896409709008928e-05
ACN,0.0
ADBE,0.0
ADI,0.0008668340497404672
ADM,0.00016080824260716726
ADP,0.0
ADSK,0.0
AEE,0.0
AEIS,0.000429775265509704
AEP,0.0003839171858436647
AFRM,0.0002773339614713355
AHR,0.0
AIG,0.0010804044172467023
AIR,4.319286599718877e-05
AKAM,0.0
ALAB,0.00036942992078697185
ALKS,0.0
ALSN,0.00010071654822097593
AMAT,0.006039848346471161
AMD,0.006311470162467104
AME,0.0
AMT,0.0004119799336144432
AMZN,0.027300980381614777
ANET,0.0002490292410569768
AON,0.0009431275572455859
APD,9.960053212391136e-05
APG,0.0002784185846964124
APH,0.000965758437693557
APLD,0.0
APO,0.0007048568939518147
APP,0.0012685813992794376
ARES,0.0
ARM,0.0
ARW,0.0
AS,0.00018996138953769381
ASML,0.006398410469378503
ATI,0.0008370356811603318
AVGO,0.009193973757823253
AWI,0.0
AXON,0.0007724329107894863
AXP,0.0472861311412276
AZN,0.001029579101129944
AZO,0.00010293604123379907
B,0.00011728348005880684
BA,0.0
BABA,0.000665314236571915
BAC,0.028832669183121974
BAX,0.0
BBIO,0.0014994486874090605
BC,0.0002609249778643857
BDX,0.0
BE,0.02331334587016841
BF-A,0.0
BFLY,0.02012543702561743
BG,6.477897071151985e-05
BIDU,0.00010722724873638818
BIIB,0.00015338483409818116
BILL,0.0
BKD,6.448166839645623e-05
BKNG,0.00044441508917245743
BKR,0.0002816400561247444
BLCO,0.00017219514547061018
BLDR,0.0
BLK,0.0020857130234101153
BMRN,0.0
BMY,0.0009765851617880008
BN,0.0009663356309591466
BNY,0.0001560237737230248
BR,0.0
BRK-B,0.004116662084416085
BRKR,0.0
BRO,0.0
BSX,0.0
BTDR,0.0
BTSG,0.00038541592986851146
BWA,0.00014007022657108647
BX,0.00019367320543882573
C,0.0060936536215565554
CAH,0.00019292659544614167
CARR,0.0
CART,0.0009210398385355203
CAT,0.009821796466201703
CB,0.00731445404407465
CBRE,0.0011113810342989262
CCC,0.0
CCJ,0.0
CCL,0.00033864606694400536
CCZ,0.0
CDW,0.0
CEG,0.001076927657812001
CG,0.0007193475130757471
CHD,0.0
CHYM,0.0
CI,0.0
CIEN,0.02040784575756115
CLF,0.00016877267673852926
CLS,0.0007600977925901126
CLX,0.0
CME,0.0005604186412498034
CMI,0.0024041032418450153
CMPX,0.0
CMS,0.0
CNC,0.0
CNI,0.0
COF,0.005467790813826302
COGT,0.01994732344718419
COHR,0.0012398758581702199
COMP,0.00021118684761065913
COO,0.0
COP,0.0022802466790457
COR,8.49659364753668e-05
CORZ,0.0
COST,0.002364798874001018
CPAY,0.0
CPNG,0.0006552991793256545
CPRT,0.0
CPT,0.0002494280154123817
CRBG,0.0
CRH,0.0004955668259716651
CRL,0.0
CRM,0.0
CROX,0.000176540913188131
CRS,0.0013851169671706444
CRWD,0.0
CRWV,0.0
CSCO,0.0005172358037932024
CSGP,0.0
CSX,0.0012894024143366137
CTSH,0.0
CVNA,0.003099937820220287
CVS,0.0021210405411919387
CVX,0.01492439124106537
CZR,0.0
D,0.0
DAL,0.004369168999992483
DAR,0.00016305655445490586
DASH,0.001214455314180164
DDOG,0.0003470893845080746
DE,0.002484610528524757
DECK,0.0
DELL,0.00021312141539544488
DEO,0.0
DG,0.0013226368129666832
DHI,4.4969968106706314e-05
DHR,0.0
DIS,0.0
DKNG,0.0
DKS,0.000673923721936974
DLR,0.0
DOV,0.00042035090065429995
DPZ,0.00011933351173050684
DTE,0.0
DVN,0.0004964092532838155
DXCM,0.0
EBAY,0.0002679029135897319
ECHO,0.0008464979354089376
ECL,0.0
EFX,0.0005000479149984598
EL,0.0
ELV,0.0
EMBJ,0.0
EME,0.0
EMR,0.0
ENTG,0.0
EOG,0.0
EQH,0.0
EQIX,0.0
ETN,0.0012358617067690896
ETR,0.0003041428211768518
ETSY,0.000636853856821466
EW,0.0
FAST,0.0
FBIN,0.0
FCX,0.003960286360237203
FDS,0.0
FDX,0.0009102825296310201
FERG,0.0
FFIV,0.0
FICO,0.0
FISV,0.0
FIVE,0.0005364059601594422
FIX,0.014544430174846123
FLG,5.5582130401105926e-05
FLR,0.0
FLS,0.0005655534119049301
FN,0.000240968599543244
FOX,0.0004491672421085706
FR,0.0
FROG,0.0
FRPT,0.0
FSLR,0.0
FTAI,0.0
FTNT,0.0
FUN,0.0
FWONA,0.0013575881488772277
GD,0.00016877611104458646
GE,0.011034557019612298
GEHC,0.0
GEV,0.008747499869221574
GH,0.00011965469576119591
GL,0.0002009883652893209
GLD,4.897528297950501e-05
GLUE,0.013782735051488262
GLW,0.0010387572646726687
GM,0.0013230097424847688
GNRC,9.006510722049928e-05
GOOG,0.0717493894058262
GPC,0.0005071523067219458
GPN,0.0
GS,0.00611349495363197
GTLB,0.0
GTX,0.00028374703123951954
HAL,0.00023704288513864939
HCA,0.0
HD,0.0003309513775625194
HDB,0.0003209484862018189
HEI,0.00040753703158277077
HII,0.0
HLT,0.0007983780528649747
HON,0.0
HOOD,0.0004381381758311884
HPE,0.0
HRI,0.0
HSIC,0.0
HSY,4.907678657091845e-05
HTZ,0.0
HUM,0.0
HUT,0.021886617196812314
HWM,0.00033177567654848144
IBKR,0.00082785615833373
ICE,0.002818617699460517
IDXX,0.0
IEX,0.0
INSM,0.0
INTC,0.023326199256145586
INTU,0.0
IONS,0.00017407482625449215
IOT,0.0
IQV,0.0
ISRG,0.0
ITT,0.0
J,2.5959022389640418e-05
JCI,0.0020976595591391954
JD,0.00018760631910846626
JNJ,0.004593014262335087
JPM,0.007151701323098714
KDP,0.0
KEEL,0.00013278279795582825
KEY,6.216155621342515e-05
KEYS,0.0
KHC,0.0
KKR,0.0012103541349941808
KLAC,0.0
KO,0.02529319046247822
KR,0.0018670351056249944
KRC,0.0
KSPI,0.0
KVUE,0.0
LAD,0.0
LAMR,0.0
LFUS,0.0
LHX,0.00014702720850663789
LII,0.0
LIN,0.00018506050306737182
LITE,0.02052979369801666
LKQ,0.0
LLY,0.005714794827258904
LLYVB,0.0
LMT,0.0
LOW,0.0002065841991920791
LRCX,0.006686516280536779
LSCC,0.0
LULU,0.0
LUV,0.0007649866266756442
LW,0.0
LYV,0.0004646804689538625
MA,0.006382761700023237
MAR,0.001075631906229362
MAS,0.0
MCD,0.0003996432982485462
MCHP,0.0
MCK,0.00024466417918364905
MCO,0.010694669527425395
MDB,0.0
MDLZ,0.0
MDT,0.0
MEDP,0.00022788566849425026
MELI,0.0010402959622891792
META,0.012138708635627191
MGM,0.0
MHK,0.0
MKL,0.0
MKSI,0.0011688312991335794
MLM,0.0
MNST,0.0006732571454364834
MO,0.00038351616450013837
MPC,0.0012197697183786071
MPWR,0.0
MRK,0.0058798145129206935
MRSH,0.0
MRVL,0.0005726313988201092
MS,0.005003442548708001
MSCI,0.0
MSFT,0.0
MSI,0.0
MTDR,0.0002098884510121641
MTSI,0.0
MTZ,0.0008217549410458961
MU,0.03282704140986105
NBIS,0.022201076971573235
NDAQ,0.0
NEE,0.00016443463330481414
NEM,0.0002779779587685134
NET,0.0
NFLX,0.0038000678954523454
NKE,0.0
NOC,0.0
NOW,0.0
NSC,0.0
NTAP,0.0
NTNX,0.0
NTR,0.0
NTRA,0.001589832029597408
NTRS,3.146535909964982e-05
NU,0.002390655910547884
NVDA,0.028211393410594178
NVO,0.0
NVR,0.0
NVS,0.002111559026369858
NVST,0.00017632207895497005
NXPI,0.0
NYT,0.0012984752784146766
OLN,0.0001857596579284697
ON,0.0
ONTO,0.00034543924965080877
ORCL,0.0
ORLY,0.0003998086987171445
OUT,1.5556057475276662e-05
P,0.0
PANW,0.0
PAYC,0.0
PAYX,0.0
PEP,0.00168349205039835
PFE,0.0
PFGC,0.0
PG,0.0
PGR,0.0003678741998444369
PH,0.0
PHM,0.0
