ticker,sector,industry,market_cap
ASIC,Financial Services,Insurance - Property & Casualty,1357769856
ASML,Technology,Semiconductor Equipment & Materials,611905830912
ASND,Healthcare,Biotechnology,15279173632
ASO,Consumer Cyclical,Specialty Retail,3171312896
ATHM,Communication Services,Internet Content & Information,2483084800
ATI,Industrials,Metal Fabrication,25301819392
ATRO,Industrials,Aerospace & Defense,2887899648
ATVI,,,
AVAV,Industrials,Aerospace & Defense,7967665152
AVGO,Technology,Semiconductors,1614775713792
AVTR,Healthcare,Medical Instruments & Supplies,10547816448
AWI,Industrials,Building Products & Equipment,6677526016
AXON,Industrials,Aerospace & Defense,35529183232
AXP,Financial Services,Credit Services,218631553024
AYI,Industrials,Electrical Equipment & Parts,8933665792
AZN,Healthcare,Drug Manufacturers - General,252889071616
AZO,Consumer Cyclical,Auto Parts,
AZTA,Healthcare,Medical Instruments & Supplies,1450933888
B,Basic Materials,Gold,69818417152
BA,Industrials,Aerospace & Defense,166491439104
BABA,Consumer Cyclical,Internet Retail,273882906624
BAC,Financial Services,Banks - Diversified,415474155520
BALL,Consumer Cyclical,Packaging & Containers,16075435008
BAM,Financial Services,Asset Management,73577390080
BAX,Healthcare,Medical Instruments & Supplies,12260559872
BB,Technology,Software - Infrastructure,4611789824
BBIO,Healthcare,Biotechnology,13181115392
BBWI,Consumer Cyclical,Specialty Retail,3361427456
BBY,Consumer Cyclical,Specialty Retail,19567595520
BC,Consumer Cyclical,Recreational Vehicles,4450935296
BCS,Financial Services,Banks - Diversified,84573216768
BDX,Healthcare,Medical Instruments & Supplies,50495070208
BE,Industrials,Electrical Equipment & Parts,77164691456
BEKE,Real Estate,Real Estate Services,17837148160
BEN,Financial Services,Asset Management,16827506688
BF-A,Consumer Defensive,Beverages - Wineries & Distilleries,12198905856
BFAM,Consumer Cyclical,Personal Services,3256620032
BFH,Financial Services,Credit Services,4111245824
BFLY,Healthcare,Medical Devices,2104984448
BG,Consumer Defensive,Farm Products,23490404352
BHC,Healthcare,Drug Manufacturers - Specialty & Generic,2137356160
BHF,Financial Services,Insurance - Life,2787298048
BHVN,Healthcare,Biotechnology,1828384896
BIDU,Communication Services,Internet Content & Information,30932727808
BIIB,Healthcare,Drug Manufacturers - General,31877924864
BILI,Communication Services,Internet Content & Information,6388457984
BILL,Technology,Software - Application,4278336000
BIO,Healthcare,Medical Devices,10074677248
BJ,Consumer Defensive,Discount Stores,12103485440
BKD,Healthcare,Medical Care Facilities,2794161664
BKNG,Consumer Cyclical,Travel Services,128760324096
BKR,Energy,Oil & Gas Equipment & Services,56294543360
BL,Technology,Software - Application,1728064256
BLCO,Healthcare,Medical Instruments & Supplies,6187888128
BLDR,Industrials,Building Products & Equipment,6450407424
BLK,Financial Services,Asset Management,171162976256
BLMN,Consumer Cyclical,Restaurants,707228800
BLSH,Technology,Software - Infrastructure,5599615488
BMBL,Communication Services,Internet Content & Information,456585984
BMRN,Healthcare,Biotechnology,12415820800
BMY,Healthcare,Drug Manufacturers - General,130100494336
BN,Financial Services,Asset Management,82931859456
BNY,Financial Services,Banks - Diversified,104808873984
BOOT,Consumer Cyclical,Apparel Retail,3859954944
BOX,Technology,Software - Infrastructure,4819863040
BP,Energy,Oil & Gas Integrated,120799346688
BPOP,Financial Services,Banks - Regional,10470516736
BR,Technology,Information Technology Services,19517112320
BRK-B,Financial Services,Insurance - Diversified,1101550452736
BRKR,Healthcare,Medical Devices,8398045184
BRO,Financial Services,Insurance Brokers,22696622080
BRZE,Technology,Software - Application,2921391360
BSX,Healthcare,Medical Devices,63809576960
BSY,Technology,Software - Application,9543114752
BTDR,Technology,Software - Application,2946119424
BTI,Consumer Defensive,Tobacco,121825869824
BTSG,Healthcare,Health Information Services,11551314944
BTU,Energy,Thermal Coal,3243746816
BUD,Consumer Defensive,Beverages - Brewers,156722954240
BURL,Consumer Cyclical,Apparel Retail,14312128512
BV,Industrials,Specialty Business Services,1014433024
BWA,Consumer Cyclical,Auto Parts,12843200512
BWXT,Industrials,Aerospace & Defense,13499582464
BX,Financial Services,Asset Management,151790862336
BYD,Consumer Cyclical,Resorts & Casinos,5565404672
BZ,Communication Services,Internet Content & Information,6761926144
C,Financial Services,Banks - Diversified,226546221056
CABO,Communication Services,Telecom Services,109960664
CACC,Financial Services,Credit Services,6175614464
CAG,Consumer Defensive,Packaged Foods,7147377664
CAH,Healthcare,Medical Distribution,53785460736
