cusip,ticker,was,last_filed,path_gap,quarters,runner_up,runner_up_gap,value_share,how,accepted,now,picked_up,holders,moved,share_ratio,corroborated
741503403,BKNG,PRICELINE GRP INC,2017-12-31,0.0,18,EWP,0.07738,0.08988,price path,True,BOOKING HLDGS INC,2018-03-31,17.0,16.0,0.9582,True
91911K102,BHC,Valeant Pharmaceuticals Intern,2018-06-30,0.0,20,BKD,0.36918,0.07955,price path,True,,,,,,False
339041105,CPAY,FLEETCOR TECHNOLOGIES INC,2023-12-31,1e-05,42,ACI,0.12963,0.04949,price path,True,CORPAY INC,2024-03-31,5.0,5.0,1.0569,True
G60754101,CPRI,MICHAEL KORS HLDGS LTD,2019-03-31,5e-05,23,OILK,0.1567,0.0355,price path,True,,,,,,False
16117M305,CHTR,CHARTER COMMUNICATIONS INC D,2016-03-31,0.0,11,SJM,0.06995,0.03109,price path,True,Charter Communications Inc Del,2016-06-30,19.0,17.0,1.1905,True
580645109,SPGI,McGraw Hill,2016-03-31,0.00403,11,A,0.06912,0.0286,price path,True,,,,,,False
913017109,RTX,United Technologies,2020-03-31,0.00648,27,SCHA,0.07858,0.01567,price path,True,,,,,,False
216648402,COO,COOPER COS INC,2023-12-31,0.00034,42,ESGD,0.12748,0.01167,price path,True,,,,,,False
637071101,NOV,NATIONAL OILWELL VARCO,2020-12-31,0.01149,30,SLB,0.14123,0.01091,price path,True,,,,,,False
N31738102,STLA,FIAT CHRYSLER AUTOMOBILES N,2020-12-31,0.00463,24,BLOK,0.14812,0.00873,price path,True,,,,,,False
F72027109,PRNDY,Pernod Ricard,2026-06-30,0.01632,52,DEO,0.11492,0.00868,price path,True,,,,,,False
124857202,PSKY,CBS CORP,2019-09-30,0.00363,25,RRX,0.12383,0.00831,price path,True,,,,,,False
N59465109,VTRS,MYLAN N V,2020-09-30,0.0,22,FLJP,0.15342,0.0082,price path,True,VIATRIS INC,2020-12-31,5.0,5.0,0.9951,True
260543103,DD,Dow Chemical,2017-06-30,0.00916,16,SSO,0.07189,0.00743,price path,True,,,,,,False
03965L100,HWM,ARCONIC INC,2020-03-31,0.00321,13,URI,0.18004,0.00629,price path,True,,,,,,False
780259206,SHEL,Royal Dutch Shell PLC Spon ADR,2021-12-31,0.01843,34,IXC,0.08786,0.00611,price path,True,,,,,,False
50540R409,LH,LABORATORY CORP AMER HLDGS,2024-06-30,0.00318,44,HYI,0.10162,0.00598,price path,True,,,,,,False
037411105,APA,Apache Corp,2020-12-31,0.00775,30,OIH,0.14794,0.00582,price path,True,,,,,,False
G96666105,WTW,WILLIS GROUP HOLDINGS PUBLIC,2015-12-31,0.00732,10,ROP,0.05435,0.00574,price path,True,,,,,,False
37733W105,GSK,"GLAXO SMITHKLINE PLC, ADR",2022-09-30,0.01494,37,EFAV,0.11196,0.00545,price path,True,,,,,,False
20854P109,CNX,CONSOL Energy Inc.,2017-09-30,0.00258,17,OKE,0.17477,0.00525,price path,True,,,,,,False
G27823106,APTV,DELPHI AUTOMOTIVE PLC,2017-09-30,0.00437,17,XHE,0.09326,0.00507,price path,True,APTIV PLC,2017-12-31,7.0,6.0,0.994,True
112585104,BN,BROOKFIELD ASSET MGMT INC,2022-09-30,0.01576,37,QTUM,0.07062,0.00485,price path,True,BROOKFIELD CORP,2022-12-31,10.0,10.0,1.0,True
292505104,OVV,ENCANA CORP,2019-12-31,0.00461,23,FET,0.1777,0.00463,price path,True,,,,,,False
74005P104,LIN,Praxair,2018-09-30,0.00697,21,EWC,0.06495,0.00449,price path,True,,,,,,False
22943F100,TCOM,Ctrip.com International Ltd  A,2019-09-30,0.00041,25,JD,0.17323,0.00444,price path,True,,,,,,False
72766Q105,ESI,PLATFORM SPECIALTY PRODUCTS CO,2018-12-31,0.0001,19,INSW,0.17131,0.00387,price path,True,,,,,,False
03768E105,APO,APOLLO GLOBAL MGMT INC,2021-12-31,0.01306,9,GOLF,0.1061,0.00354,price path,True,,,,,,False
44919P508,PPLI,IAC Interactivecorp,2020-06-30,0.00515,28,IBUY,0.15465,0.00346,price path,True,,,,,,False
469814107,J,Jacobs Engineering Group Inc,2022-06-30,0.00247,36,RYLD,0.09035,0.00335,price path,True,,,,,,False
871503108,GEN,SYMANTEC CORP,2019-09-30,0.00726,25,ESGE,0.13608,0.00325,price path,True,,,,,,False
74876Y101,IQV,QUINTILES TRANSNATIO HLDGS I,2017-09-30,0.00041,17,IXJ,0.06891,0.00306,price path,True,IQVIA HLDGS INC,2017-12-31,13.0,11.0,0.9533,True
205363104,DXC,COMPUTER SCIENCES CORP,2017-03-31,0.00564,15,PRI,0.13255,0.00296,price path,True,,,,,,False
675746309,ONIT,OCWEN FINANCIAL CORP,2020-06-30,0.0026,20,SDEM,0.21304,0.0029,price path,True,,,,,,False
194014106,ENOV,Colfax Corp,2022-03-31,0.00013,35,DOW,0.08469,0.00277,price path,True,,,,,,False
647581107,EDU,NEW ORIENTAL ED& TECH GRP ADR,2022-03-31,0.00631,35,FBIN,0.28992,0.00258,price path,True,,,,,,False
26138E109,KDP,DR PEPPER SNAPPLE GROUP INC,2018-06-30,0.00776,20,CLX,0.07549,0.00248,price path,True,,,,,,False
428236103,HPQ,HEWLETT PACKARD CO,2016-06-30,0.0064,9,IBN,0.10118,0.00242,price path,True,,,,,,False
Y0486S104,AVGO,AVAGO TECHNOLOGIES LTD,2015-12-31,0.00499,10,CURE,0.10942,0.0024,price path,True,BROADCOM LTD SHS,2016-03-31,10.0,8.0,1.5068,True
30249U101,FTI,FMC TECHNOLOGIES INC,2017-03-31,3e-05,15,EMN,0.14542,0.00225,price path,True,,,,,,False
067901108,B,BARRICK GOLD CORP,2025-03-31,0.00941,47,GDX,0.14364,0.00223,price path,True,,,,,,False
52603A109,HAPN,LENDINGCLUB CORP,2019-06-30,0.00128,18,FTV,0.2341,0.00144,price path,True,,,,,,False
G7997W102,SDRL,SEADRILL 2021 LTD,2026-06-30,0.0,14,MEOH,0.13861,0.00139,price path,True,,,,,,False
00508X203,EPAC,Actuant Corporation,2019-12-31,0.00158,26,FENY,0.11644,0.00134,price path,True,,,,,,False
98310W108,TNL,WYNDHAM WORLDWIDE CORP,2020-09-30,0.01506,23,MMTM,0.11715,0.00122,price path,True,,,,,,False
G16962105,BG,BUNGE LIMITED,2023-12-31,0.00929,42,INFL,0.11926,0.001,price path,True,,,,,,False
88706P205,TIMB,TIM PARTICIPACOES S A,2020-09-30,0.01715,28,ENIC,0.17018,0.00095,price path,True,,,,,,False
98156Q108,TKO,WORLD WRESTLING ENTMT INC,2023-06-30,0.00696,35,CCAP,0.17814,0.0008,price path,True,,,,,,False
829226109,SBGI,SINCLAIR BROADCAST GROUP INC,2023-03-31,0.00996,37,JOBY,0.15626,0.00079,price path,True,,,,,,False
40434J100,SPB,HRG GROUP INC,2018-06-30,0.00654,13,BC,0.12052,0.00078,price path,True,,,,,,False
66705Y104,DBRG,NORTHSTAR ASSET MGMT GROUP I,2016-12-31,0.00852,9,SEB,0.13447,0.00077,price path,True,,,,,,False
189754104,TPR,COACH INC,2017-09-30,0.01009,17,KHC,0.14509,0.00073,price path,True,,,,,,False
20854L108,CNR,CONSOL Energy Inc,2024-12-31,0.01541,28,BULL,0.24711,0.00067,price path,True,,,,,,False
421924309,EHC,HEALTHSOUTH CORP,2017-12-31,0.00658,14,XLRE,0.0702,0.00067,price path,True,,,,,,False
