Date,AGG,DBC,EFA,GLD,SPY,TLT,VNQ
1993-01-31,,,,,24.113262176513672,,
1993-02-28,,,,,24.37052345275879,,
1993-03-31,,,,,24.9163761138916,,
1993-04-30,,,,,24.278841018676758,,
1993-05-31,,,,,24.933626174926758,,
1993-06-30,,,,,25.023569107055664,,
1993-07-31,,,,,24.9020938873291,,
1993-08-31,,,,,25.85653305053711,,
1993-09-30,,,,,25.668411254882812,,
1993-10-31,,,,,26.174785614013672,,
1993-11-30,,,,,25.89542007446289,,
1993-12-31,,,,,26.21331214904785,,
1994-01-31,,,,,27.12752342224121,,
1994-02-28,,,,,26.33639907836914,,
1994-03-31,,,,,25.232852935791016,,
1994-04-30,,,,,25.515769958496094,,
1994-05-31,,,,,25.9224796295166,,
1994-06-30,,,,,25.32848358154297,,
1994-07-31,,,,,26.147258758544922,,
1994-08-31,,,,,27.144020080566406,,
1994-09-30,,,,,26.458515167236328,,
1994-10-31,,,,,27.21061897277832,,
1994-11-30,,,,,26.127208709716797,,
1994-12-31,,,,,26.317474365234375,,
1995-01-31,,,,,27.201932907104492,,
1995-02-28,,,,,28.312044143676758,,
1995-03-31,,,,,29.100465774536133,,
1995-04-30,,,,,29.962514877319336,,
1995-05-31,,,,,31.151214599609375,,
1995-06-30,,,,,31.781368255615234,,
1995-07-31,,,,,32.803653717041016,,
1995-08-31,,,,,32.94968032836914,,
1995-09-30,,,,,34.34596252441406,,
1995-10-31,,,,,34.24502944946289,,
1995-11-30,,,,,35.768245697021484,,
1995-12-31,,,,,36.33098220825195,,
1996-01-31,,,,,37.62358474731445,,
1996-02-29,,,,,37.74361801147461,,
1996-03-31,,,,,38.393489837646484,,
1996-04-30,,,,,38.81082534790039,,
1996-05-31,,,,,39.69180679321289,,
1996-06-30,,,,,40.04197692871094,,
1996-07-31,,,,,38.24264907836914,,
1996-08-31,,,,,38.97917938232422,,
1996-09-30,,,,,41.15702819824219,,
1996-10-31,,,,,42.48768997192383,,
1996-11-30,,,,,45.58945846557617,,
1996-12-31,,,,,44.50454330444336,,
1997-01-31,,,,,47.254295349121094,,
1997-02-28,,,,,47.70630645751953,,
1997-03-31,,,,,45.60139083862305,,
1997-04-30,,,,,48.4561882019043,,
1997-05-31,,,,,51.518959045410156,,
1997-06-30,,,,,53.63654708862305,,
1997-07-31,,,,,57.887969970703125,,
1997-08-31,,,,,54.8891716003418,,
1997-09-30,,,,,57.528846740722656,,
1997-10-31,,,,,56.11916732788086,,
1997-11-30,,,,,58.29082489013672,,
1997-12-31,,,,,59.402530670166016,,
1998-01-31,,,,,60.16748046875,,
1998-02-28,,,,,64.3367919921875,,
1998-03-31,,,,,67.475341796875,,
1998-04-30,,,,,68.33843994140625,,
1998-05-31,,,,,66.9191665649414,,
1998-06-30,,,,,69.76811981201172,,
1998-07-31,,,,,68.82527160644531,,
