month,ticker,weight
2022-04,DHI,0.09043570700856958
2022-04,ARMK,0.053334138240840503
2022-04,SE,0.055287243516733885
2022-04,RIVN,0.4028450411114549
2022-05,DHI,0.1108350993343458
2022-05,ARMK,0.06747313588536688
2022-05,SE,0.05012218926174122
2022-05,RIVN,0.31818181542762936
2022-06,DHI,0.06662958463676667
2022-06,TEAM,0.005446015239231006
2022-06,LITE,0.004675005673550574
2022-06,ARMK,0.04033842543767918
2022-06,NIO,0.025026810307617678
2022-06,SE,0.07561945530947918
2022-06,RIVN,0.29563247851838
2022-07,DHI,0.06643417017984282
2022-07,TEAM,0.006515553709314618
2022-07,LITE,0.004882816231796377
2022-07,ARMK,0.04057748910302946
2022-07,NIO,0.035385582873121726
2022-07,SE,0.06924128659548616
2022-07,RIVN,0.2743415903285248
2022-08,DHI,0.06709816253415743
2022-08,TEAM,0.006235086007926359
2022-08,LITE,0.004764826157661787
2022-08,ARMK,0.037908333968547495
2022-08,NIO,0.02753871033781611
2022-08,SE,0.06771534546143201
2022-08,RIVN,0.31320393465448076
2022-09,DHI,0.07188175714123136
2022-09,TEAM,0.004784165419194439
2022-09,LITE,0.02349515455524332
2022-09,ARMK,0.040404239362928335
2022-09,NIO,0.036093894535342126
2022-09,SE,0.07968648323718314
2022-09,RIVN,0.16745527337879676
2022-10,DHI,0.0756356063896818
2022-10,TEAM,0.004522026171866955
2022-10,LITE,0.021434384126094955
2022-10,ARMK,0.03924070942060329
2022-10,NIO,0.03177892384727846
2022-10,SE,0.08007806976125054
2022-10,RIVN,0.18727990255709603
2022-11,DHI,0.0844263058426242
2022-11,TEAM,0.00425685460737154
2022-11,LITE,0.022757105970822398
2022-11,ARMK,0.04489017090125188
2022-11,NIO,0.019055021223568364
2022-11,SE,0.06940568361479864
2022-11,RIVN,0.19459621758253057
2022-12,DHI,0.05813931241052167
2022-12,TEAM,0.006042962796804181
2022-12,BKNG,0.005854274837866903
2022-12,LITE,0.027962104068666584
2022-12,ARMK,0.03763203209014799
2022-12,NIO,0.04008596517849486
2022-12,SE,0.0661935173150891
2022-12,RIVN,0.17760682971241581
2023-01,DHI,0.0698474228969933
2023-01,TEAM,0.006831432852188244
2023-01,BKNG,0.006556943796593569
2023-01,LITE,0.030686242511207978
2023-01,ARMK,0.04321918202062913
2023-01,NIO,0.03534335641467458
2023-01,SE,0.06819009176447656
2023-01,RIVN,0.1180685347294366
2023-02,DHI,0.06637491672781688
2023-02,TEAM,0.007364602935825624
2023-02,BKNG,0.006797635746816158
2023-02,LITE,0.030382852287182016
2023-02,ARMK,0.03995878245508069
2023-02,NIO,0.03755466803047966
2023-02,SE,0.07250097604396898
2023-02,RIVN,0.1066753437163243
2023-03,DHI,0.016893211873227416
2023-03,AFRM,0.018193647060416145
2023-03,LYFT,0.020015023390116887
2023-03,DOCN,0.0359714392745963
2023-03,LITE,0.02142946481190584
2023-03,ARMK,0.03830094893891896
2023-03,NIO,0.027778301913606637
2023-03,FHN,0.05721860103439487
2023-03,SE,0.06657336131741773
2023-03,RIVN,0.07233327646820212
2023-04,DHI,0.017304209935204116
2023-04,AFRM,0.014598348419253206
2023-04,LYFT,0.01799173255962399
2023-04,DOCN,0.042723820116541855
2023-04,LITE,0.02085737554759132
2023-04,ARMK,0.03613118111331979
2023-04,NIO,0.03014948987288437
2023-04,FHN,0.04021199160628309
2023-04,SE,0.08941166525283946
2023-04,RIVN,0.056258601978407694
2023-05,DHI,0.021333584814405653
2023-05,AFRM,0.01400675438606361
2023-05,LYFT,0.021817144478039605
2023-05,DOCN,0.03772758314067322
2023-05,LITE,0.020434480010551842
2023-05,ARMK,0.03840682837609369
2023-05,NIO,0.024758981434756796
2023-05,FHN,0.04352933872630543
2023-05,SE,0.08629623659614843
2023-05,RIVN,0.051095987176630914
2023-06,AFRM,0.020960222617933347
2023-06,AER,0.008819268791682258
2023-06,LYFT,0.029090894180170995
2023-06,DOCN,0.04753624436683906
2023-06,BKNG,0.010644544218820166
2023-06,LITE,0.03970563409922588
2023-06,ARMK,0.012843620255296928
2023-06,NIO,0.031413822175460085
2023-06,FHN,0.03807014244645851
2023-06,RPD,0.010279033859495142
2023-06,SE,0.08024063798002869
2023-06,RIVN,0.01622969189257556
2023-07,AFRM,0.020321151478447735
2023-07,AER,0.009223346936872108
2023-07,LYFT,0.029066866567211722
2023-07,DOCN,0.045803592851533736
2023-07,BKNG,0.010767438130128579
2023-07,LITE,0.04001642845744638
2023-07,ARMK,0.013161698210847774
2023-07,NIO,0.03799081922117195
2023-07,FHN,0.03962834536998575
2023-07,RPD,0.009166158370831666
2023-07,SE,0.07623656266643525
2023-07,RIVN,0.01725089382479152
2023-08,AFRM,0.02282136748624765
2023-08,AER,0.00822667939121982
2023-08,LYFT,0.034204469363012725
2023-08,DOCN,0.05017189565473584
2023-08,BKNG,0.010517838228692273
2023-08,LITE,0.03279313037776429
2023-08,ARMK,0.01095860173252648
2023-08,NIO,0.05326034917484399
2023-08,FHN,0.04255344568463275
2023-08,RPD,0.00825174745955095
2023-08,SE,0.07757929710874943
2023-08,RIVN,0.02541161932192188
2023-09,AFRM,0.015518089789502006
2023-09,AER,0.018220759315579885
2023-09,IBKR,0.007170029899209274
2023-09,LYFT,0.030676833335292846
2023-09,DOCN,0.058941614378899006
2023-09,BKNG,0.01196993021790194
2023-09,LITE,0.030873050391216808
2023-09,ARMK,0.01797807391774571
2023-09,NIO,0.04477890919538101
2023-09,RPD,0.024516481077450674
2023-09,SE,0.09903477652000288
2023-09,RIVN,0.023789204027766412
2023-10,AFRM,0.01671463009218724
2023-10,AER,0.019560186635596197
2023-10,IBKR,0.007180882734232879
2023-10,LYFT,0.028924705573221448
2023-10,DOCN,0.05517872076214477
2023-10,BKNG,0.012528415425005265
2023-10,LITE,0.027155064639778063
2023-10,ARMK,0.017681812842622432
2023-10,NIO,0.041536949315581245
2023-10,RPD,0.02347213878528771
2023-10,SE,0.12189207960884574
2023-10,RIVN,0.026778870643522246
2023-11,AFRM,0.014861558025341707
2023-11,AER,0.02082189886634119
2023-11,IBKR,0.00713355505570303
2023-11,LYFT,0.027025477583915422
2023-11,DOCN,0.05045441696906824
2023-11,BKNG,0.012170268671807044
2023-11,LITE,0.025309126837289902
2023-11,ARMK,0.020410705890903783
2023-11,NIO,0.036021743704115726
2023-11,RPD,0.025598359142929024
2023-11,SE,0.1242019366833972
2023-11,RIVN,0.01921189173141492
2023-12,AER,0.044653270325804274
2023-12,IBKR,0.008404147474135188
2023-12,LYFT,0.03608344610751536
2023-12,CRH,0.04337979895285296
2023-12,DOCN,0.05785576952155786
2023-12,BKNG,0.016560233389420594
2023-12,LITE,0.02622242361439933
2023-12,ARMK,0.012247740772385446
2023-12,RPD,0.028097809165501513
2023-12,SE,0.10427638016741943
2024-01,AER,0.04387804364147436
2024-01,IBKR,0.008073188101943173
2024-01,LYFT,0.04159213827756012
2024-01,CRH,0.04382994899469712
2024-01,DOCN,0.06464113179649082
2024-01,BKNG,0.016951450747399684
2024-01,LITE,0.028968479232278514
2024-01,ARMK,0.011082763993627481
2024-01,RPD,0.02672450844139733
2024-01,SE,0.1051700653755316
2024-02,AER,0.046800851774232995
2024-02,IBKR,0.008948872863182892
2024-02,LYFT,0.03588251509297007
2024-02,CRH,0.047087872939103735
2024-02,DOCN,0.06151196891746176
2024-02,BKNG,0.01735496636692211
2024-02,LITE,0.031436063499766756
2024-02,ARMK,0.01187536616277868
2024-02,RPD,0.026667601251063395
2024-02,SE,0.10254833932470765
2024-03,AER,0.056047690100861615
2024-03,IBKR,0.006448360925832723
2024-03,LYFT,0.03118616928409875
2024-03,CRH,0.030748395990181004
2024-03,DOCN,0.0558412584660842
2024-03,BKNG,0.017061309939618626
2024-03,LITE,0.026335431108981375
2024-03,LNTH,0.023646357180452222
2024-03,RPD,0.024142613299375098
2024-03,SE,0.02326151883348884
2024-04,AER,0.060727407488022425
2024-04,IBKR,0.006375182920331695
2024-04,LYFT,0.036564066132754404
2024-04,CRH,0.030395740143402954
2024-04,DOCN,0.05409844414535281
2024-04,BKNG,0.017212904411780493
2024-04,LITE,0.02475422751781528
2024-04,LNTH,0.021659623121712296
2024-04,RPD,0.01944676449744758
2024-04,SE,0.02477618360762877
2024-05,AER,0.061777660718141385
2024-05,IBKR,0.006874848894088441
2024-05,LYFT,0.03092584701906522
2024-05,CRH,0.028547471923978177
2024-05,DOCN,0.048722296263305404
2024-05,BKNG,0.017139063324714314
2024-05,LITE,0.02393966376096049
2024-05,LNTH,0.024231229239062207
2024-05,RPD,0.01859029346012533
2024-05,SE,0.03050274694914492
2024-06,DHI,0.012656700224744894
2024-06,RUN,0.011811806506034264
2024-06,AER,0.07359870601442632
2024-06,IBKR,0.01142385517690957
2024-06,CRH,0.029405340883453326
2024-06,DOCN,0.05593967371302507
2024-06,BKNG,0.02798270237403288
2024-06,LITE,0.04686600170670058
2024-06,ARMK,0.02883686446781022
2024-06,LNTH,0.009584916281297328
2024-06,RPD,0.01894578345205358
2024-07,DHI,0.01192806256110181
2024-07,RUN,0.009575314344013054
2024-07,AER,0.07312734957095261
2024-07,IBKR,0.011010789881347599
2024-07,CRH,0.026653292186440965
2024-07,DOCN,0.051856935156822534
2024-07,BKNG,0.02908009997001137
2024-07,LITE,0.05422222840836461
2024-07,ARMK,0.030159399126943136
2024-07,LNTH,0.009295174574157248
2024-07,RPD,0.02239906945693164
2024-08,DHI,0.015153296423549938
2024-08,RUN,0.014082743511191077
2024-08,AER,0.07334960338305964
2024-08,IBKR,0.010658522429756914
2024-08,CRH,0.030312607544022437
2024-08,DOCN,0.04919381174784208
2024-08,BKNG,0.027135218170443898
2024-08,LITE,0.05486406920339622
2024-08,ARMK,0.030230097762419465
2024-08,LNTH,0.01207587700385195
2024-08,RPD,0.02028224847287518
2024-09,DHI,0.01029768029207773
2024-09,BABA,0.030193319293208017
2024-09,AER,0.0593683308447608
2024-09,IBKR,0.012166006477943922
2024-09,CRH,0.018456266602247157
2024-09,DOCN,0.010018157660811287
2024-09,ECHO,0.017741417266184237
