statement_id,account_id,custodian,period_start,period_end,ending_value,beginning_value,stated_deposits,stated_withdrawals,stated_income,stated_fees,stated_pnl,stated_return_pct,source_file,source_pages,notes
MELVIN_2015-03,MELVIN,SEC 13F clone (EDGAR + Yahoo Finance),2015-03-01,2015-03-31,1000000.0,,,,,,,,hedge13f,,notional $1m invested at the first rebalance
MELVIN_2015-04,MELVIN,SEC 13F clone (EDGAR + Yahoo Finance),2015-04-01,2015-04-30,982509.67,,,,,,,,hedge13f,,priced coverage 69%
MELVIN_2015-05,MELVIN,SEC 13F clone (EDGAR + Yahoo Finance),2015-05-01,2015-05-31,1007970.4,,,,,,,,hedge13f,,priced coverage 69%
MELVIN_2015-06,MELVIN,SEC 13F clone (EDGAR + Yahoo Finance),2015-06-01,2015-06-30,1022037.19,,,,,,,,hedge13f,,priced coverage 74%
MELVIN_2015-07,MELVIN,SEC 13F clone (EDGAR + Yahoo Finance),2015-07-01,2015-07-31,1067781.23,,,,,,,,hedge13f,,priced coverage 74%
MELVIN_2015-08,MELVIN,SEC 13F clone (EDGAR + Yahoo Finance),2015-08-01,2015-08-31,1016060.0,,,,,,,,hedge13f,,priced coverage 74%
MELVIN_2015-09,MELVIN,SEC 13F clone (EDGAR + Yahoo Finance),2015-09-01,2015-09-30,999473.36,,,,,,,,hedge13f,,priced coverage 84%
MELVIN_2015-10,MELVIN,SEC 13F clone (EDGAR + Yahoo Finance),2015-10-01,2015-10-31,1046090.63,,,,,,,,hedge13f,,priced coverage 84%
MELVIN_2015-11,MELVIN,SEC 13F clone (EDGAR + Yahoo Finance),2015-11-01,2015-11-30,1044942.8,,,,,,,,hedge13f,,priced coverage 84%
MELVIN_2015-12,MELVIN,SEC 13F clone (EDGAR + Yahoo Finance),2015-12-01,2015-12-31,1056512.49,,,,,,,,hedge13f,,priced coverage 83%
MELVIN_2016-01,MELVIN,SEC 13F clone (EDGAR + Yahoo Finance),2016-01-01,2016-01-31,1022424.07,,,,,,,,hedge13f,,priced coverage 83%
MELVIN_2016-02,MELVIN,SEC 13F clone (EDGAR + Yahoo Finance),2016-02-01,2016-02-29,1015532.88,,,,,,,,hedge13f,,priced coverage 83%
MELVIN_2016-03,MELVIN,SEC 13F clone (EDGAR + Yahoo Finance),2016-03-01,2016-03-31,1093479.41,,,,,,,,hedge13f,,priced coverage 84%
MELVIN_2016-04,MELVIN,SEC 13F clone (EDGAR + Yahoo Finance),2016-04-01,2016-04-30,1073232.63,,,,,,,,hedge13f,,priced coverage 84%
MELVIN_2016-05,MELVIN,SEC 13F clone (EDGAR + Yahoo Finance),2016-05-01,2016-05-31,1083646.48,,,,,,,,hedge13f,,priced coverage 84%
MELVIN_2016-06,MELVIN,SEC 13F clone (EDGAR + Yahoo Finance),2016-06-01,2016-06-30,1073486.43,,,,,,,,hedge13f,,priced coverage 90%
MELVIN_2016-07,MELVIN,SEC 13F clone (EDGAR + Yahoo Finance),2016-07-01,2016-07-31,1131536.84,,,,,,,,hedge13f,,priced coverage 90%
MELVIN_2016-08,MELVIN,SEC 13F clone (EDGAR + Yahoo Finance),2016-08-01,2016-08-31,1118799.05,,,,,,,,hedge13f,,priced coverage 90%
MELVIN_2016-09,MELVIN,SEC 13F clone (EDGAR + Yahoo Finance),2016-09-01,2016-09-30,1113979.33,,,,,,,,hedge13f,,priced coverage 85%
MELVIN_2016-10,MELVIN,SEC 13F clone (EDGAR + Yahoo Finance),2016-10-01,2016-10-31,1098909.7,,,,,,,,hedge13f,,priced coverage 85%
MELVIN_2016-11,MELVIN,SEC 13F clone (EDGAR + Yahoo Finance),2016-11-01,2016-11-30,1137236.48,,,,,,,,hedge13f,,priced coverage 85%
MELVIN_2016-12,MELVIN,SEC 13F clone (EDGAR + Yahoo Finance),2016-12-01,2016-12-31,1135705.94,,,,,,,,hedge13f,,priced coverage 84%
MELVIN_2017-01,MELVIN,SEC 13F clone (EDGAR + Yahoo Finance),2017-01-01,2017-01-31,1194114.17,,,,,,,,hedge13f,,priced coverage 84%
MELVIN_2017-02,MELVIN,SEC 13F clone (EDGAR + Yahoo Finance),2017-02-01,2017-02-28,1219343.7,,,,,,,,hedge13f,,priced coverage 84%
MELVIN_2017-03,MELVIN,SEC 13F clone (EDGAR + Yahoo Finance),2017-03-01,2017-03-31,1240558.59,,,,,,,,hedge13f,,priced coverage 88%
