formation,universe,names,turnover,turnover_budget,active_share,relaxed,cost_drag,ex_ante_te,expected_alpha,bench_alpha,max_active,max_sector_active,sum_abs_active,n_constraints,unconstrained_names,unconstrained_turnover
2013-08-31,189,148,0.20000000000000015,0.2,0.20000000000000015,0,0.0004000000000000003,0.04875119373479659,0.32850102409645987,-0.1896047864906577,0.020000000000000007,0.03000000000000007,0.4000000000000003,405,18,1.0
2013-11-30,199,129,0.20000000000000007,0.2,0.3,0,0.0004000000000000002,0.051359253263944554,0.646366510138527,-0.1376014460051559,0.02000000000000001,0.030000000000000027,0.6,465,19,0.4290247368890654
2014-02-28,221,147,0.20000000000000004,0.2,0.2999999999999999,0,0.0004000000000000001,0.05329570963319928,0.771350566118702,-0.04801533963583952,0.020000000000000004,0.030000000000000034,0.5999999999999998,495,22,0.3650578517824816
2014-05-31,213,137,0.20000000000000007,0.2,0.3,0,0.0004000000000000002,0.049628040500116835,0.6999382280455995,-0.08634838031966932,0.020000000000000004,0.029999999999999992,0.5999999999999999,501,21,0.5466791913257628
2014-08-31,233,136,0.2,0.2,0.30000000000000004,0,0.0004,0.04808852969837705,0.7297684667688313,-0.023298093245678206,0.020000000000000007,0.030000000000000072,0.6000000000000001,513,23,0.43723657666784344
2014-11-30,228,105,0.4,0.4,0.29999999999999993,1,0.0008,0.040613282423073965,1.2247141171991256,0.48230814275193173,0.02000000000000001,0.030000000000000037,0.5999999999999999,531,22,0.4886642002060854
2015-02-28,222,51,0.6641332188767083,0.8,0.2999999999999998,2,0.0013282664377534167,0.027914319379743282,0.9200576826520319,0.2851464653267729,0.020000000000000004,0.030000000000000002,0.5999999999999996,499,22,0.6436292394589112
2015-05-31,231,155,0.7131783158428291,0.8,0.2999999999999999,2,0.0014263566316856584,0.030892322093161454,0.7845713368416737,-0.09947220910160742,0.020000000000000004,0.03000000000000006,0.5999999999999998,499,23,0.5283701291011367
2015-08-31,246,169,0.20000000000000012,0.2,0.3,0,0.0004000000000000003,0.026894842155217858,0.7188078846920548,-0.04450195248936449,0.020000000000000007,0.03000000000000003,0.6000000000000001,549,24,0.6683257153684496
2015-11-30,233,157,0.20000000000000007,0.2,0.29999999999999977,0,0.0004000000000000002,0.028221543611993152,0.7028980952858825,0.00844995827633762,0.020000000000000004,0.03,0.5999999999999995,535,23,0.5397787618547413
2016-02-29,236,138,0.2,0.2,0.3,0,0.0004,0.024932873788474096,0.9853175326124315,0.3140883332489829,0.02000000000000001,0.02999999999999999,0.5999999999999999,531,23,0.6179945941981301
2016-05-31,235,134,0.19999999999999998,0.2,0.29999999999999993,0,0.00039999999999999996,0.023232193814839906,0.9146016267975203,0.20983464399644733,0.020000000000000004,0.03000000000000006,0.5999999999999999,521,23,0.5305335152502014
2016-08-31,243,127,0.20000000000000012,0.2,0.2999999999999997,0,0.0004000000000000003,0.02273440843856042,0.7470842524955099,0.12203156868743632,0.019999999999999997,0.030000000000000058,0.5999999999999994,543,24,0.5833333333333334
2016-11-30,254,139,0.20000000000000012,0.2,0.3,0,0.0004000000000000003,0.02634825735048033,0.7851500943131122,0.05682229767423583,0.019999999999999997,0.030000000000000075,0.6000000000000001,559,25,0.800788835851806
2017-02-28,271,151,0.2,0.2,0.30000000000000004,0,0.0004,0.03125218850909549,0.7455911069049944,0.010536428768789505,0.020000000000000018,0.03000000000000009,0.6000000000000001,589,27,0.6320941703714295
2017-05-31,260,150,0.20000000000000015,0.2,0.29999999999999993,0,0.0004000000000000003,0.029896567303729218,0.6441936058775528,-0.013067737083185899,0.02,0.030000000000000044,0.5999999999999999,575,26,0.5268438530226829
2017-08-31,272,149,0.2,0.2,0.2999999999999998,0,0.0004,0.03168368645515639,0.8214115065678685,0.030991858198655395,0.02,0.030000000000000023,0.5999999999999996,601,27,0.528791650327924
2017-11-30,279,157,0.20000000000000007,0.2,0.29999999999999977,0,0.0004000000000000002,0.04030738749406792,0.9325319261528452,0.03387797069582331,0.02000000000000001,0.030000000000000044,0.5999999999999995,601,27,0.46108032794775494
2018-02-28,312,178,0.2,0.2,0.30000000000000004,0,0.0004,0.03831478259909032,0.9735716228872683,0.021147574380577586,0.02000000000000001,0.03000000000000003,0.6,681,31,0.5483870967741934
2018-05-31,315,203,0.19999999999999996,0.2,0.2999999999999998,0,0.0003999999999999999,0.04246327217020854,0.8465872761221167,-0.07916062722217483,0.020000000000000025,0.03000000000000003,0.5999999999999996,687,31,0.5878059590338529
2018-08-31,281,192,0.20000000000000007,0.2,0.29999999999999993,0,0.0004000000000000002,0.02884111630341874,0.8632809463911779,-0.06415021550837716,0.020000000000000018,0.03000000000000006,0.5999999999999999,659,28,0.5707554589359946
2018-11-30,284,173,0.2,0.2,0.2999999999999999,0,0.0004,0.04096540066875879,0.7519684771966098,-0.005106850648483537,0.02,0.030000000000000006,0.5999999999999996,643,28,0.6966080230718837
2019-02-28,302,174,0.2,0.2,0.2999999999999999,0,0.0004,0.042180193437060066,0.7015065068500455,-0.05049863130004203,0.020000000000000004,0.030000000000000016,0.5999999999999998,659,30,0.5733148607092028
2019-05-31,319,181,0.2,0.2,0.2999999999999997,0,0.0004,0.037550964863415894,0.8128043045262501,-0.010736878130621727,0.020000000000000004,0.029999999999999985,0.5999999999999994,697,31,0.6160525366780097
2019-08-31,326,186,0.20000000000000018,0.2,0.30000000000000004,0,0.00040000000000000034,0.03784489405319362,0.8155820951706141,0.0319858111940572,0.020000000000000004,0.030000000000000044,0.6000000000000001,717,32,0.5369648802989009
2019-11-30,318,181,0.20000000000000007,0.2,0.30000000000000004,0,0.0004000000000000002,0.0368058801640193,0.9037182164788315,0.08478743064080038,0.020000000000000007,0.030000000000000124,0.6,705,31,0.6068040368348527
2020-02-29,372,209,0.20000000000000012,0.2,0.2999999999999997,0,0.0004000000000000003,0.04587149824677356,1.0967927841050873,0.31552440518700586,0.01999999999999999,0.029999999999999943,0.5999999999999994,799,37,0.6756874476899455
2020-05-31,351,182,0.19999999999999998,0.2,0.30000000000000016,0,0.00039999999999999996,0.04206054166722204,1.0911819924188162,0.3906337363854069,0.01999999999999999,0.029999999999999943,0.6000000000000003,809,35,0.6184780694488221
2020-08-31,374,189,0.2,0.2,0.29999999999999993,0,0.0004,0.05556251237548422,1.1276714681055946,0.3456057458099635,0.02000000000000001,0.03000000000000003,0.5999999999999999,811,37,0.5072830411199046
2020-11-30,392,199,0.2000000000000002,0.2,0.29999999999999993,0,0.00040000000000000045,0.06879496784860514,0.7604402880986353,0.1393700327011912,0.02000000000000002,0.03000000000000027,0.6,847,39,0.47663028108442856
2021-02-28,420,218,0.19999999999999993,0.2,0.3,0,0.00039999999999999986,0.06811581790728727,0.9280416115581767,0.05307535132873446,0.02,0.030000000000000034,0.5999999999999999,897,42,0.4162044411660357
2021-05-31,417,245,0.19999999999999996,0.2,0.2999999999999998,0,0.0003999999999999999,0.07598058495620759,0.808416829831623,-0.12300139453351754,0.020000000000000004,0.03000000000000004,0.5999999999999996,909,41,0.6598343147736342
2021-08-31,410,247,0.20000000000000012,0.2,0.2999999999999999,0,0.0004000000000000003,0.07266686762875921,0.6627968588289052,-0.2076901429739574,0.020000000000000007,0.030000000000000124,0.5999999999999998,887,41,0.6105158146169817
2021-11-30,412,219,0.2000000000000001,0.2,0.2999999999999998,0,0.0004000000000000002,0.061041278268541097,0.864554583246563,0.010362794597715566,0.019999999999999997,0.03000000000000003,0.5999999999999996,925,41,0.6672135679277917
2022-02-28,404,210,0.20000000000000018,0.2,0.29999999999999977,0,0.00040000000000000034,0.055732997867649306,0.9517874192214715,0.21746768669753946,0.020000000000000004,0.030000000000000002,0.5999999999999996,879,40,0.5929492921291082
2022-05-31,399,221,0.19999999999999998,0.2,0.2999999999999998,0,0.00039999999999999996,0.05235570341607613,0.7474886093795894,0.11443042515792616,0.020000000000000004,0.030000000000000047,0.5999999999999996,877,39,0.6047813992422066
2022-08-31,372,192,0.2,0.2,0.2999999999999998,0,0.0004,0.04890835622871715,0.7875873934930773,0.10574896857650781,0.020000000000000004,0.030000000000000016,0.5999999999999996,847,37,0.3479326524122092
2022-11-30,394,221,0.19999999999999993,0.2,0.29999999999999993,0,0.00039999999999999986,0.05639849303751067,0.810857607574777,0.01744089109894753,0.020000000000000004,0.030000000000000037,0.6,841,39,0.31917023261492683
2023-02-28,404,232,0.20000000000000023,0.2,0.29999999999999993,0,0.00040000000000000045,0.04205382759780206,0.6369237202213629,-0.08831054673641592,0.020000000000000004,0.030000000000000023,0.5999999999999999,887,40,0.560015625936442
2023-05-31,423,209,0.2,0.2,0.29999999999999993,0,0.0004,0.04109595812943083,0.9057410570781446,0.1302296442533058,0.02,0.030000000000000086,0.5999999999999999,919,42,0.743151108995697
2023-08-31,425,208,0.20000000000000012,0.2,0.2999999999999998,0,0.0004000000000000003,0.056092527685771165,0.8895386701788162,0.11430871213357419,0.020000000000000014,0.030000000000000027,0.5999999999999996,919,42,0.6284584407579744
2023-11-30,408,193,0.19999999999999993,0.2,0.2999999999999998,0,0.00039999999999999986,0.05052592018610468,1.1309267956798017,0.2960516619917785,0.02,0.030000000000000002,0.5999999999999996,901,40,0.6348725586228512
2024-02-29,442,208,0.2,0.2,0.29999999999999977,0,0.0004,0.05291298761516022,1.1837089302987904,0.3616205480930257,0.020000000000000004,0.03,0.5999999999999995,945,44,0.5750990319097997
2024-05-31,448,213,0.2,0.2,0.30000000000000004,0,0.0004,0.08050398249318516,0.6730717339633444,-0.011860837776482766,0.02000000000000003,0.030000000000000034,0.6,969,44,0.6975747244673447
2024-08-31,447,203,0.20000000000000004,0.2,0.29999999999999993,0,0.0004000000000000001,0.08020347063941302,1.1885588075343714,0.28207109197503877,0.020000000000000004,0.030000000000000002,0.5999999999999999,963,44,0.5992645179273041
2024-11-30,450,248,0.19999999999999996,0.2,0.2999999999999998,0,0.0003999999999999999,0.0816996073442054,0.9055538627853101,0.08971661907217009,0.020000000000000007,0.030000000000000013,0.5999999999999999,975,45,0.4582042505387352
2025-02-28,455,246,0.20000000000000004,0.2,0.29999999999999993,0,0.0004000000000000001,0.10710595825293334,1.0592167723694765,0.11015574556176225,0.020000000000000004,0.030000000000000006,0.6,1009,45,0.5524387613837345
2025-05-31,458,254,0.2000000000000002,0.2,0.2999999999999999,0,0.00040000000000000045,0.0615839066410773,0.867614357903239,0.0919042728631618,0.02,0.030000000000000006,0.5999999999999998,1007,45,0.6252788496441561
2025-08-31,490,256,0.20000000000000007,0.2,0.2999999999999997,0,0.0004000000000000002,0.09424979593745408,1.0315151902320812,0.06894640971884304,0.020000000000000004,0.03000000000000001,0.5999999999999994,1059,49,0.6571470384061515
2025-11-30,502,238,0.2,0.2,0.2999999999999999,0,0.0004,0.08267001074815797,1.0311978395516879,0.16114918262456307,0.020000000000000004,0.030000000000000002,0.5999999999999998,1085,50,0.6368016588926211
2026-02-28,474,250,0.20000000000000007,0.2,0.2999999999999998,0,0.0004000000000000002,0.08698090979688697,0.7780262346996031,-0.060303413275780954,0.020000000000000004,0.03000000000000004,0.5999999999999996,1025,47,0.477656193496766
2026-05-31,499,290,0.20000000000000012,0.2,0.2999999999999998,0,0.0004000000000000003,0.0805826084444452,0.6441838520746777,-0.0522187318065767,0.020000000000000004,0.03000000000000009,0.5999999999999996,1077,49,0.4207699079835477
2026-08-31,491,261,0.20000000000000007,0.2,0.2999999999999998,0,0.0004000000000000002,0.09865009693185955,0.7763902599395314,0.053734821776603714,0.01999999999999999,0.029999999999999936,0.5999999999999996,1101,49,0.5306576977272536
