key,label,months,ann_return,ann_vol,sharpe,max_dd,active_return,tracking_error,information_ratio,hit_rate,avg_names,avg_turnover,avg_ex_ante_te
portfolio,Constrained LP portfolio,156,0.19111887159948204,0.1805346581844541,0.9640366575004752,-0.2569529759036876,0.050059085557241506,0.06400120451840541,0.7821584911397341,0.5641025641025641,188.83018867924528,0.2222134251833875,0.05172479795848893
unconstrained,Unconstrained top decile,156,0.215431756054838,0.2323002392045493,0.886569487050593,-0.2613843707981792,0.08116273910688276,0.15396666939281817,0.5271448647097164,0.5641025641025641,34.0377358490566,0.5728111406832266,
benchmark,Benchmark (aggregate book),156,0.1369938061598992,0.1618589074725129,0.7609491699568522,-0.30574017664582853,0.0,0.0,,,,,
MKT,US market,156,0.14095315968059263,0.14973770508264947,0.8471677000217176,-0.24844932247034668,0.003335249771640313,0.033793745893469763,0.09869429042149512,0.4935897435897436,,,
