month,portfolio,benchmark,unconstrained,MKT,RF
2013-09-30,0.05467181432900783,0.0401090285289551,0.08511217936342502,0.0377,0.0
2013-10-31,0.04995411214834679,0.039811562831766414,0.07261691188723007,0.0417,0.0
2013-11-30,0.04551347374186752,0.03531420282769737,0.06417373851723847,0.0311,0.0
2013-12-31,0.03383595379232299,0.035219980015816284,0.046167859429765416,0.0281,0.0
2014-01-31,-0.007941017464684584,-0.03060868325534592,0.033064750450415646,-0.0332,0.0
2014-02-28,0.05380557987992746,0.04887370147080562,0.06470737231000584,0.0466,0.0
2014-03-31,-0.012678064376123776,0.002801889360385403,-0.043932106098265915,0.0043,0.0
2014-04-30,-0.008762026698666457,0.0006956930503513415,-0.0310114111945944,-0.0018,0.0
2014-05-31,0.05156993212067523,0.02924504128660544,0.09174051073545211,0.0204999999999999,0.0
2014-06-30,0.04106502079410731,0.027392568968581443,0.06702517958532161,0.026,0.0
2014-07-31,-0.019669826777592575,-0.016749194766424037,-0.025775162298527384,-0.0203,0.0
2014-08-31,0.0419716399153629,0.03848269112699948,0.051997941448347414,0.0424,0.0
2014-09-30,-0.016083332201461426,-0.010832952796243722,-0.028715787861690958,-0.0196,0.0
2014-10-31,0.01867080823019598,0.018246101307627733,0.01320929103084237,0.0250999999999999,0.0
2014-11-30,0.03217026347858447,0.03573509521927197,0.03217259756498327,0.0256,0.0
2014-12-31,-0.023790144566777596,-0.02468413532706444,-0.011968218780020393,-0.0005,0.0
2015-01-31,-0.02427997321454308,-0.028664121046719167,-0.013721803903699464,-0.031,0.0
2015-02-28,0.07375218377461235,0.07557249309744006,0.05874997159933095,0.0613,0.0
2015-03-31,0.002405724585587722,-0.007958471344058795,0.006613962940728713,-0.0111,0.0
2015-04-30,-0.005765478003649044,0.01575668240221414,-0.03739607726090665,0.0059,0.0
2015-05-31,0.02155969457170833,0.010235773522899696,0.049505134493316526,0.0137,0.0
2015-06-30,-0.019094346320045814,-0.019943685969364782,-0.02380882618266834,-0.0152,0.0
2015-07-31,0.030952799255977687,0.02237466262638784,0.02066045980738081,0.0157,0.0
2015-08-31,-0.06350057607461868,-0.060871033177395874,-0.0787816411154852,-0.0602,0.0
2015-09-30,-0.042014083981615685,-0.04564563174840602,-0.019685077024768377,-0.0306,0.0
2015-10-31,0.03804717340996888,0.05166537122192788,0.024052856138283393,0.0775,0.0
2015-11-30,0.026126717894739773,0.010061624463349251,0.020343708161559147,0.0056999999999999,0.0
2015-12-31,-0.012542086646287651,-0.013857044605613069,-0.0081481242187529,-0.0214,0.0001
2016-01-31,-0.08320588824892275,-0.0740312118086929,-0.09584942553811968,-0.0573,0.0001
2016-02-29,-0.021472484167831707,-0.01436080857830609,-0.014127303743697937,-0.00039999999999999996,0.0002
2016-03-31,0.06912404115689491,0.05744223243333517,0.07081818912071462,0.06970000000000001,0.0002
2016-04-30,-0.007629266217196863,0.008401385103157338,-0.01844099718253683,0.0093,0.0001
2016-05-31,0.025808813088773024,0.01758049301754413,0.040799320436097734,0.0179,0.0001
2016-06-30,-0.005338382233501938,-0.021848273149508497,0.017089058889702136,-9.999999999999996e-05,0.0002
2016-07-31,0.041131668324468865,0.04482063845703619,0.03190835591669649,0.039599999999999996,0.0002
2016-08-31,0.008409181176362001,0.01865164527731958,-0.014488749600831765,0.0050999999999999995,0.0002
2016-09-30,0.0004030321967483496,-0.0008087709288827532,0.012863799340937888,0.0029000000000000002,0.0002
2016-10-31,-0.010668760958382793,-0.01036950937231481,-0.034283775301366774,-0.0198999999999999,0.0002
2016-11-30,0.014072498916714821,0.02749226021792072,0.03604928089267923,0.0487,0.0001
2016-12-31,0.014975303739124157,0.016571850108445668,0.0032017135101486413,0.018400000000000003,0.0003
2017-01-31,0.04649718845462798,0.03420423772267404,0.06290381079261534,0.0198,0.0004
2017-02-28,0.0372540669391003,0.036109236664814,0.04841860938240019,0.035899999999999994,0.0004
2017-03-31,0.012738812342361919,0.0019471023881457172,0.012301822477906274,0.002,0.0003
2017-04-30,0.015751415404436878,0.013675563153076453,0.009998507206872186,0.011300000000000001,0.0005
2017-05-31,0.03197827653984516,0.02088876668332943,0.028811107343749913,0.0113,0.0006
