month,ticker,weight
2013-10,MA,0.02479942456349835
2013-10,IDXX,0.03601997550451992
2013-10,AAP,0.037041871892804626
2013-10,PRI,0.010692588598754603
2013-10,V,0.01624489778793719
2013-10,DHR,0.0070486867154981765
2013-10,IBKR,0.0006381693451786513
2013-10,BRK-B,0.16804192962302292
2013-10,FAST,0.07666124544043902
2013-10,BHC,0.2241340405945601
2013-11,MA,0.025629996117194593
2013-11,IDXX,0.03776934362693112
2013-11,AAP,0.043045690861097434
2013-11,PRI,0.01102866641976132
2013-11,V,0.016195997044105726
2013-11,DHR,0.007101304517944914
2013-11,IBKR,0.0006801447388108355
2013-11,BRK-B,0.1650570343721192
2013-11,FAST,0.07398621198173279
2013-11,BHC,0.22002330248379687
2013-12,MA,0.025288569025065547
2013-12,IDXX,0.03655593198931494
2013-12,AAP,0.0351211439040555
2013-12,PRI,0.010302714750578408
2013-12,V,0.015054360566185967
2013-12,DHR,0.007088479170620823
2013-12,IBKR,0.002237094234934708
2013-12,BRK-B,0.16176250625943636
2013-12,FAST,0.07152235326662779
2013-12,BHC,0.24812848430516052
2014-01,MA,0.026633756438501115
2014-01,IDXX,0.035804274134354025
2014-01,AAP,0.0369294667268599
2014-01,PRI,0.00985365057674355
2014-01,V,0.01580239269656909
2014-01,DHR,0.0070189060305117495
2014-01,IBKR,0.0021535586355476105
2014-01,BRK-B,0.15784729219332777
2014-01,FAST,0.0700408967041163
2014-01,BHC,0.25484383411968287
2014-02,MA,0.02396218570788627
2014-02,IDXX,0.0381478753528556
2014-02,AAP,0.037996503328743714
2014-02,PRI,0.009596011646896078
2014-02,V,0.015163825504484396
2014-02,DHR,0.006708529625600317
2014-02,IBKR,0.0018605252431188818
2014-02,BRK-B,0.14737491272521472
2014-02,FAST,0.06460106087613282
2014-02,BHC,0.2920479992961929
2014-03,MA,0.029453873561970587
2014-03,IDXX,0.036252303973234055
2014-03,AAP,0.012039595720142814
2014-03,PRI,0.010322627698809607
2014-03,V,0.016246118879620016
2014-03,DHR,0.007343877303674195
2014-03,IBKR,0.002732471683282344
2014-03,BRK-B,0.15863756469988752
2014-03,FAST,0.06299866347407386
2014-03,BHC,0.260405243247266
2014-04,MA,0.02875342887843802
2014-04,IDXX,0.03550487451342008
2014-04,AAP,0.012151665265924668
2014-04,PRI,0.011020214645742486
2014-04,V,0.015764771218901907
2014-04,DHR,0.007323605429631035
2014-04,IBKR,0.002704200108834167
2014-04,BRK-B,0.17391525239863892
2014-04,FAST,0.06684785485307655
2014-04,BHC,0.2406993448774772
2014-05,MA,0.028280671039898023
2014-05,IDXX,0.03688331535323314
2014-05,AAP,0.01162107790854379
2014-05,PRI,0.01070707909368517
2014-05,V,0.014758862204806789
2014-05,DHR,0.00714689388750511
2014-05,IBKR,0.002974811551469985
2014-05,BRK-B,0.17885146167704208
2014-05,FAST,0.06806631359704145
2014-05,BHC,0.24350098050568184
2014-06,MA,0.025300119076704247
2014-06,IDXX,0.03961181081383451
2014-06,AAP,0.013210128172850003
2014-06,PRI,0.010890402904654092
2014-06,V,0.015097253843592139
2014-06,DHR,0.006867798146940616
2014-06,IBKR,0.0023372429428774096
2014-06,BRK-B,0.16069956895959983
2014-06,FAST,0.0637694296325879
2014-06,BHC,0.28021291056351194
2014-07,MA,0.024545880594633866
2014-07,IDXX,0.04157400278156466
2014-07,AAP,0.014497702757821312
2014-07,PRI,0.011680209186539598
2014-07,V,0.014948990504280774
2014-07,DHR,0.006968621883887392
2014-07,IBKR,0.002387190178846847
2014-07,BRK-B,0.15998265122191496
2014-07,FAST,0.06535466616854602
2014-07,BHC,0.27191233810368026
2014-08,MA,0.025878427638755783
2014-08,IDXX,0.04041544929987407
2014-08,AAP,0.013574929312409084
2014-08,PRI,0.011733205991123043
2014-08,V,0.015615796515157859
2014-08,DHR,0.006821317223789868
2014-08,IBKR,0.0024612884883019955
2014-08,BRK-B,0.1653913387215365
