statement_id,account_id,custodian,period_start,period_end,ending_value,beginning_value,stated_deposits,stated_withdrawals,stated_income,stated_fees,stated_pnl,stated_return_pct,source_file,source_pages,notes
GREENLIGHT_2013-09,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2013-09-01,2013-09-30,1000000.0,,,,,,,,hedge13f,,notional $1m invested at the first rebalance
GREENLIGHT_2013-10,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2013-10-01,2013-10-31,1026529.57,,,,,,,,hedge13f,,priced coverage 72%
GREENLIGHT_2013-11,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2013-11-01,2013-11-30,1086988.54,,,,,,,,hedge13f,,priced coverage 72%
GREENLIGHT_2013-12,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2013-12-01,2013-12-31,1108243.73,,,,,,,,hedge13f,,priced coverage 74%
GREENLIGHT_2014-01,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2014-01-01,2014-01-31,1064134.03,,,,,,,,hedge13f,,priced coverage 74%
GREENLIGHT_2014-02,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2014-02-01,2014-02-28,1096500.72,,,,,,,,hedge13f,,priced coverage 74%
GREENLIGHT_2014-03,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2014-03-01,2014-03-31,1096891.73,,,,,,,,hedge13f,,priced coverage 78%
GREENLIGHT_2014-04,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2014-04-01,2014-04-30,1131501.98,,,,,,,,hedge13f,,priced coverage 78%
GREENLIGHT_2014-05,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2014-05-01,2014-05-31,1197417.04,,,,,,,,hedge13f,,priced coverage 78%
GREENLIGHT_2014-06,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2014-06-01,2014-06-30,1257844.53,,,,,,,,hedge13f,,priced coverage 71%
GREENLIGHT_2014-07,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2014-07-01,2014-07-31,1218446.95,,,,,,,,hedge13f,,priced coverage 71%
GREENLIGHT_2014-08,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2014-08-01,2014-08-31,1285054.7,,,,,,,,hedge13f,,priced coverage 71%
GREENLIGHT_2014-09,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2014-09-01,2014-09-30,1244942.37,,,,,,,,hedge13f,,priced coverage 71%
GREENLIGHT_2014-10,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2014-10-01,2014-10-31,1253897.94,,,,,,,,hedge13f,,priced coverage 71%
GREENLIGHT_2014-11,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2014-11-01,2014-11-30,1326609.81,,,,,,,,hedge13f,,priced coverage 71%
GREENLIGHT_2014-12,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2014-12-01,2014-12-31,1277987.49,,,,,,,,hedge13f,,priced coverage 73%
GREENLIGHT_2015-01,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2015-01-01,2015-01-31,1227826.49,,,,,,,,hedge13f,,priced coverage 73%
GREENLIGHT_2015-02,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2015-02-01,2015-02-28,1326898.52,,,,,,,,hedge13f,,priced coverage 73%
GREENLIGHT_2015-03,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2015-03-01,2015-03-31,1239780.98,,,,,,,,hedge13f,,priced coverage 72%
GREENLIGHT_2015-04,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2015-04-01,2015-04-30,1273290.38,,,,,,,,hedge13f,,priced coverage 72%
GREENLIGHT_2015-05,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2015-05-01,2015-05-31,1304077.14,,,,,,,,hedge13f,,priced coverage 72%
GREENLIGHT_2015-06,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2015-06-01,2015-06-30,1175967.19,,,,,,,,hedge13f,,priced coverage 72%
GREENLIGHT_2015-07,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2015-07-01,2015-07-31,1123384.87,,,,,,,,hedge13f,,priced coverage 72%
GREENLIGHT_2015-08,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2015-08-01,2015-08-31,1038824.96,,,,,,,,hedge13f,,priced coverage 72%
GREENLIGHT_2015-09,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2015-09-01,2015-09-30,958859.93,,,,,,,,hedge13f,,priced coverage 71%
GREENLIGHT_2015-10,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2015-10-01,2015-10-31,1012413.88,,,,,,,,hedge13f,,priced coverage 71%
GREENLIGHT_2015-11,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2015-11-01,2015-11-30,1019582.55,,,,,,,,hedge13f,,priced coverage 71%
GREENLIGHT_2015-12,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2015-12-01,2015-12-31,951094.63,,,,,,,,hedge13f,,priced coverage 75%
GREENLIGHT_2016-01,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2016-01-01,2016-01-31,854606.47,,,,,,,,hedge13f,,priced coverage 75%
GREENLIGHT_2016-02,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2016-02-01,2016-02-29,909810.02,,,,,,,,hedge13f,,priced coverage 75%
GREENLIGHT_2016-03,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2016-03-01,2016-03-31,990131.26,,,,,,,,hedge13f,,priced coverage 71%
GREENLIGHT_2016-04,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2016-04-01,2016-04-30,979764.99,,,,,,,,hedge13f,,priced coverage 71%
GREENLIGHT_2016-05,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2016-05-01,2016-05-31,966177.71,,,,,,,,hedge13f,,priced coverage 71%
GREENLIGHT_2016-06,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2016-06-01,2016-06-30,955175.18,,,,,,,,hedge13f,,priced coverage 76%
GREENLIGHT_2016-07,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2016-07-01,2016-07-31,1035980.25,,,,,,,,hedge13f,,priced coverage 76%
GREENLIGHT_2016-08,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2016-08-01,2016-08-31,1040862.9,,,,,,,,hedge13f,,priced coverage 76%
GREENLIGHT_2016-09,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2016-09-01,2016-09-30,1061184.59,,,,,,,,hedge13f,,priced coverage 75%
GREENLIGHT_2016-10,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2016-10-01,2016-10-31,1035849.65,,,,,,,,hedge13f,,priced coverage 75%
GREENLIGHT_2016-11,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2016-11-01,2016-11-30,1120356.33,,,,,,,,hedge13f,,priced coverage 75%
GREENLIGHT_2016-12,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2016-12-01,2016-12-31,1108099.03,,,,,,,,hedge13f,,priced coverage 77%
GREENLIGHT_2017-01,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-01-01,2017-01-31,1158503.27,,,,,,,,hedge13f,,priced coverage 77%
GREENLIGHT_2017-02,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-02-01,2017-02-28,1195456.06,,,,,,,,hedge13f,,priced coverage 77%
GREENLIGHT_2017-03,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-03-01,2017-03-31,1213436.69,,,,,,,,hedge13f,,priced coverage 76%
GREENLIGHT_2017-04,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-04-01,2017-04-30,1206814.0,,,,,,,,hedge13f,,priced coverage 76%
GREENLIGHT_2017-05,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-05-01,2017-05-31,1197714.03,,,,,,,,hedge13f,,priced coverage 76%
GREENLIGHT_2017-06,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-06-01,2017-06-30,1231528.99,,,,,,,,hedge13f,,priced coverage 85%
GREENLIGHT_2017-07,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-07-01,2017-07-31,1291966.96,,,,,,,,hedge13f,,priced coverage 85%
GREENLIGHT_2017-08,GREENLIGHT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-08-01,2017-08-31,1284693.9,,,,,,,,hedge13f,,priced coverage 85%
