ticker,weight,target,index_weight,active,market_value,price,shares,sector
NVDA,0.0869361703747205,0.0869361703747205,0.08930518526504418,-0.0023690148903236785,21625372.380711723,220.53323364257812,98059.0,Technology
AAPL,0.07298846429198201,0.07298846429198201,0.07761279522001939,-0.004624330928037379,18155880.492630526,316.8500061035156,57301.0,Technology
GOOG,0.06622642006987083,0.06622642006987083,0.06884975116624903,-0.0026233310963782036,16473821.992380368,335.1923828125,49147.0,Communication Services
MSFT,0.0600795878356785,0.0600795878356785,0.0632243798652576,-0.0031447920295790965,14944797.474125028,507.2900085449219,29460.0,Technology
AMZN,0.046948330128187936,0.046948330128187936,0.04702858633792945,-8.025620974151659e-05,11678397.11938675,259.7699890136719,44956.0,Consumer Cyclical
AVGO,0.02896680465343638,0.02896680465343638,0.029572404800932182,-0.0006056001474958016,7205492.6575422995,370.3399963378906,19456.0,Technology
TSLA,0.02473651092737631,0.02473651092737631,0.02439136234607787,0.0003451485812984399,6153207.093184858,367.9500122070313,16722.0,Consumer Cyclical
LLY,0.019911123614355958,0.019911123614355958,0.018276216112916063,0.0016349075014398945,4952891.999071045,1156.72998046875,4281.0,Healthcare
MU,0.01823711920584427,0.01823711920584427,0.01817361672522243,6.350248062183747e-05,4536483.402453762,958.72998046875,4731.0,Technology
JPM,0.017838941764656516,0.017838941764656516,0.015883993008915433,0.0019549487557410823,4437436.763958308,356.0199890136719,12464.0,Financial Services
JNJ,0.016129239517753215,0.016129239517753215,0.010753141236218018,0.005376098281535197,4012148.3300411124,265.8500061035156,15091.0,Healthcare
WMT,0.015845491657844164,0.015845491657844164,0.013964631870641614,0.00188085978720255,3941566.049888736,104.87000274658205,37585.0,Consumer Defensive
UNP,0.013901561215773293,0.013901561215773293,0.0029980002470874198,0.010903560968685874,3458013.3524236064,300.6700134277344,11501.0,Industrials
PG,0.013509670257203666,0.013509670257203666,0.005661665479050426,0.00784800477815324,3360530.476479412,145.1199951171875,23156.0,Consumer Defensive
AMD,0.01321141790746502,0.01321141790746502,0.012897606095657169,0.00031381181180785075,3286340.2044819235,470.7200012207031,6981.0,Technology
BAC,0.012752171261574892,0.012752171261574892,0.007269742002300116,0.005482429259274776,3172102.6013167542,61.625579833984375,51473.0,Financial Services
XOM,0.012606637974818851,0.012606637974818851,0.01110796970934844,0.0014986682654704112,3135901.196236189,160.9499969482422,19483.0,Energy
CAT,0.012390950336220893,0.012390950336220893,0.006152689870777455,0.006238260465443438,3082248.896134947,797.469970703125,3865.0,Industrials
KO,0.012386525524752603,0.012386525524752603,0.006403179998260606,0.005983345526491997,3081148.22428221,88.66999816894531,34748.0,Consumer Defensive
ABT,0.012282178554348606,0.012282178554348606,0.0032263611982313615,0.009055817356117244,3055191.915394216,110.36000061035156,27683.0,Healthcare
ABBV,0.012102868601275109,0.012102868601275109,0.0076053148873112125,0.004497553713963896,3010588.564567183,256.4200134277344,11740.0,Healthcare
DE,0.011625855598926964,0.011625855598926964,0.0029637552230258302,0.008662100375901134,2891931.5802330826,654.9099731445312,4415.0,Industrials
WFC,0.01153307573688986,0.01153307573688986,0.004384752344557494,0.007148323392332366,2868852.589551353,86.38999938964844,33208.0,Financial Services
GE,0.011281668544552138,0.011281668544552138,0.005846264309598138,0.005435404234953999,2806315.0504573444,335.7099914550781,8359.0,Industrials
RTX,0.01098403344171237,0.01098403344171237,0.004699061008314443,0.006284972433397928,2732278.318625952,207.72999572753903,13153.0,Industrials
COP,0.010932432538766858,0.010932432538766858,0.002671456156241873,0.008260976382524985,2719442.594018256,132.49000549316406,20525.0,Energy
NEE,0.01078431729150442,0.01078431729150442,0.0028819598549241856,0.007902357436580234,2682598.9262617244,82.33999633789062,32579.0,Utilities
MRK,0.01078190229752737,0.01078190229752737,0.006118657402188795,0.004663244895338575,2681998.1965099336,147.75999450683594,18151.0,Healthcare
COST,0.010526984152013998,0.010526984152013998,0.007025773843661797,0.0035012103083522017,2618587.307813482,943.8900146484376,2774.0,Consumer Defensive
