formation,constituents,top10_weight,pred_te_40,names_40,pred_te_model_40,pred_te_80,names_80,pred_te_model_80,pred_te_150,names_150,pred_te_model_150,turnover_index,turnover_full,turnover_sampled_40,turnover_sampled_80,turnover_sampled_150
2015-08-31,205,0.26517920291816943,0.015130220736193507,40,0.015130220736193507,0.006256373452891328,80,0.006256373452891328,0.0022347056312595386,141,0.002234705631259538,1.0,1.0,1.0,1.0,1.0
2015-11-30,193,0.26794563783275277,0.015866100652581882,40,0.015866100652581882,0.0064175139865059565,80,0.006417513986505957,0.0021674542606120064,139,0.0021674542606120064,0.06372981735301292,0.06372981735301292,0.15617960594134378,0.10287905951055422,0.08610481216365662
2016-02-29,199,0.29156256937883496,0.014789679630621763,40,0.014789679630621765,0.006275210193539566,79,0.006275210193539564,0.0024162966484943447,138,0.002416296648494345,0.08499271997442792,0.08499271997442792,0.22130515752740806,0.11083173429800827,0.09481586782463525
2016-05-31,201,0.29360514643264707,0.01515317436507715,40,0.01515317436507715,0.006285539141182795,80,0.006285539141182795,0.0024051147837662887,141,0.0024051147837662887,0.06931606872464444,0.06931606872464444,0.17848779873343962,0.1143552343575636,0.07931725208365889
2016-08-31,204,0.29665956286072204,0.01513372202227423,40,0.01513372202227423,0.006635213246604385,79,0.006635213246604386,0.002452175019274403,142,0.002452175019274403,0.07972842728996554,0.07972842728996554,0.1584432199406352,0.09825325726533253,0.10288216869115224
2016-11-30,207,0.2915337538427643,0.016241703627356944,40,0.01624170362735694,0.007282719779526426,80,0.007282719779526427,0.002890146921514583,144,0.0028901469215145826,0.06275847693687468,0.06275847693687468,0.11065082446723819,0.10266827508789363,0.085523439809016
2017-02-28,223,0.2883574038136081,0.0175778068724003,40,0.0175778068724003,0.007281211176231688,80,0.007281211176231688,0.0029578355038707735,145,0.0029578355038707735,0.06824844327617655,0.06824844327617655,0.13762326293068067,0.09159575728113535,0.07443331578541633
2017-05-31,218,0.30175980679461234,0.016400820575729082,40,0.016400820575729082,0.007253216404651469,80,0.0072532164046514675,0.002737048605437454,145,0.002737048605437454,0.06270678558961537,0.06270678558961537,0.1564465828393278,0.10151647102735109,0.08312698129814361
2017-08-31,225,0.30413234695819674,0.015003500577903423,40,0.015003500577903424,0.006915008752131835,80,0.006915008752131836,0.0026599955493504484,143,0.002659995549350448,0.05093637194350303,0.05093637194350303,0.13321656710515595,0.10370799358922886,0.08160324681480294
2017-11-30,232,0.30720811346253224,0.014940488159781495,40,0.014940488159781494,0.006855689331245978,80,0.006855689331245978,0.0025235023384136876,146,0.002523502338413688,0.04820457897408669,0.04820457897408669,0.14648577835465826,0.0876781948917403,0.05776300895773871
2018-02-28,265,0.3077663371029819,0.016047002958031777,40,0.016047002958031777,0.007467154065461312,80,0.007467154065461313,0.0032097502332648613,148,0.0032097502332648613,0.05898355162471692,0.05898355162471692,0.11873376910518915,0.08822248644825542,0.06388784740171909
2018-05-31,258,0.3115474281922959,0.015379878970844177,40,0.015379878970844175,0.007788389647782546,80,0.007788389647782546,0.0032633598160796214,145,0.0032633598160796214,0.04592093772015816,0.04592093772015816,0.1653906646602119,0.11636457033303314,0.07197931396114726
2018-08-31,234,0.336189492645462,0.01516793710155075,40,0.01516793710155075,0.007237567050136801,80,0.007237567050136801,0.0028037747063968783,145,0.0028037747063968783,0.0548852340456729,0.0548852340456729,0.11221196034644851,0.08433726593921084,0.07621946152607179
2018-11-30,241,0.3293883933679458,0.01637997184720602,40,0.01637997184720602,0.007293486147156283,80,0.007293486147156283,0.002937582487083667,144,0.002937582487083667,0.04656927486603365,0.04656927486603365,0.1446013422038059,0.0837341733344203,0.07163043641600834
2019-02-28,252,0.314182145118197,0.017926892212517552,40,0.017926892212517555,0.00798513379455173,80,0.00798513379455173,0.0031937965316128692,145,0.0031937965316128692,0.059059340770514515,0.059059340770514515,0.10875091740168374,0.10426686398043976,0.08211420852147429
2019-05-31,265,0.3167821981259111,0.01710261793006108,40,0.017102617930061084,0.007716102785134689,80,0.007716102785134689,0.003119832432050858,145,0.003119832432050858,0.06789787730788358,0.06789787730788358,0.10119457971134574,0.08698827060749612,0.08366384882874434
2019-08-31,278,0.31647741442760063,0.01591203229970621,40,0.015912032299706218,0.007629891443769331,80,0.007629891443769332,0.0032795424059671855,148,0.0032795424059671855,0.07149179792071671,0.07149179792071671,0.13035904341505516,0.12823673160227292,0.08403743830564156
2019-11-30,267,0.3235897501193617,0.016074892856322343,40,0.016074892856322343,0.00804415866688305,80,0.00804415866688305,0.0034921883444321627,148,0.0034921883444321627,0.048725165834843286,0.048725165834843286,0.0789684096551124,0.09339786978843385,0.06615756279528036
2020-02-29,319,0.3238195881969315,0.016878013271578122,40,0.016878013271578125,0.008494739882327525,80,0.008494739882327525,0.00400076867828087,148,0.00400076867828087,0.06917049337224576,0.06917049337224576,0.09549913798415947,0.08200244334866869,0.09450485870039929
2020-05-31,287,0.35258252047830413,0.017177021875233386,40,0.01717702187523338,0.008682520542688216,80,0.008682520542688216,0.0040958541432243156,145,0.0040958541432243156,0.06792223845507109,0.06792223845507109,0.1726650887054902,0.0943773148307433,0.09867689635184027
2020-08-31,309,0.37883867381868724,0.01916542433403714,40,0.019165424334037142,0.00963832811155983,80,0.00963832811155983,0.004565991068448193,147,0.004565991068448193,0.07632943889099442,0.07632943889099442,0.1647200984086998,0.1332270770056363,0.10981266628967992
2020-11-30,323,0.34585478754991444,0.020393589374052723,40,0.020393589374052726,0.010812229687987299,80,0.010812229687987297,0.00516596789217594,146,0.00516596789217594,0.06786621117627871,0.06786621117627871,0.116095109835937,0.1011225791339601,0.1080023271121875
2021-02-28,339,0.3501886048598542,0.022822423751901577,40,0.022822423751901574,0.012069849610891348,80,0.012069849610891348,0.00572247462285765,147,0.005722474622857651,0.058127672362335944,0.058127672362335944,0.16498916354765591,0.10602544974851787,0.11298712470942382
2021-05-31,345,0.339299975408289,0.02449296206660266,40,0.024492962066602657,0.012338642930450174,80,0.012338642930450174,0.005578549983397521,148,0.005578549983397521,0.06290336262174676,0.06290336262174676,0.15214446907870585,0.10096445985397046,0.09991034354927474
2021-08-31,336,0.36219436969866814,0.023007212962586062,40,0.02300721296258606,0.011278455232567961,80,0.011278455232567965,0.005242129101847077,147,0.005242129101847077,0.0334532418891628,0.0334532418891628,0.15128651016594913,0.0876914367470939,0.05798326729565533
2021-11-30,345,0.3910509475915087,0.02033316762042794,40,0.020333167620427948,0.010700419703717141,80,0.010700419703717141,0.004909489375133948,146,0.004909489375133948,0.05668857118182086,0.05668857118182086,0.17475785800915794,0.09796599631454933,0.0749769428545795
2022-02-28,336,0.37623039083812926,0.020852413742522224,40,0.02085241374252222,0.010992650316581313,80,0.010992650316581313,0.004985993045895456,147,0.004985993045895456,0.050941600747144954,0.050941600747144954,0.15475307812153896,0.07118783998040588,0.06757696125504181
2022-05-31,312,0.3729686542205227,0.023441068013956453,40,0.023441068013956456,0.01141724760358952,80,0.011417247603589522,0.004941076615685399,147,0.004941076615685399,0.08079050987635589,0.08079050987635589,0.1834552442208326,0.11453611364112679,0.10430255834797955
2022-08-31,295,0.37866177701406534,0.02159612349063029,40,0.021596123490630295,0.010755974142431774,80,0.010755974142431774,0.004798066517957428,148,0.004798066517957428,0.0691020923995236,0.0691020923995236,0.1602259695865448,0.11065382716182785,0.102846530043636
2022-11-30,309,0.35212602925980485,0.021176300631297013,40,0.02117630063129701,0.01074548903525971,80,0.010745489035259709,0.004567797405710101,149,0.0045677974057101,0.04721191362180676,0.04721191362180676,0.13546855941793876,0.08920754441397,0.07487868811525905
2023-02-28,320,0.3491217611982352,0.02178228249968994,40,0.02178228249968994,0.010817062547124296,80,0.010817062547124296,0.004959893224406396,148,0.004959893224406397,0.06178035157214335,0.06178035157214335,0.11030466354273982,0.10577775783274546,0.09875187188294167
2023-05-31,338,0.3969334056441653,0.02165871051942075,40,0.021658710519420747,0.010655910077100574,80,0.010655910077100574,0.005052643144181981,149,0.005052643144181981,0.04896658639551878,0.04896658639551878,0.1907293719015908,0.12386139036942659,0.07408675643074536
2023-08-31,340,0.4018846099598486,0.020147341747946867,40,0.02014734174794687,0.010549645965780329,80,0.010549645965780329,0.004962545307594735,149,0.004962545307594734,0.04233372016760534,0.04233372016760534,0.12359717017912142,0.07143615228880096,0.057218331503717745
2023-11-30,331,0.4127832558558333,0.019343431855149022,40,0.019343431855149015,0.010384534495234436,80,0.010384534495234432,0.004748525551520343,149,0.004748525551520343,0.05551837878380134,0.05551837878380134,0.10761452178946417,0.0989251616332568,0.0886062921296038
2024-02-29,360,0.4028353983662558,0.020289740411719305,40,0.02028974041171931,0.011330071965122887,80,0.011330071965122885,0.005453747614678764,150,0.005453747614678763,0.07127742754880026,0.07127742754880026,0.1402732912285531,0.11831784511227891,0.0933166419922109
2024-05-31,368,0.4228083893226876,0.019964200812213097,40,0.019964200812213093,0.011337098143301387,80,0.011337098143301387,0.005434394296954828,149,0.005434394296954828,0.048762896544582116,0.048762896544582116,0.15105935785895577,0.08821332857856526,0.0846556773042176
2024-08-31,361,0.4244257848965353,0.019136809352742878,40,0.019136809352742874,0.010735279054558285,80,0.010735279054558285,0.005491729327535457,150,0.005491729327535458,0.043603341841142784,0.043603341841142784,0.06796165486150318,0.05283533469669464,0.07175143666211539
2024-11-30,365,0.42826711252760047,0.01941057195684603,40,0.01941057195684603,0.01089743007947341,80,0.010897430079473412,0.005515937578351422,150,0.005515937578351421,0.039582275568580884,0.039582275568580884,0.08621122775268095,0.08141683339153893,0.0774468374643214
