ticker,weight,usd,price,shares,sector
NVDA,0.0869361703747205,434680.8518736025,220.53323364257812,1971.0,Technology
AAPL,0.07298846429198201,364942.3214599101,316.8500061035156,1151.0,Technology
MSFT,0.0600795878356785,300397.9391783925,507.2900085449219,592.0,Technology
AVGO,0.02896680465343638,144834.0232671819,370.3399963378906,391.0,Technology
MU,0.01823711920584427,91185.59602922134,958.72998046875,95.0,Technology
AMD,0.01321141790746502,66057.0895373251,470.7200012207031,140.0,Technology
INTC,0.00800022964301701,40001.14821508505,89.51000213623047,446.0,Technology
PLTR,0.007916524920545244,39582.62460272622,186.3800048828125,212.0,Technology
CSCO,0.00782726896209047,39136.34481045235,110.48999786376952,354.0,Technology
ORCL,0.008369155972502517,41845.77986251259,149.1199951171875,280.0,Technology
LRCX,0.006618640231701569,33093.20115850784,301.489990234375,109.0,Technology
AMAT,0.00646718809187018,32335.940459350903,458.3900146484375,70.0,Technology
PANW,0.006146838994315029,30734.194971575143,382.1300048828125,80.0,Technology
DELL,0.006923153800501512,34615.76900250756,456.010009765625,75.0,Technology
ANET,0.0049429076577362915,24714.53828868146,195.69000244140625,126.0,Technology
TXN,0.00506495539588152,25324.776979407598,260.9100036621094,97.0,Technology
CRWD,0.005223502447405461,26117.512237027306,231.0,113.0,Technology
SNDK,0.003957722494080246,19788.61247040123,1566.699951171875,12.0,Technology
CRM,0.005619076432189738,28095.382160948688,257.5400085449219,109.0,Technology
STX,0.0036921345774710243,18460.672887355122,828.3800048828125,22.0,Technology
MRVL,0.00437695403362525,21884.770168126248,211.66000366210935,103.0,Technology
QCOM,0.004727640675460307,23638.203377301532,169.5571746826172,139.0,Technology
ADI,0.004506372602118069,22531.863010590343,361.0400085449219,62.0,Technology
WDC,0.0034104016062970143,17052.00803148507,450.4053955078125,37.0,Technology
UBER,0.004487612845189916,22438.06422594958,75.6500015258789,296.0,Technology
NOW,0.00483675399774405,24183.769988720247,147.99000549316406,163.0,Technology
GLW,0.0032904328552649125,16452.16427632456,148.72999572753906,110.0,Technology
FTNT,0.003699533059612241,18497.665298061205,170.92999267578125,108.0,Technology
ADBE,0.0050566131216047425,25283.065608023713,292.7900085449219,86.0,Technology
SNOW,0.00316770889509582,15838.544475479099,331.42999267578125,47.0,Technology
ADP,0.006049354413686644,30246.77206843322,284.34027099609375,106.0,Technology
INTU,0.003936112960426498,19680.564802132492,359.29998779296875,54.0,Technology
APH,0.004281038434589365,21405.192172946827,79.2750015258789,270.0,Technology
AMZN,0.046948330128187936,234741.65064093968,259.7699890136719,903.0,Consumer Cyclical
TSLA,0.02473651092737631,123682.55463688156,367.9500122070313,336.0,Consumer Cyclical
HD,0.010369434557937422,51847.17278968711,325.4317932128906,159.0,Consumer Cyclical
MCD,0.009290802280902287,46454.01140451143,261.6800231933594,177.0,Consumer Cyclical
TJX,0.008411112321524018,42055.56160762009,133.91000366210938,314.0,Consumer Cyclical
SBUX,0.005927042964699504,29635.214823497518,106.25,278.0,Consumer Cyclical
LOW,0.00967416645542662,48370.8322771331,204.6999969482422,236.0,Consumer Cyclical
MELI,0.004731763700096959,23658.818500484795,1936.199951171875,12.0,Consumer Cyclical
LLY,0.019911123614355958,99555.61807177978,1156.72998046875,86.0,Healthcare
JNJ,0.016129239517753215,80646.19758876608,265.8500061035156,303.0,Healthcare
ABBV,0.012102868601275109,60514.343006375544,256.4200134277344,235.0,Healthcare
MRK,0.01078190229752737,53909.51148763685,147.75999450683594,364.0,Healthcare
UNH,0.008417114367466276,42085.57183733138,389.4100036621094,108.0,Healthcare
TMO,0.00950965835210085,47548.291760504246,617.0999755859375,77.0,Healthcare
ABT,0.012282178554348606,61410.892771743034,110.36000061035156,556.0,Healthcare
PFE,0.008570028345224565,42850.14172612282,28.459999084472656,1505.0,Healthcare
GOOG,0.06622642006987083,331132.10034935415,335.1923828125,987.0,Communication Services
NFLX,0.005386301057832075,26931.505289160374,81.05000305175781,332.0,Communication Services
VZ,0.00512776679056199,25638.83395280995,50.02000045776367,512.0,Communication Services
TMUS,0.0044590053197564004,22295.026598782002,180.44000244140625,123.0,Communication Services
DIS,0.004091186226323266,20455.93113161633,107.5500030517578,190.0,Communication Services
APP,0.00212013174621414,10600.6587310707,312.05999755859375,33.0,Communication Services
WBD,0.0022870285252160143,11435.14262608007,28.530000686645508,400.0,Communication Services
JPM,0.017838941764656516,89194.70882328258,356.0199890136719,250.0,Financial Services
BAC,0.012752171261574892,63760.856307874456,61.625579833984375,1034.0,Financial Services
