ticker,weight,usd,price,shares,sector
MS,0.010229295979569656,51146.47989784828,213.32000732421875,239.0,Financial Services
GS,0.010196480175206146,50982.400876030726,1020.9000244140624,49.0,Financial Services
WFC,0.01153307573688986,57665.3786844493,86.38999938964844,667.0,Financial Services
C,0.009109910710181178,45549.55355090589,131.6199951171875,346.0,Financial Services
AXP,0.009405816913200976,47029.08456600488,330.1700134277344,142.0,Financial Services
CAT,0.012390950336220893,61954.75168110446,797.469970703125,77.0,Industrials
GE,0.011281668544552138,56408.34272276069,335.7099914550781,168.0,Industrials
RTX,0.01098403344171237,54920.167208561856,207.72999572753903,264.0,Industrials
GEV,0.007585290929417964,37926.45464708982,898.530029296875,42.0,Industrials
UNP,0.013901561215773293,69507.80607886646,300.6700134277344,231.0,Industrials
DE,0.011625855598926964,58129.277994634824,654.9099731445312,88.0,Industrials
WMT,0.015845491657844164,79227.45828922083,104.87000274658205,755.0,Consumer Defensive
COST,0.010526984152013998,52634.92076006999,943.8900146484376,55.0,Consumer Defensive
KO,0.012386525524752603,61932.627623763015,88.66999816894531,698.0,Consumer Defensive
PG,0.013509670257203666,67548.35128601833,145.1199951171875,465.0,Consumer Defensive
XOM,0.012606637974818851,63033.189874094256,160.9499969482422,391.0,Energy
CVX,0.010190628098743207,50953.14049371603,206.13999938964844,247.0,Energy
COP,0.010932432538766858,54662.16269383429,132.49000549316406,412.0,Energy
LIN,0.009731867348630083,48659.336743150416,487.9729919433594,99.0,Basic Materials
NEE,0.01078431729150442,53921.5864575221,82.33999633789062,654.0,Utilities
WELL,0.007730958781829579,38654.7939091479,236.2400054931641,163.0,Real Estate
GLD,0.006412923652882752,32064.618264413763,408.4200134277344,78.0,Unknown
