ticker,weight,target
NVDA,0.08930518526504418,0.08930518526504418
AAPL,0.07761279522001939,0.07761279522001939
GOOG,0.06884975116624903,0.06884975116624903
MSFT,0.0632243798652576,0.0632243798652576
AMZN,0.04702858633792945,0.04702858633792945
AVGO,0.029572404800932182,0.029572404800932182
TSLA,0.02439136234607787,0.02439136234607787
LLY,0.018276216112916063,0.018276216112916063
MU,0.01817361672522243,0.01817361672522243
JPM,0.015883993008915433,0.015883993008915433
WMT,0.013964631870641614,0.013964631870641614
AMD,0.012897606095657169,0.012897606095657169
XOM,0.01110796970934844,0.01110796970934844
JNJ,0.010753141236218018,0.010753141236218018
ABBV,0.0076053148873112125,0.0076053148873112125
INTC,0.007577859554983081,0.007577859554983081
PLTR,0.007516823979667658,0.007516823979667658
CSCO,0.007309323838364484,0.007309323838364484
BAC,0.007269742002300116,0.007269742002300116
ORCL,0.007209402861210409,0.007209402861210409
COST,0.007025773843661797,0.007025773843661797
CVX,0.006835949470614219,0.006835949470614219
KO,0.006403179998260606,0.006403179998260606
LRCX,0.006332009202444657,0.006332009202444657
CAT,0.006152689870777455,0.006152689870777455
MRK,0.006118657402188795,0.006118657402188795
AMAT,0.00610569793798225,0.00610569793798225
UNH,0.005866611933227494,0.005866611933227494
GE,0.005846264309598138,0.005846264309598138
NFLX,0.005664445091073241,0.005664445091073241
PG,0.005661665479050426,0.005661665479050426
MS,0.0056232548791617255,0.0056232548791617255
HD,0.005489642196217579,0.005489642196217579
PANW,0.005227194440028144,0.005227194440028144
GS,0.00501364608014184,0.00501364608014184
DELL,0.004967283864350676,0.004967283864350676
PM,0.004899774663078259,0.004899774663078259
RTX,0.004699061008314443,0.004699061008314443
WFC,0.004384752344557494,0.004384752344557494
ANET,0.004142485479486934,0.004142485479486934
GEV,0.004016598586067317,0.004016598586067317
TXN,0.003999256118718276,0.003999256118718276
CRWD,0.003969942419033521,0.003969942419033521
C,0.003864477582756395,0.003864477582756395
SNDK,0.0038501989909490645,0.0038501989909490645
TMO,0.0038296618694968225,0.0038296618694968225
LIN,0.0037879636239216558,0.0037879636239216558
AXP,0.0037423173009750272,0.0037423173009750272
CRM,0.0035574962221313674,0.0035574962221313674
VZ,0.0034881176825939993,0.0034881176825939993
TMUS,0.003248624524504678,0.003248624524504678
ABT,0.0032263611982313615,0.0032263611982313615
PEP,0.003214989175593273,0.003214989175593273
SCHW,0.0031875767856571276,0.0031875767856571276
STX,0.0031511910407738433,0.0031511910407738433
MCD,0.0031301112661252673,0.0031301112661252673
DIS,0.003116907602456389,0.003116907602456389
MRVL,0.0031152203842275145,0.0031152203842275145
QCOM,0.003004433746768939,0.003004433746768939
UNP,0.0029980002470874198,0.0029980002470874198
DE,0.0029637552230258302,0.0029637552230258302
ADI,0.0029452955425025465,0.0029452955425025465
NEE,0.0028819598549241856,0.0028819598549241856
WELL,0.0027990162678439502,0.0027990162678439502
BA,0.002756348356996849,0.002756348356996849
WDC,0.00272644964038367,0.00272644964038367
PFE,0.002722605850401472,0.002722605850401472
COP,0.002671456156241873,0.002671456156241873
ETN,0.0026198445723846814,0.0026198445723846814
UBER,0.002593484735318986,0.002593484735318986
NOW,0.0025683418687704094,0.0025683418687704094
DHR,0.0025198026206349174,0.0025198026206349174
TJX,0.002472267003257432,0.002472267003257432
GLD,0.0024156990114591968,0.0024156990114591968
VRTX,0.002316459821040866,0.002316459821040866
BMY,0.0022905990028954017,0.0022905990028954017
ISRG,0.00223458342601785,0.00223458342601785
NEM,0.0022294153930637346,0.0022294153930637346
COF,0.0022087739453037214,0.0022087739453037214
CB,0.0022042557379724423,0.0022042557379724423
PLD,0.0021895410044282296,0.0021895410044282296
LMT,0.0021739981659113674,0.0021739981659113674
SPGI,0.002165303111091024,0.002165303111091024
GLW,0.00215029208454509,0.00215029208454509
PGR,0.0021279905175131913,0.0021279905175131913
FTNT,0.002104964525342828,0.002104964525342828
SYK,0.0020846099960863847,0.0020846099960863847
PH,0.0020721055489066943,0.0020721055489066943
SBUX,0.0020329827640584524,0.0020329827640584524
CVS,0.0020159151421576507,0.0020159151421576507
ADBE,0.001953409483938001,0.001953409483938001
MDT,0.0019475697676785049,0.0019475697676785049
SNOW,0.0019280587899922594,0.0019280587899922594
LOW,0.0019276244242908845,0.0019276244242908845
MO,0.0019191704667608014,0.0019191704667608014
ADP,0.0019080364620230105,0.0019080364620230105
BNY,0.0018366775655728946,0.0018366775655728946
FCX,0.001825513018910108,0.001825513018910108
BX,0.001804626482597904,0.001804626482597904
MPC,0.0017596106152490145,0.0017596106152490145
APP,0.001756143107168448,0.001756143107168448
VLO,0.0017345254221139538,0.0017345254221139538
EQIX,0.001733496487128741,0.001733496487128741
MCK,0.0017324584993511033,0.0017324584993511033
GD,0.0016855378541348947,0.0016855378541348947
VRT,0.0016717729704463031,0.0016717729704463031
SO,0.0016650317092933647,0.0016650317092933647
KKR,0.0016530491974932895,0.0016530491974932895
PSX,0.0016514043312453627,0.0016514043312453627
INTU,0.0016495792634625267,0.0016495792634625267
MELI,0.0016475199261261114,0.0016475199261261114
APH,0.0016405648991241293,0.0016405648991241293
HWM,0.0016395853082959576,0.0016395853082959576
CEG,0.0016339900222277477,0.0016339900222277477
PNC,0.001604547870468675,0.001604547870468675
CSX,0.0015704698271927211,0.0015704698271927211
HCA,0.0015431620284462363,0.0015431620284462363
PWR,0.0015319244663587728,0.0015319244663587728
MRSH,0.0015202212937814623,0.0015202212937814623
ICE,0.0015142023594096874,0.0015142023594096874
SLB,0.0014970978380836639,0.0014970978380836639
MAR,0.0014957967830749154,0.0014957967830749154
MCO,0.0014669978539338009,0.0014669978539338009
ELV,0.0014288343811210674,0.0014288343811210674
EMR,0.0014271754405337624,0.0014271754405337624
JCI,0.0014156170367983516,0.0014156170367983516
SNPS,0.0014139246586349365,0.0014139246586349365
SHW,0.0013804794450387133,0.0013804794450387133
LITE,0.001377207946991786,0.001377207946991786
AMT,0.001374106335093535,0.001374106335093535
APO,0.0013537506048764691,0.0013537506048764691
MSI,0.0013480061812300708,0.0013480061812300708
MDLZ,0.0013372980021773258,0.0013372980021773258
ECL,0.0013324796560827174,0.0013324796560827174
CMI,0.0013040938630857124,0.0013040938630857124
FDX,0.0013000461869918179,0.0013000461869918179
NSC,0.001292272205123542,0.001292272205123542
NOC,0.0012868662042127244,0.0012868662042127244
TRV,0.001281032687629302,0.001281032687629302
EOG,0.0012761971108047677,0.0012761971108047677
GM,0.001271260279689588,0.001271260279689588
TGT,0.0012267091195094885,0.0012267091195094885
CI,0.0012244306467680557,0.0012244306467680557
RCL,0.0012063635036097442,0.0012063635036097442
ORLY,0.0012057030524397585,0.0012057030524397585
