factor,cash_flow,earnings_yield,ind:Basic Materials,ind:Communication Services,ind:Consumer Cyclical,ind:Consumer Defensive,ind:Energy,ind:Financial Services,ind:Healthcare,ind:Industrials,ind:Real Estate,ind:Technology,ind:Unknown,ind:Utilities,low_vol,market,momentum,profitability,reversal,size,value
cash_flow,0.0001580953890772131,7.575318262934828e-05,8.259554852489271e-06,-5.9718372291543554e-05,-6.376909671767188e-05,-8.578532233804942e-05,-0.00029556438848504405,8.470428172643552e-05,2.6285452318646044e-06,-0.0001005614411737199,3.0223016355641984e-05,0.00018335962194925394,6.79477579844168e-05,-0.00015147713581293245,-8.252260514791486e-05,1.87933490290682e-05,-0.00013297081702273242,-0.0001773529289099898,5.3270418071556164e-05,-2.523558749903072e-05,-2.0639916329223898e-05
earnings_yield,7.57531826293483e-05,0.0005143710908365445,0.00011719390623024207,9.341659099030813e-05,6.830125274645828e-05,7.024148221955474e-05,0.00027604230492345324,6.787145319626443e-05,0.0002695972318432172,-0.00010672971654990951,-0.00010203502101180243,-0.0002763306649581054,-0.0002367924715844089,-0.0001556130283362115,0.00011563693026784122,-0.00011053487568726663,-0.0003115417376485992,-0.0002590964701537795,2.576873319573822e-05,0.00013902039395284553,-0.00017534627988826737
ind:Basic Materials,8.259554852489266e-06,0.00011719390623024208,0.0016331836879951067,0.00016111854167315468,-8.302083638467829e-05,0.00015202708075007942,0.0010599516508728532,-0.00021444409988561207,-0.00013386336367317864,1.5246628438231888e-05,-9.649846394888665e-06,-0.00031599707947072367,0.00033457609425017413,7.540428167531966e-05,-3.869849849306467e-05,2.746182088895255e-05,-0.0003362356475208419,6.952845157263629e-05,-0.00014993558976411322,8.639597886348154e-06,5.171130285300022e-05
ind:Communication Services,-5.971837229154354e-05,9.341659099030813e-05,0.00016111854167315468,0.0013974840916979793,0.00011039372228352644,-0.0003056677329504538,0.0001939606724624394,0.00018354266620696088,-0.00029501825405566987,-0.00033758022398719075,-7.606783297360073e-05,-0.0001235599845948847,0.0003462956394631934,0.0002205930523946733,9.504834761670558e-05,-0.00035540306201494967,-0.00022896008107301853,9.040506890748592e-05,-1.441038931668016e-06,-1.1565754337664996e-05,-8.133090311767843e-05
ind:Consumer Cyclical,-6.37690967176719e-05,6.830125274645828e-05,-8.302083638467829e-05,0.00011039372228352644,0.0004874691952379648,8.060412638066317e-05,-0.00024328730006558614,6.618643628128134e-05,-3.648936104526675e-05,5.6465895768651084e-05,0.00012140986653775952,-0.0004335232287247453,-0.00014550294742124204,0.00010151908377243235,9.151388837331804e-05,0.0001887508068943303,5.516293085337041e-05,3.9476219163324905e-05,7.463025879412614e-05,6.304518509122536e-05,-5.192787701628104e-05
ind:Consumer Defensive,-8.578532233804942e-05,7.024148221955475e-05,0.00015202708075007942,-0.0003056677329504538,8.060412638066317e-05,0.0009011466643769961,0.00039371667269994735,-0.00038985854977429025,0.00018916460173379657,0.00025863932438545417,0.0001126152228807802,-0.00048744736138162846,-8.594125995715843e-05,0.0002606149641226431,0.00031844952982262105,-0.00043604480632770644,0.00012951632833232266,0.00011033565767563911,-8.693897220405318e-05,6.314087456170387e-05,2.0610323975151828e-05
ind:Energy,-0.00029556438848504405,0.0002760423049234533,0.0010599516508728532,0.00019396067246243954,-0.00024328730006558614,0.00039371667269994735,0.005206788646875769,-0.0003152780421646879,2.1667508555487613e-05,-0.000169756099027564,-0.0003617353494129004,-0.0008196973492217158,-0.00031858281671909815,0.00023071772900598044,0.000632869677427607,-0.001074795693588758,-0.00040968001884982247,0.00032337457757742146,1.86247633934837e-05,0.00012590287585290106,0.00024746364344813436
ind:Financial Services,8.470428172643552e-05,6.787145319626443e-05,-0.00021444409988561204,0.00018354266620696088,6.618643628128136e-05,-0.0003898585497742903,-0.00031527804216468786,0.0006484588989912974,-0.0001415023344749994,-0.0002033877230882923,-1.4171546709601274e-05,1.2864467075216161e-05,3.242200179597652e-05,-0.00036043313862233487,-0.00010033176113836413,0.00015859132726666724,-9.742607838222299e-05,-0.0001471200811158142,9.360073446060334e-05,-1.6125975973986726e-05,-7.256359217830063e-05
ind:Healthcare,2.628545231864604e-06,0.0002695972318432172,-0.00013386336367317858,-0.00029501825405566987,-3.648936104526676e-05,0.00018916460173379657,2.1667508555487602e-05,-0.00014150233447499943,0.0010125988005842195,-0.0001673943699867226,-6.327371565559147e-05,-0.00040515941189216847,-0.0004602709009531518,-0.0001697317577891335,0.00041425495904298676,-0.0003447107496275271,-0.00012404973014914632,-0.00012778400139378763,5.252362856750398e-05,0.0001204246536250566,-4.787436460836511e-05
ind:Industrials,-0.00010056144117371991,-0.00010672971654990951,1.5246628438231881e-05,-0.00033758022398719075,5.646589576865108e-05,0.00025863932438545417,-0.00016975609902756403,-0.00020338772308829234,-0.00016739436998672262,0.0005901778841896793,-1.588114312535424e-05,-0.00021202390178867372,-7.186601020530826e-05,0.00036898913114637524,-8.95036810717727e-05,0.0003325005003919501,0.00026665321051807687,0.00016199088673404306,-0.00012138681642267375,5.34365298247781e-05,5.48134330323326e-05
