n,added,alpha,vol,ir,names
1,FCNTX,0.024931264804751958,0.05935555763241632,0.42003252600454133,1
2,marshall-wace,0.017550417548037184,0.036504995502043905,0.48076755815665123,2
3,adage,0.014363230908413882,0.02747376230701475,0.5227981063498749,3
4,duquesne,0.015491450733322696,0.03439609555126828,0.4503839893755465,4
5,whale-rock,0.016738872248894823,0.04233101660468231,0.39542807122291757,5
6,semper-augustus,0.016004189736192578,0.03668616250885324,0.4362459478374275,6
7,tci,0.015213255717677392,0.033958097299607144,0.44800082829886323,7
8,elliott,0.015393347091136333,0.033045299422028364,0.46582561999347344,8
9,yacktman,0.014518087829200492,0.030321583883653108,0.47880374207718895,9
10,atreides,0.014285041133610583,0.0316633167274092,0.45115428862336476,10
11,SEQUX,0.013673014065927414,0.03043363063122354,0.44927318175109593,11
12,cantillon,0.012886915002486798,0.02838972658467317,0.4539288169631083,12
13,viking,0.012297716738241862,0.02832174411981075,0.4342146686382829,13
14,markel-13f,0.011622730617372961,0.026902254991654412,0.4320355531898182,14
15,fundsmith,0.011130676844888615,0.026060815666266255,0.4271039321035692,15
16,gotham,0.010558060115803443,0.024257341404662926,0.4352521547878241,16
17,greenlight,0.010291253965508215,0.024356976223136397,0.4225177161249054,17
18,darsana,0.009987577957375478,0.025718785843329078,0.3883378483812077,18
19,glenview,0.009646465045395958,0.025556146941138745,0.37746163643579855,19
20,eminence,0.009307715426374298,0.02569772820996786,0.3621999326292174,20
21,kingdon,0.00896301739160639,0.025649424158085028,0.349443220883426,21
22,akre,0.008647170866308299,0.02526277835700357,0.3422889891250245,22
23,tiger-global,0.008386529786820213,0.025954533076972798,0.3231238936931928,23
24,appaloosa,0.008130681227645377,0.025623861539305067,0.31730897449525813,24
25,light-street,0.007907960426325114,0.026868301543557526,0.29432304879804666,25
