key,name,manager,style,kind,months,first,last,alpha,se,t,resid_vol,beta,smb,hml,shrink_factor,alpha_shrunk,tau,prior_mean,ir_raw,ir_shrunk,alpha_eb,weight_optimised,weight_top10
sands,Sands Capital,Frank Sands,Concentrated long / value,fund,154,2013-10,2026-07,-0.022046562860198154,0.0275658390349008,-0.799778408060979,0.08502502587422717,1.165019810995559,0.17117820547390045,-0.5448671373614146,0.34486460513364675,-0.011523830172411011,0.02,-0.005984642270586649,-0.25929498560589,-0.13553456825120616,-0.005984642270586649,0.0,0.0
gardner-russo,Gardner Russo & Quinn,Tom Russo,Concentrated long / value,fund,154,2013-10,2026-07,-0.016035237666855225,0.017404369825694488,-0.9213339998775492,0.0695827649763832,0.7924346228941381,-0.3604854035895389,0.12456084798567799,0.569061204442007,-0.011704046192146536,0.02,-0.005984642270586649,-0.2304484116475923,-0.16820323532873346,-0.005984642270586649,0.0,0.0
third-avenue,Third Avenue Management,Marty Whitman legacy,Concentrated long / value,fund,154,2013-10,2026-07,-0.02080346176115185,0.02397134254802215,-0.8678471687380863,0.08235329920174098,1.02062893861147,0.41438295058710994,0.570536402599353,0.41041415091286965,-0.01206649548933805,0.02,-0.005984642270586649,-0.2526123660230003,-0.14652109394887436,-0.005984642270586649,0.0,0.0
ruane-cunniff,"Ruane, Cunniff & Goldfarb (Sequoia)",Sequoia Fund,Concentrated long / value,fund,154,2013-10,2026-07,-0.023243073009754055,0.026565510002063367,-0.8749341912859472,0.1104456101421427,0.9684551057564041,0.0639562187632873,0.01282088084027944,0.36175316817634434,-0.012227934268232467,0.02,-0.005984642270586649,-0.21044813804587062,-0.11071453408148323,-0.005984642270586649,0.0,0.0
tiger-management,Tiger Management (Robertson),Julian Robertson (family office),Family office,fund,122,2013-10,2023-11,-0.026580869882902126,0.026907023601468072,-0.9878784913784314,0.08509896193008624,1.1882526471760264,0.11710314109961012,-0.13943668799341938,0.35587571112317756,-0.013314339418574244,0.02,-0.005984642270586649,-0.31235245742174694,-0.15645713081098156,-0.005984642270586649,0.0,0.0
icahn,Icahn Enterprises / Icahn Capital,Carl Icahn,Activist,fund,139,2015-01,2026-07,-0.07837517355405171,0.05897024819944148,-1.3290629757735026,0.22121144919329044,0.9778763404764854,0.4134860011116973,0.7749394314178498,0.10315951354715734,-0.01345241426320918,0.02,-0.005984642270586649,-0.35429980608991424,-0.06081246839739615,-0.005984642270586649,0.0,0.0
hound,Hound Partners,Jonathan Auerbach,Long/short equity,fund,112,2017-04,2026-07,-0.03598224752543642,0.03352967217298215,-1.0731464160997828,0.09621905919832384,1.2034704264919849,0.22268198161123157,0.08709269331437228,0.2624260513190722,-0.013856795366645124,0.02,-0.005984642270586649,-0.373961747550149,-0.14401299994093594,-0.005984642270586649,0.0,0.0
third-point,Third Point,Daniel Loeb,Activist,fund,148,2014-04,2026-07,-0.02680983650790053,0.025142404420493508,-1.0663195158076408,0.09055726477040478,0.943023642354219,0.04703250578098533,-0.11346047726793945,0.3875441376276613,-0.014055324212215,0.02,-0.005984642270586649,-0.29605395631011056,-0.15520923967668745,-0.005984642270586649,0.0,0.0
hitchwood,Hitchwood Capital,James Crichton,Long/short equity,fund,90,2016-04,2023-09,-0.04355445857678431,0.03726397429991044,-1.1688087326984065,0.09097934295443491,1.2489409468080122,0.5545032818922239,-0.6986880144889638,0.2236381273108813,-0.014386685632718506,0.02,-0.005984642270586649,-0.47872909566512967,-0.1581313424072954,-0.005984642270586649,0.0,0.0
trian,Trian Fund Management,Nelson Peltz,Activist,fund,131,2015-07,2026-05,-0.031099022039648913,0.028144732590033784,-1.1049677569386913,0.09831129456862832,0.9328156899481788,-0.14338505619130387,0.27510916914178324,0.3355350098945644,-0.014411395934894804,0.02,-0.005984642270586649,-0.3163321383988039,-0.1465894228951956,-0.005984642270586649,0.0,0.0
