formation,model,n,auc,base_rate,risky,safe,spread
2018-05-31,persist,49,0.46206896551724136,0.40816326530612246,0.049963166500657456,0.031907980029024535,0.01805518647163292
2018-08-31,persist,50,0.44991511035653653,0.38,0.05146083910774758,0.020031325980661686,0.0314295131270859
2018-11-30,persist,50,0.5202205882352942,0.32,0.030998477481484314,-0.008261245783644008,0.03925972326512832
2019-02-28,persist,52,0.5529411764705883,0.3269230769230769,-0.008794187724927401,0.013275231069756352,-0.022069418794683753
2019-05-31,persist,54,0.679945054945055,0.48148148148148145,-0.1601699514699068,0.05614677811827031,-0.21631672958817713
2019-08-31,persist,54,0.49862637362637363,0.48148148148148145,0.003707699167847664,0.019241420953408018,-0.015533721785560353
2019-11-30,persist,54,0.6923076923076923,0.48148148148148145,0.0502129636749393,0.31071086143193544,-0.26049789775699617
2020-02-29,persist,56,0.5644955300127714,0.48214285714285715,0.03155333820671457,0.20642802352366466,-0.17487468531695008
2020-05-31,persist,57,0.34271099744245526,0.40350877192982454,0.20256831034975623,0.04567686268807027,0.15689144766168595
2020-08-31,persist,58,0.2773809523809524,0.4827586206896552,0.13590852249058116,-0.04556090080177109,0.18146942329235224
2020-11-30,persist,58,0.3252361673414305,0.6724137931034483,-0.008346573008488295,-0.1301141272477401,0.12176755423925181
2021-02-28,persist,59,0.36025641025641025,0.6610169491525424,-0.017049243970600952,-0.31802475214890064,0.30097550817829966
2021-05-31,persist,61,0.5,0.7213114754098361,-0.12260254614890513,-0.10683905095743058,-0.015763495191474547
2021-08-31,persist,65,0.6739130434782609,0.7076923076923077,-0.16997372101475985,-0.012333061673861216,-0.15764065934089863
2021-11-30,persist,64,0.7285259809119831,0.640625,-0.2156016681466049,0.03729462773561894,-0.25289629588222384
2022-02-28,persist,64,0.8276923076923077,0.609375,-0.21211000288973333,0.07722785751181178,-0.28933786040154513
2022-05-31,persist,65,0.3301707779886148,0.5230769230769231,0.04204524165747526,-0.0412774268065262,0.08332266846400146
2022-08-31,persist,66,0.5545112781954887,0.42424242424242425,0.004740639260106295,0.008460553915610482,-0.0037199146555041878
2022-11-30,persist,65,0.2606177606177606,0.4307692307692308,0.17068555930602816,-0.03129600252991992,0.20198156183594806
2023-02-28,persist,64,0.30049261083743845,0.453125,0.21829832208751176,-0.10504141981862641,0.3233397419061382
2023-05-31,persist,63,0.5498960498960499,0.4126984126984127,-0.001711309510349765,0.08251590773417107,-0.08422721724452084
2023-08-31,persist,62,0.5788923719958202,0.532258064516129,-0.019272983566488062,0.004520788205795143,-0.023793771772283204
2023-11-30,persist,62,0.5972944849115505,0.5,-0.017360052429236078,0.11003084820656951,-0.1273909006358056
2024-02-29,persist,62,0.6973544973544974,0.5645161290322581,-0.059668998741408345,0.03754776604026517,-0.09721676478167351
2024-05-31,persist,62,0.6186974789915967,0.45161290322580644,-0.03907159614248131,0.02004059650438685,-0.059112192646868164
2024-08-31,persist,63,0.7,0.4444444444444444,-0.043481632555172046,0.10896141025079323,-0.15244304280596527
