slug,period,formation,filed,n_positions,hhi,top1_w,top10_w,turnover,new_frac,sold_frac,book_growth,crowding,excess_12,excess_36,vol_12,mdd_12,alpha36_t,fwd_excess,fwd_return,y,p_persist,p_base,p_logistic,p_xgboost
cantillon,2014-06-30,2014-08-31,2014-08-07,2.995732273553991,0.06983006968550222,0.10623265062710477,0.7569891366145154,0.17858192530178574,0.1,0.1,-0.001988128177158415,7.831896459777279,-0.06460208006286386,,0.1327020111132592,-0.07849506253514982,,-0.035866370490043424,-0.03157934365746129,1.0,,,,
fisher,2014-06-30,2014-08-31,2014-07-25,6.331501849893691,0.012130234921650548,0.0328773737156609,0.2258500013371743,0.09399900183688559,0.1423487544483986,0.09737827715355805,0.07015876672931926,6.642022880650213,-0.04934683006286403,,0.08340871467893661,-0.039066725099470956,,0.013169132276201121,0.01745615910878326,0.0,,,,
fundsmith,2014-06-30,2014-08-31,2014-08-11,2.772588722239781,0.07043002875976676,0.10115308433677114,0.7613347091953238,0.09221769895144794,0.0625,0.0,0.1282665967171406,8.029290908050454,-0.047031620062864155,,0.0830688113584463,-0.026396076027679016,,0.10629031129444784,0.11057733812702998,0.0,,,,
yacktman,2014-06-30,2014-08-31,2014-08-04,3.8501476017100584,0.05286050908060268,0.11449755542491219,0.6347717638911061,0.04528678576658385,0.0425531914893617,0.0425531914893617,0.024363073771511732,10.427045013378294,-0.028898920062864042,,0.08105419407632115,-0.03261801354088201,,-0.010788253839293552,-0.006501227006711416,1.0,,,,
adage,2014-09-30,2014-11-30,2014-11-14,6.553933404025811,0.005722766705905314,0.03362278641257448,0.15353750192690596,0.18593467359155247,0.150997150997151,0.1324599708879185,0.04187678812731675,7.496650578963986,0.1693208022988731,,0.11066644279459256,-0.02862824478524706,,-0.0461820813172141,-0.022655682022659045,1.0,,,,
akre,2014-09-30,2014-11-30,2014-11-13,3.6635616461296463,0.06283268836560275,0.10670802456282294,0.7103567600812709,0.06065865540900672,0.02564102564102564,0.02564102564102564,0.023962248579979018,7.734335469880584,0.11849732687257522,,0.12098048918471177,-0.04033278800105766,,0.09200247386527363,0.11552887315982868,0.0,,,,
altimeter,2014-09-30,2014-11-30,2014-11-14,3.258096538021482,0.0826246535633525,0.12375568470672034,0.8355700022789573,0.11387153159508279,0.07692307692307693,0.22580645161290322,0.04907415149641643,7.691212359145215,0.3266454469254363,,0.1467816284329497,-0.03717819724823912,,0.05129555020036811,0.07482194949492317,0.0,,,,
berkshire-13f,2014-09-30,2014-11-30,2014-11-14,3.8501476017100584,0.11409105097421708,0.2230318682282848,0.8290436280609753,0.03100862589760034,0.0425531914893617,0.021739130434782608,0.0019036550568681115,11.041459371617728,-0.01342439314326302,,0.09184156074922004,-0.046869816450745505,,-0.07845430306137674,-0.05492790376682169,1.0,,,,
cantillon,2014-09-30,2014-11-30,2014-11-12,3.044522437723423,0.06621634163458007,0.1126888399783902,0.7311078679850358,0.059620484790620876,0.14285714285714285,0.1,0.025848808204582203,7.8180906784377235,-0.05023295784972953,,0.12857282942858633,-0.07849506253514982,,-0.04868264329776479,-0.025156244003209732,1.0,,,,
fisher,2014-09-30,2014-11-30,2014-10-20,6.313548046277095,0.012260615350489529,0.030771888828704037,0.22356234770372768,0.043038102772286924,0.08514492753623189,0.10142348754448399,-0.013801982616092804,6.72264554839235,-0.033630323145937155,,0.08046602190492431,-0.039066725099470956,,0.015069954348457676,0.03859635364301273,0.0,,,,
