model,label,n_rows,n_dates,auc_pooled,auc_cs_mean,auc_cs_t,auc_cs_pct_above,spread_mean,spread_t,brier,brier_base,brier_skill
persist,Persistence (no model),1728,29,0.5215151697931117,0.5220095622374924,0.6215006785429256,0.5862068965517241,-0.024265649846468253,-0.661998212982119,,0.2533074066034007,
logistic,Logistic regression,1728,29,0.4931647130573483,0.4931591198291932,-0.14217868663061714,0.5517241379310345,0.046839155326151086,0.8686034543528407,0.30314363107027126,0.2533074066034007,-0.19674207373216834
xgboost,xgboost (walk-forward),1728,29,0.4906856733082682,0.4957021329912667,-0.08385187719577399,0.5862068965517241,0.0016943957826879375,0.043446343197781984,0.28837455460069883,0.2533074066034007,-0.1384371206018553
