slug,period,formation,n_positions,hhi,top1_w,top10_w,turnover,new_frac,sold_frac,book_growth,crowding,excess_12,excess_36,vol_12,mdd_12,alpha36_t,fwd_excess,fwd_return,y,p_persist,p_base,p_logistic,p_xgboost
cantillon,2014-06-30,2014-08-31,2.99573227355399,0.0698300696855022,0.106232650627105,0.756989136614515,0.178581925301786,0.1,0.1,-0.00198812817715842,7.83189645977728,-0.0646020800628632,,0.132702011113259,-0.0784950625351498,,-0.0358663704900429,-0.0315793436574614,1,,,,
fisher,2014-06-30,2014-08-31,6.33150184989369,0.0121302349216505,0.0328773737156609,0.225850001337174,0.0939990018368851,0.142348754448399,0.0973782771535581,0.0701587667293193,6.64202288065022,-0.0493468300628632,,0.0834087146789366,-0.039066725099471,,0.0131691322762015,0.017456159108783,0,,,,
fundsmith,2014-06-30,2014-08-31,2.77258872223978,0.0704300287597668,0.101153084336771,0.761334709195324,0.092217698951448,0.0625,0,0.128266596717141,8.02929090805045,-0.0470316200628632,,0.0830688113584463,-0.026396076027679,,0.106290311294448,0.11057733812703,0,,,,
yacktman,2014-06-30,2014-08-31,3.85014760171006,0.0528605090806027,0.114497555424912,0.634771763891106,0.045286785766584,0.0425531914893617,0.0425531914893617,0.0243630737715117,10.4270450133783,-0.0288989200628632,,0.0810541940763212,-0.032618013540882,,-0.0107882538392926,-0.0065012270067111,1,,,,
adage,2014-09-30,2014-11-30,6.55393340402581,0.00572276670590532,0.0336227864125745,0.153537501926906,0.185934673591553,0.150997150997151,0.132459970887919,0.0418767881273168,7.49665057896398,0.169320802298874,,0.110666442794593,-0.0286282447852471,,-0.0461820813172133,-0.0226556820226588,1,,,,
akre,2014-09-30,2014-11-30,3.66356164612965,0.0628326883656028,0.106708024562823,0.710356760081271,0.0606586554090067,0.0256410256410256,0.0256410256410256,0.023962248579979,7.73433546988059,0.118497326872576,,0.120980489184712,-0.0403327880010577,,0.0920024738652743,0.115528873159829,0,,,,
altimeter,2014-09-30,2014-11-30,3.25809653802148,0.0826246535633525,0.12375568470672,0.835570002278957,0.113871531595083,0.0769230769230769,0.225806451612903,0.0490741514964164,7.69121235914522,0.326645446925437,,0.14678162843295,-0.037178197248239,,0.0512955502003684,0.0748219494949229,0,,,,
berkshire-13f,2014-09-30,2014-11-30,3.85014760171006,0.114091050974217,0.223031868228285,0.829043628060975,0.0310086258976005,0.0425531914893617,0.0217391304347826,0.00190365505686811,11.0414593716177,-0.0134243931432622,,0.09184156074922,-0.0468698164507455,,-0.078454303061376,-0.0549279037668216,1,,,,
cantillon,2014-09-30,2014-11-30,3.04452243772342,0.0662163416345801,0.11268883997839,0.731107867985036,0.0596204847906209,0.142857142857143,0.1,0.0258488082045822,7.81809067843772,-0.050232957849729,,0.128572829428586,-0.0784950625351498,,-0.0486826432977641,-0.0251562440032097,1,,,,
fisher,2014-09-30,2014-11-30,6.3135480462771,0.0122606153504895,0.030771888828704,0.223562347703728,0.0430381027722872,0.0851449275362319,0.101423487544484,-0.0138019826160928,6.72264554839235,-0.0336303231459365,,0.0804660219049243,-0.039066725099471,,0.0150699543484583,0.0385963536430127,0,,,,
fundsmith,2014-09-30,2014-11-30,2.77258872223978,0.0700288361957107,0.108793417388802,0.749305582573147,0.158425015844186,0.125,0.125,0.0764379995601463,9.58675824953367,0.0548133857385463,,0.0972074769172628,-0.026396076027679,,0.0643881585598397,0.0879145578543941,0,,,,
gardner-russo,2014-09-30,2014-11-30,4.70953020131233,0.0614348553875044,0.103678857045934,0.714371799868957,0.0241967568249578,0.00900900900900901,0.0265486725663717,-0.0185561873977334,7.19816624261023,0.00984310474273881,,0.113648692243992,-0.0562483458117262,,0.0336495020678746,0.057175901362429,0,,,,
harris,2014-09-30,2014-11-30,5.17048399503815,0.019101432929791,0.0472716745764573,0.339496945000756,0.0708582170841486,0.0568181818181818,0.0674157303370787,0.025004026496469,9.50535133287375,0.0481420720014272,,0.110334024005007,-0.047965855097561,,0.00569628898068801,0.0292226882752424,0,,,,
markel-13f,2014-09-30,2014-11-30,4.64439089914137,0.02702302977585,0.0650157522929027,0.427430169441144,0.0633024504407214,0.0384615384615385,0.0476190476190476,0.0109331582980607,7.57637655242083,0.0646588959370265,,0.115530491154214,-0.0492051452855936,,-0.0076464225634603,0.0158799767310941,1,,,,
marshall-wace,2014-09-30,2014-11-30,6.74405918631135,0.00567634969936542,0.0267487809033903,0.15142695512452,0.452384901419614,0.366313309776207,0.410087719298246,0.0201234852341134,6.44923279042734,0.068730474470486,,0.120872851774711,-0.0339399338638173,,0.0423580722761922,0.0658844715707466,0,,,,
polen,2014-09-30,2014-11-30,3.09104245335832,0.0535772119719168,0.0980062017691987,0.603534442112701,0.120404191227933,0.0454545454545455,0.16,-0.0287891859262038,11.2979813461498,0.0324269985917158,,0.104277875224047,-0.0415542661923035,,0.130429894723837,0.153956294018392,0,,,,
pzena,2014-09-30,2014-11-30,4.969813299576,0.0178849349776267,0.0404003734477736,0.287315299392604,0.0598219396230063,0.0416666666666667,0.0142857142857143,0.0153887301246527,7.11754016670893,-0.017196779867932,,0.0890213667839689,-0.0333216380963447,,-0.0044507500678949,0.0190756492266595,1,,,,
sands,2014-09-30,2014-11-30,3.93182563272433,0.0361920954410114,0.067168669175354,0.46772756532378,0.0773212748851112,0.0980392156862745,0.0612244897959184,0.0138891344022348,10.1481549887108,0.0424968711628894,,0.131259895017726,-0.101369753230418,,0.08368004132963,0.107206440624184,0,,,,
semper-augustus,2014-09-30,2014-11-30,3.40119738166216,0.0840573955403156,0.176726808709042,0.725820997159561,0.0608376034988613,0.0333333333333333,0,-0.0433994813414719,8.85275117635872,0.0261466123512271,,0.109897623453021,-0.0500282733914206,,-0.0309821453275347,-0.00745574603298024,1,,,,
tweedy-browne,2014-09-30,2014-11-30,3.89182029811063,0.0484123449138461,0.102156233665289,0.615039983575236,0.0553140787889761,0.0204081632653061,0.0204081632653061,-0.0747586581165311,9.33518211670928,-0.0479486191788232,,0.11815604866972,-0.0548795256791095,,-0.0787652790632578,-0.0552388797687034,1,,,,
valueact,2014-09-30,2014-11-30,2.56494935746154,0.125775982306572,0.230682879567167,0.928969505801006,0.116158486833691,0.153846153846154,0.214285714285714,0.0978089230493622,9.94381293611437,0.083827156365095,,0.0946608839983801,-0.0251073123088817,,0.0560119646984854,0.0795383639930398,0,,,,
yacktman,2014-09-30,2014-11-30,3.93182563272433,0.0544336715004398,0.113503531954238,0.646114140657992,0.0321781641501065,0.117647058823529,0.0425531914893617,0.666846428698056,10.5110842898295,0.0475219348728792,,0.0787654956279397,-0.032618013540882,,-0.0287392363957508,-0.00521283710119633,1,,,,
adage,2014-12-31,2015-02-28,6.55250788703459,0.00503008063436627,0.0264156198296359,0.140022154136618,0.196062615905991,0.156918687589158,0.158119658119658,0.00976091408933396,7.12807507431876,0.133092350320973,,0.118241394250917,-0.0408204696830891,,-0.0144006639410351,-0.0961541782209871,1,,,,
akre,2014-12-31,2015-02-28,3.58351893845611,0.0631039683881098,0.104559853174676,0.708785557612351,0.0580805681058293,0.0555555555555556,0.128205128205128,0.0745172498580407,7.77101279455251,0.109656118740893,,0.124670417053982,-0.0357516363807738,,0.0695152010905292,-0.0122383131894228,0,,,,
altimeter,2014-12-31,2015-02-28,3.29583686600433,0.101354203013773,0.224908865573752,0.826123618661983,0.22421472312118,0.148148148148148,0.115384615384615,0.278154242058592,8.53678910606524,0.147668578921335,,0.13783346526936,-0.0371781972482389,,0.0419868164244302,-0.0397666978555218,0,,,,
berkshire-13f,2014-12-31,2015-02-28,3.85014760171006,0.115847630699751,0.232311172191641,0.82688697876805,0.0583109789327799,0.0851063829787234,0.0851063829787234,0.0145514173722424,11.3294367917919,-0.0443370721581692,,0.103462595346188,-0.0670824992317422,,-0.00863350543997854,-0.0903870197199305,1,,,,
cantillon,2014-12-31,2015-02-28,2.99573227355399,0.0674465849677005,0.107806638585806,0.740155864026423,0.128340704480334,0.15,0.19047619047619,0.0919831757411379,7.56063421416115,-0.038490720402654,,0.0941154891080599,-0.0437505808963392,,-0.0324397668804134,-0.114193281160365,1,,,,
fisher,2014-12-31,2015-02-28,6.37161184723186,0.011589471203694,0.0281477042509299,0.221801795625203,0.0778017215047623,0.131623931623932,0.0797101449275362,0.0305487657797408,6.64981156889299,-0.0243145031405534,,0.0893774638747322,-0.0447308326150273,,0.00814391480032425,-0.0736095994796277,0,,,,
fundsmith,2014-12-31,2015-02-28,2.77258872223978,0.0700083281137678,0.101298616097819,0.751808942060372,0.0380349450251248,0,0,0.18156054692084,8.84319019866095,0.0681899290743601,,0.100921317564859,-0.0264412035164832,,0.141651436994848,0.0598979227148959,0,,,,
gardner-russo,2014-12-31,2015-02-28,4.70048036579242,0.0623424489447112,0.104139754683835,0.719775670969518,0.0288081396575564,0.0363636363636364,0.0450450450450451,0.0330540744024136,7.34974113954696,0.032736726219135,,0.0996601429503196,-0.0331359065866623,,0.064287957325079,-0.0174655569548729,0,,,,
harris,2014-12-31,2015-02-28,5.20948615284142,0.0189138687712282,0.0417253141116405,0.337898865687591,0.0709330484600864,0.0601092896174863,0.0227272727272727,0.055810723230207,9.19537363341266,0.0437912813459321,,0.122208413503502,-0.0537764117468803,,-0.039590617896438,-0.12134413217639,1,,,,
markel-13f,2014-12-31,2015-02-28,4.67282883446191,0.0280104043342805,0.0871959504300808,0.426101233442675,0.126703403778415,0.102803738317757,0.0769230769230769,0.0664971249188506,6.93632688302336,0.0895575226181109,,0.102211917780244,-0.0296022958341884,,0.00705476435822797,-0.074698749921724,0,,,,
