model,n_rows,n_dates,auc_pooled,auc_cs_mean
persist,1728,29,0.521515169793112,0.522009562237492
logistic,1728,29,0.493164713057348,0.493159119829193
xgboost,1728,29,0.494586190026205,0.500644997615742
