feature,label,coverage,dates,ic_mean,ic_t,ic_pct_positive,xgb_gain_share,logistic_coef
n_positions,Positions held (log),1.0,43,-0.09644526990183981,-2.6634066182916514,0.27906976744186046,0.09138602408119316,-0.022749978887351197
hhi,Concentration (HHI),1.0,43,0.027424938318317472,0.8796450936040842,0.5116279069767442,0.035173324539591475,0.00250454253646652
top1_w,Largest position,1.0,43,0.007401669468211749,0.25762532438785074,0.46511627906976744,0.10423240512919962,0.15996113964956546
top10_w,Top-10 weight,1.0,43,0.032306906900329654,1.0276219980456054,0.5581395348837209,0.04411639768005193,-0.18697172385223337
turnover,Quarterly turnover,0.9995888157894737,43,0.09669127067869981,1.1385382072304908,0.6744186046511628,0.05655767044182208,-0.2903082796512203
new_frac,"New names, share of book",0.9995888157894737,43,0.06139234716164078,0.7802084796952344,0.627906976744186,0.027003213157772387,0.06688902773802796
sold_frac,"Names sold, share of last book",0.9995888157894737,43,0.06702285624591536,0.9718845661930365,0.6511627906976745,0.033949403733337026,0.04545026831883483
book_growth,"Book value growth (log, q/q)",0.9995888157894737,43,0.038154271231126954,1.0109149127450596,0.5348837209302325,0.07213026253248127,-0.020454438823502053
crowding,Crowding (managers per name),1.0,43,0.12176197019954924,1.4210714390756731,0.6511627906976745,0.10397216367342807,-0.14515360542014946
excess_12,Trailing 12m excess over market,1.0,43,0.02914452128749296,0.4191641311277756,0.6046511627906976,0.0782753205000612,-0.10203793114926328
excess_36,Trailing 36m excess over market,0.7635690789473685,35,-0.03177485486712512,-0.2938028570489993,0.45714285714285713,0.1349840821287879,0.4872190183957266
vol_12,Trailing 12m volatility,1.0,43,0.1147331509006507,1.8670463735329366,0.6511627906976745,0.07968926825429727,0.06611056453551098
mdd_12,Trailing 12m max drawdown,1.0,43,-0.058180185748618954,-0.934511367313753,0.4186046511627907,0.075243753546524,0.21040957456478274
alpha36_t,Trailing 36m FF3 alpha t,0.7635690789473685,35,0.09751723298786619,1.3063846049579986,0.6,0.0632867106014526,-0.34080678333209136
