month,ticker,weight
2013-10,UNH,0.016921310194447346
2013-10,CAT,0.00925092657796232
2013-10,MSFT,0.012037087158884999
2013-10,HD,0.03401994568722684
2013-10,V,0.010839450464579539
2013-10,MAR,0.02617334017263529
2013-10,GE,0.026553134726522286
2013-10,MCO,0.0047425626307854565
2013-10,SCHW,0.009989947314973236
2013-10,NVO,0.016005520055403868
2013-10,SLB,0.005311443666892292
2013-10,BRK-B,0.16574535760599118
2013-10,DIS,0.046332743023556146
2013-10,DEO,0.06623259080510782
2013-11,UNH,0.01565319828159241
2013-11,CAT,0.009036169234238344
2013-11,MSFT,0.012429118212399042
2013-11,HD,0.0339028453495154
2013-11,V,0.010825825491717341
2013-11,MAR,0.02722389322568444
2013-11,GE,0.028195619186911422
2013-11,MCO,0.004624048850070099
2013-11,SCHW,0.01038730541566473
2013-11,NVO,0.015298609788797867
2013-11,SLB,0.005467207494524981
2013-11,BRK-B,0.1630877003838088
2013-11,DIS,0.047822561331047536
2013-11,DEO,0.06453384084334982
2013-12,UNH,0.01834975380409796
2013-12,CAT,0.008981237177759935
2013-12,MSFT,0.011872271591829693
2013-12,HD,0.03167021042924436
2013-12,V,0.010417416992808431
2013-12,MAR,0.02506822965715765
2013-12,GE,0.02606155030942339
2013-12,MCO,0.004859445572342112
2013-12,SCHW,0.009434767645669986
2013-12,NVO,0.016681028464817154
2013-12,SLB,0.006050185369462817
2013-12,BRK-B,0.16018251488869387
2013-12,DIS,0.04334861997792819
2013-12,DEO,0.06851333601894513
2014-01,UNH,0.018273092513516834
2014-01,CAT,0.00945962027351848
2014-01,MSFT,0.011429541898511437
2014-01,HD,0.03187514617506359
2014-01,V,0.011187580376620298
2014-01,MAR,0.025816785771164447
2014-01,GE,0.027104238813888598
2014-01,MCO,0.005013619095473002
2014-01,SCHW,0.009832575574409084
2014-01,NVO,0.016920274491258203
2014-01,SLB,0.006071633233422375
2014-01,BRK-B,0.15991517693481871
2014-01,DIS,0.046637593054242005
2014-01,DEO,0.06972908918541702
2014-02,UNH,0.01844796148451685
2014-02,CAT,0.010356049946269314
2014-02,MSFT,0.012159211314536589
2014-02,HD,0.03128948672159074
2014-02,V,0.011383463847421765
2014-02,MAR,0.02712534068500564
2014-02,GE,0.0255575826533592
2014-02,MCO,0.005011679399239826
2014-02,SCHW,0.009872082612586248
2014-02,NVO,0.019104905242485756
2014-02,SLB,0.006205846317962011
2014-02,BRK-B,0.15831747852195158
2014-02,DIS,0.04661786413377481
2014-02,DEO,0.06648683692991657
2014-03,UNH,0.018702558117073925
2014-03,CAT,0.008993597750127277
2014-03,MSFT,0.012632207032816646
2014-03,HD,0.031537342092296514
2014-03,V,0.012448455422432267
2014-03,MAR,0.02711461680627424
2014-03,GE,0.029805411546312777
2014-03,MCO,0.005697118414612387
2014-03,CPRT,0.004199686026201589
2014-03,SCHW,0.01063713108487933
2014-03,NVO,0.016725489008461582
2014-03,SLB,0.006416573494914706
2014-03,BRK-B,0.15375098832993117
2014-03,DIS,0.04716523239463135
2014-03,DEO,0.06561733174654884
2014-04,UNH,0.019459202743219797
2014-04,CAT,0.00900449322688533
2014-04,MSFT,0.013205446707719509
