statement_id,account_id,custodian,period_start,period_end,ending_value,beginning_value,stated_deposits,stated_withdrawals,stated_income,stated_fees,stated_pnl,stated_return_pct,source_file,source_pages,notes
TIGER_MANAGEMENT_2017-03,TIGER_MANAGEMENT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-03-01,2017-03-31,1000000.0,,,,,,,,hedge13f,,notional $1m invested at the first rebalance
TIGER_MANAGEMENT_2017-04,TIGER_MANAGEMENT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-04-01,2017-04-30,1040451.04,,,,,,,,hedge13f,,priced coverage 69%
TIGER_MANAGEMENT_2017-05,TIGER_MANAGEMENT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-05-01,2017-05-31,1072942.95,,,,,,,,hedge13f,,priced coverage 69%
TIGER_MANAGEMENT_2017-06,TIGER_MANAGEMENT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-06-01,2017-06-30,1087389.0,,,,,,,,hedge13f,,priced coverage 78%
TIGER_MANAGEMENT_2017-07,TIGER_MANAGEMENT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-07-01,2017-07-31,1112673.58,,,,,,,,hedge13f,,priced coverage 78%
TIGER_MANAGEMENT_2017-08,TIGER_MANAGEMENT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-08-01,2017-08-31,1102410.57,,,,,,,,hedge13f,,priced coverage 78%
TIGER_MANAGEMENT_2017-09,TIGER_MANAGEMENT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-09-01,2017-09-30,1112897.68,,,,,,,,hedge13f,,priced coverage 74%
TIGER_MANAGEMENT_2017-10,TIGER_MANAGEMENT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-10-01,2017-10-31,1146762.7,,,,,,,,hedge13f,,priced coverage 74%
TIGER_MANAGEMENT_2017-11,TIGER_MANAGEMENT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-11-01,2017-11-30,1156080.54,,,,,,,,hedge13f,,priced coverage 74%
TIGER_MANAGEMENT_2017-12,TIGER_MANAGEMENT,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-12-01,2017-12-31,1145161.26,,,,,,,,hedge13f,,priced coverage 78%
