key,label,holds,months,first,last,ann_return,ann_vol,sharpe,max_dd,excess_vs_market,avg_names,avg_turnover,capm_alpha,capm_t,beta,carhart_alpha,carhart_t,carhart_p,b_SMB,b_HML,b_MOM
ALL,Every held stock,"every US stock in any manager's book, equal-weighted",156,2013-09-30,2026-08-31,0.13576259996683748,0.17747574647454512,0.7011827066010465,-0.29435596759842597,-0.006161622185123505,1731.754716981132,0.132639266835586,-0.016303408209369846,-0.9575704430825503,1.1135046869448422,0.009231703993586853,1.0647433157620685,0.2869921026428749,0.4924544672994996,0.17674564203057047,-0.06580872599495392
BEST1,Best ideas (#1),"each manager's largest position, weighted by how many managers name it",156,2013-09-30,2026-08-31,0.14424067065376578,0.17780259149354413,0.7455626221931878,-0.3338052916809632,0.002316448501804791,47.886792452830186,0.3191585896122412,-0.012181311004935183,-0.9967435395381105,1.1439252143627945,-0.009210239400113738,-0.7568777024185911,0.4491231351281839,0.09093924788899245,-0.08529336189822828,0.012826177532816785
BEST3,Top-3 positions,"each manager's three largest positions, pair-weighted",156,2013-09-30,2026-08-31,0.13990059412742828,0.17077777072625203,0.7463224880898566,-0.31783318987834397,-0.0020236280245327087,120.79245283018868,0.25499150648285734,-0.013217536674913977,-1.173650326057516,1.1118377881007981,-0.008968394394100025,-0.847530733887519,0.39669936388257265,0.06378961082979845,-0.06752616388404577,-0.02486624878372716
CROWD_HI,Most crowded,top quintile of held stocks by number of managers holding,156,2013-09-30,2026-08-31,0.13551331170665026,0.1649160705077375,0.7391935363679212,-0.2844583144532066,-0.006410910445310725,346.20754716981133,0.21439762115887953,-0.0137524409521248,-1.3427874365785173,1.0733177412713972,-0.0026920023124275723,-0.3115687667438122,0.7553682739590963,0.1759532007018652,0.07294296233393277,-0.05349632847944852
CROWD_LO,Least crowded,"bottom quintile — held by a single manager, smallest dollar stake",156,2013-09-30,2026-08-31,0.15941721270776332,0.18517906429459738,0.7896137926707312,-0.2778998480947985,0.017492990555802335,346.7169811320755,0.5255054387062391,0.004947129890704711,0.23788030116611686,1.1180951338613752,0.03960826843990459,3.2160796204669886,0.0012995477177489808,0.6869668446433785,0.1696135660229528,-0.07827937527674868
NEW,New positions,stocks a manager bought this quarter that it did not hold last quarter,153,2013-12-31,2026-08-31,0.11129684955818098,0.18410734144417018,0.5597746560327095,-0.35830207175300355,-0.023858334333308306,767.3653846153846,0.6828362465372205,-0.036213410739139404,-2.221563794757336,1.1571766548671505,-0.013241274931049722,-1.12923664897632,0.2587980172791099,0.48530972386371846,0.058596437619284805,-0.024640531077465833
ADD,Added to,positions where shares rose ≥ 25% vs last quarter,153,2013-12-31,2026-08-31,0.13388634069086836,0.17645707431253,0.6926391590570264,-0.28209085771556464,-0.0012688432006209283,719.1923076923077,0.5491214110648127,-0.01265844391113763,-0.9664333702968243,1.1218020292251736,0.00861585251633848,1.0751143608722,0.28232353067828675,0.3471857097236798,0.10946951371235765,-0.09534955884269061
CUT,Trimmed,positions where shares fell ≥ 25% but are still held,153,2013-12-31,2026-08-31,0.12471552172776779,0.17390815522783656,0.6526931773604123,-0.27995400419563665,-0.010439662163721497,658.2884615384615,0.5641371695256591,-0.01974112235648235,-1.452108882814501,1.1085701269527624,-0.0007361887731896456,-0.08695227962505778,0.9307094437138571,0.33786507929909315,0.12409475786057095,-0.06451007708235787
SOLD,Sold out,stocks a manager held last quarter and no longer holds,153,2013-12-31,2026-08-31,0.12259576901127245,0.18344598653110844,0.6156137390382161,-0.3033770091309429,-0.012559414880216835,729.6730769230769,0.6718171662048348,-0.025951110459470163,-1.7154835824675039,1.1546908074382172,0.0006365944774799287,0.07455058528904446,0.940572291875381,0.44708594181691164,0.07645969892328702,-0.11111307914860137
MKT,US market,Ken French total US market (CRSP value-weighted),155,2013-09-30,2026-08-31,0.141924222151961,0.14973770508264947,0.8471677000217176,-0.24844932247034668,0.0,,,,,1.0,,,,,,
