signal,label,quarters,mean_ic,sd_ic,t,share_positive
n_holders,Crowding (managers holding),52,0.02245302064759745,0.056166992935067585,2.882672295721927,0.6730769230769231
best_ideas,Best-idea count (top-3 mentions),52,0.0058615278500945035,0.044373357268508364,0.9525553402773378,0.5576923076923077
avg_weight,Average position weight,52,0.0037313711822896637,0.0449403821649663,0.5987332317802135,0.5961538461538461
net_activity,Net activity (new + adds − trims),51,0.00458575083677882,0.03748816912322778,0.8735772420450156,0.5882352941176471
