formation,n_stocks,n_holders,best_ideas,avg_weight,net_activity
2013-08-31,1060,-0.016087336004469394,-0.0034433191457275756,-0.043151398686750976,
2013-11-30,1083,0.06293116456562317,0.015488413409957243,0.07364722833084923,0.07006264113908763
2014-02-28,1131,0.0570449013256773,0.055438758000929976,0.0272052066231446,-0.037708316984326126
2014-05-31,1172,0.07150607975986628,0.09088050990702753,0.011010730302927815,0.08507914243263727
2014-08-31,1202,0.07953517743435369,0.0569292714308252,-0.009526461620062524,0.0752430383823226
2014-11-30,1211,-0.041396158323761395,-0.07497628481159868,-0.055988740530084825,-0.02112775908677025
2015-02-28,1193,-0.008290961014889985,-0.015087207591080804,0.015551974672215694,0.0057345447839952665
2015-05-31,1212,0.06386281684075872,-0.0053636445542079485,-0.013128635911524257,-0.023173767296237897
2015-08-31,1225,0.0014393854634536152,-0.010960641331132013,-0.03004737309302533,-0.04830124523023162
2015-11-30,1256,0.01720357699877803,-0.0155002568040424,-0.04215017466882087,0.000718002049820664
2016-02-29,1256,-0.04248237403750994,-0.11290238685216597,-0.08410061962796224,-0.03274155682977176
2016-05-31,1272,-0.018384738737179055,-0.01895443670585788,-0.004581108511517651,-0.007811090673868989
2016-08-31,1269,-0.010546386934662673,-0.0345283837743313,-0.03234168397971492,0.028741075705254693
2016-11-30,1303,0.07915480728660987,0.025498901606901717,0.024518440341983735,0.008100858102811418
2017-02-28,1313,0.057222678530275406,0.06021716437209198,0.014891772855685348,0.03413031708068678
2017-05-31,1372,-0.010639523851677164,0.010403887303131387,-0.011544717814376985,0.01800380268762074
2017-08-31,1431,0.03335530242207201,-0.06795831446345933,-0.06093148854822724,0.02102548587448467
2017-11-30,1446,0.12333456424506936,0.06426528921791558,0.10812801597572545,0.019114123024356604
2018-02-28,1502,-0.12622895572693532,-0.05412327629910459,-0.09781921043823022,-0.0511020519779066
2018-05-31,1553,0.06994913893371912,0.010851758805808586,-0.0012080230449831757,0.06135933565839254
2018-08-31,1582,0.01927256425151114,0.012788663128554619,0.006119234835486449,-0.006886570324992919
2018-11-30,1572,0.009247421097292648,0.007914800624916464,0.0040629133113912,-0.004097329984404112
2019-02-28,1639,0.04466965977817961,0.08519014746524008,0.0693863749613155,-0.026379558986537367
2019-05-31,1723,0.08549942273885353,0.05543980879493404,0.05777865814321488,-0.029226847499118993
2019-08-31,1677,0.02704325157815875,-0.018397074204908107,0.0019404101496026049,-0.039441860707924055
2019-11-30,1740,0.00975462330514206,0.027836556804066985,0.031359777797383366,0.044723092238802664
2020-02-29,1773,0.092039435544805,0.04012081421253765,0.046489267877189745,0.027814165686546113
2020-05-31,1765,0.034338818888249606,0.03191542875758403,0.027615055289075326,0.020896633118296638
2020-08-31,1792,-0.030103497309816735,-0.06402392642683545,-0.02395204747200944,0.045554190808534414
2020-11-30,1805,-0.1372426369229196,-0.026285130723643146,-0.08960098307740122,-0.052298325281596565
2021-02-28,1900,0.06242567988101661,-0.019447963999663764,0.01376638853197585,-0.095741290026844
2021-05-31,1943,0.07498234345475338,0.042943454400334174,0.0087016523496923,-0.025986184495007083
2021-08-31,2010,0.05061590639317805,0.00863416421009582,-0.005268433056568526,0.0020067975865250094
2021-11-30,2080,0.002775995319652643,0.00905127030084163,-0.0091398447364536,-0.09448387258065552
2022-02-28,2132,0.011009666827432573,-0.0011319945765366675,-0.023924032615195285,-0.010893804389268154
2022-05-31,2066,-0.010765288160358016,-0.027232513345538268,-0.03294149453952131,0.002554019453987858
2022-08-31,2074,0.06514299888766317,-0.02338003688588199,0.008634919479328894,0.0036822483808744938
2022-11-30,2065,-0.07288212223758408,-0.04263109576540819,-0.04487585488266045,-0.014175594474816998
2023-02-28,2107,0.06270074182673795,0.06819666285855638,0.09766843448747796,0.027909049272745998
2023-05-31,2169,0.05935575298011487,0.00041343612959205187,0.027437859017168182,0.013420976932900943
2023-08-31,2186,0.057459658739915674,0.06494351739706945,0.06514707007052148,0.00328499757952323
2023-11-30,2182,0.07197162308846726,0.05632193271990904,0.05198812680312949,0.05718485348379148
2024-02-29,2184,-0.046194383715944774,-0.008741969581975218,-0.03551058891417517,-0.0025038611837841142
2024-05-31,2248,0.04581210342905886,0.024176260134667383,0.023480877884655495,0.03332310824742187
2024-08-31,2298,0.03999390206011922,0.04062513998356674,0.029910956132955406,0.025608934641458952
2024-11-30,2284,0.04234431000221378,0.020069662558732593,0.057473559109727825,0.01542474610189514
2025-02-28,2324,0.011794730794737628,0.03293732229788355,0.05250870629521306,0.00906387593015019
2025-05-31,2335,-0.0804054619598126,-0.0007736879653878566,-0.06290922013179691,0.04083944192467818
2025-08-31,2398,-0.013604824023176415,0.027357030346010423,0.009355910545767813,0.002203596198153503
2025-11-30,2411,-0.01820078468814787,-0.06781228290370186,-0.040615900278879534,-0.021970499662909496
2026-02-28,2416,-0.02296397345974559,-0.0050551667196828565,-0.02155391161290563,0.010678437260492422
2026-05-31,2469,0.07859943647164067,0.007408840809829455,0.03414307851580681,0.002059506180249947
