formation,managers,n_ALL,priced_ALL,n_BEST1,priced_BEST1,n_BEST3,priced_BEST3,n_CROWD_LO,priced_CROWD_LO,n_CROWD_HI,priced_CROWD_HI,turnover_ALL,turnover_BEST1,turnover_BEST3,turnover_CROWD_LO,turnover_CROWD_HI,n_NEW,priced_NEW,n_ADD,priced_ADD,n_CUT,priced_CUT,n_SOLD,priced_SOLD,turnover_NEW,turnover_ADD,turnover_CUT,turnover_SOLD
2013-08-31,71,1060,0.9733700642791552,35,0.9183673469387754,96,0.9337748344370863,215,0.9862385321100916,206,0.9493087557603686,,,,,,,,,,,,,,,,,
2013-11-30,71,1083,0.9747974797479748,41,0.9245283018867925,105,0.9415584415584416,221,0.9910313901345291,211,0.9504504504504507,0.11446519671795354,0.45209439609952057,0.2695095378436138,0.49783797924684337,0.18664737579289079,517.0,0.9660804020100502,359.0,0.9483394833948338,317.0,0.9584245076586434,438.0,0.9629057187017,,,,
2014-02-28,75,1131,0.9741602067183461,43,0.980769230769231,113,0.9515151515151514,229,0.9828326180257513,224,0.9655172413793106,0.12218958918697753,0.3876774686934887,0.2326142485179222,0.44695109690036716,0.2049969918327568,516.0,0.9669327251995439,403.0,0.9657657657657657,344.0,0.9579158316633265,466.0,0.9476047904191618,0.6504962567635251,0.5354488556734547,0.6028908372253335,0.6206000744112669
2014-05-31,75,1172,0.9742310889443058,42,0.9607843137254903,109,0.9374999999999999,237,0.9834024896265559,232,0.9666666666666666,0.11855708672550694,0.312139129315778,0.28712980887131523,0.523958287183615,0.19980061990719222,587.0,0.9692796610169492,486.0,0.9714656290531777,358.0,0.9572815533980583,491.0,0.9521345407503234,0.6162862543994442,0.5833327824763641,0.5858120737967337,0.6275945648171353
2014-08-31,75,1202,0.9740680713128036,39,0.9411764705882355,107,0.9515151515151514,244,0.9878542510121453,240,0.9756097560975612,0.10376410440587916,0.38836082691503776,0.28488927865032754,0.45928249256537623,0.19102724503659196,576.0,0.9609810479375698,458.0,0.9644381223328591,442.0,0.9587301587301589,530.0,0.9672955974842767,0.6152594302681684,0.5294323292270484,0.5605096300814414,0.6163649485275853
2014-11-30,76,1211,0.971130713712911,46,0.9473684210526316,114,0.9593023255813953,243,0.9720000000000004,238,0.9558232931726911,0.11420037271951682,0.39781002000709037,0.2592539839239021,0.45230597467739386,0.21202982513275706,479.0,0.9520725388601037,485.0,0.9658605974395449,402.0,0.964028776978417,538.0,0.9659781287970838,0.6477829007087257,0.5142634341168576,0.5700816896709155,0.6481375023996823
2015-02-28,80,1193,0.9699186991869915,44,0.9423076923076925,117,0.9651162790697674,241,0.9796747967479678,237,0.9634146341463417,0.12056289014018398,0.3700020970999592,0.26207761439681565,0.5426878938992362,0.19313452750369342,485.0,0.9633152173913042,453.0,0.9634502923976609,417.0,0.9570747217806042,580.0,0.9570957095709571,0.6967890802852821,0.5514158321091129,0.6149618667899999,0.6318650113969149
2015-05-31,80,1212,0.971153846153846,45,0.9655172413793105,106,0.9704142011834321,246,0.9840000000000004,240,0.9638554216867472,0.1045938693967686,0.3995720161493107,0.29891251694996557,0.4651989451074784,0.18815776439500936,564.0,0.9694415173867228,401.0,0.9621993127147769,387.0,0.9630281690140845,533.0,0.9558638083228248,0.6530774147426044,0.5843132552702044,0.5841706048020009,0.6099208207637001
2015-08-31,83,1225,0.9691455696202532,43,0.9661016949152541,114,0.9608938547486031,248,0.9802371541501973,245,0.9722222222222221,0.11670626547543356,0.35661350136658126,0.23513524768718225,0.49816338898398027,0.1925818322366597,549.0,0.9624999999999999,412.0,0.9716088328075709,403.0,0.9686924493554326,556.0,0.9721549636803875,0.6369382031989759,0.5904634976776327,0.5711813599750263,0.6178357800177025
2015-11-30,83,1256,0.9713843774168602,47,0.9523809523809519,112,0.977653631284916,254,0.9806949806949806,253,0.9806201550387597,0.13078810062739893,0.304108147775712,0.29874547218613734,0.5328506583390311,0.19216725849663646,570.0,0.9794285714285716,475.0,0.9632248939179633,390.0,0.9634782608695651,584.0,0.9617903930131002,0.6763748704836512,0.5198449099725003,0.5842106259825925,0.610120577549712
