month,ALL,BEST1,BEST3,CROWD_HI,CROWD_LO,NEW,ADD,CUT,SOLD,MKT,RF
2013-09-30,0.05829011119131883,0.025835756870090237,0.03847153359625821,0.04887944750160962,0.07060142459019879,,,,,0.0377,0.0
2013-10-31,0.03786157164266042,0.05204215149447852,0.04663279960975617,0.03940008771683731,0.040214542975685955,,,,,0.0417,0.0
2013-11-30,0.0324224655179218,0.034996434568218604,0.03327205596806286,0.0320147078684028,0.04288825334388724,,,,,0.0311,0.0
2013-12-31,0.02845247231344679,0.0377940046582747,0.03426545133625394,0.03816011273519076,0.015178833721886708,0.03629765004894435,0.030839543603571058,0.030378373633063647,0.03407184613690742,0.0281,0.0
2014-01-31,-0.02076182104872091,-0.023272128086801763,-0.03214764279244185,-0.021204715305336762,-0.014053041539965862,-0.015008725231507135,-0.023229745738270108,-0.02601646176727999,-0.020476481275121156,-0.0332,0.0
2014-02-28,0.053341835846115654,0.04784019580983331,0.04860507100344989,0.05294387249844373,0.04559275239040689,0.06058404327193503,0.0493722335198917,0.054348880058160826,0.0549149733757445,0.0466,0.0
2014-03-31,0.003894852556378071,-0.0005574629743099985,0.0021895337669242637,-0.0018552369504272255,0.003973689093730006,-0.010095104010310696,0.0036651972356179056,0.002218900415301376,-0.004036242103529275,0.0043,0.0
2014-04-30,-0.014150276655666283,-0.0033786408368096776,0.0020367008886418504,-0.00760090909131913,-0.020561338901249327,-0.016528037930053974,-0.008109113107091741,-0.008658332693532547,-0.013260940193517133,-0.0018,0.0
2014-05-31,0.014092539996290822,0.038721420278081876,0.02774229452277039,0.03143152274175749,0.009097800425443229,0.020545548375324702,0.023099221959800794,0.022156051059691685,0.018778946500719283,0.0204999999999999,0.0
2014-06-30,0.041009201638493364,0.04166524204107416,0.036011664010656114,0.03362957899009369,0.05418757097711163,0.047083420838556045,0.03318063291711029,0.03589872915357966,0.04161581400475199,0.026,0.0
2014-07-31,-0.036619088308432926,-0.00779143262140016,0.004058714127879562,-0.02357147673573472,-0.047610514348322044,-0.03398044642035221,-0.02781349792213659,-0.03111668727864371,-0.034202290115380785,-0.0203,0.0
2014-08-31,0.045860947741122586,0.046525471993609326,0.05213558010707809,0.04838727236309135,0.045567403894127376,0.05231218740824445,0.046264420027143066,0.04576344527844293,0.05059005421462349,0.0424,0.0
2014-09-30,-0.04476852926619407,-0.019792212362039943,-0.016223498209038012,-0.024440548955311815,-0.0638121481662875,-0.03772924430281652,-0.030940014731617678,-0.03765834901610338,-0.03781698741901725,-0.0196,0.0
2014-10-31,0.037785699121190564,0.028160273662916856,0.02169219862661773,0.027752181158591203,0.0512942962841642,0.02865951508398549,0.03555433226619277,0.028876226346944853,0.027281770225201618,0.0250999999999999,0.0
2014-11-30,0.019741731109872977,0.04191787506442947,0.03451044056114684,0.027406665774365367,0.010224949652346745,0.021333137502874782,0.03489959336813953,0.01898329471190443,0.02897374773403729,0.0256,0.0
2014-12-31,0.005498879259793439,-0.02411855552882294,-0.010525258590114807,-0.006221623837545234,0.014179695213757008,-0.0017989723275256189,0.006406429803888394,0.0028762513341040164,0.0017100694521929136,-0.0005,0.0
2015-01-31,-0.02099660649083951,-0.05065647816799937,-0.04255502516361884,-0.027413466138313816,-0.013572963243121898,-0.03386497448247891,-0.024137385632409816,-0.022835927882325482,-0.02162140990797825,-0.031,0.0
2015-02-28,0.061166307534536786,0.05770622192990441,0.05917093914510978,0.0632138267614534,0.07015646507637628,0.06116296850992593,0.06304676385814674,0.06346246501680461,0.06607809258955002,0.0613,0.0
2015-03-31,0.005015704746417895,-0.012950456656228565,-0.011066437769025071,-0.008836084929942962,0.018341583293946136,-0.002620194150091468,-0.0029501712177543134,0.0047130246158032085,-0.006086866547544834,-0.0111,0.0
2015-04-30,0.001518315433578506,-0.01789602938471599,-0.004149883546251924,0.0020255080737765782,0.01172970590649676,0.0063831653848304875,0.002960108278221996,-0.003399706734961927,0.010021013464783067,0.0059,0.0
2015-05-31,0.011907336280902781,0.019092645963574628,0.02184593971585548,0.019080901752490796,0.006536938724895202,0.01895570797353738,0.014497352151964184,0.016904060489210435,0.016789259057205245,0.0137,0.0
2015-06-30,-0.012142247242509343,-0.022856425034011956,-0.023702794761941766,-0.012393618650291574,-0.0013778837432125658,-0.011906316342364198,-0.016343518427068167,-0.009555841267855802,-0.012000169497828816,-0.0152,0.0
2015-07-31,-0.004243851055287443,0.015344859966633487,0.01037780629559893,0.018078857163626526,-0.0286823539956651,0.005105519339888692,0.004979867472216906,0.010439131027114485,-0.00014377979589119672,0.0157,0.0
2015-08-31,-0.06196240080256103,-0.06390073718740891,-0.062243381455598885,-0.058756104931605956,-0.05986794976071839,-0.06897834650548613,-0.060571313847547194,-0.057063672641330526,-0.060777408616448994,-0.0602,0.0
2015-09-30,-0.045811778383174434,-0.04594074429957828,-0.05130367717838597,-0.042132715985701466,-0.05322069258444084,-0.05302736262339182,-0.044576012942259144,-0.048329034014136546,-0.054584333468347755,-0.0306,0.0
2015-10-31,0.06481620963425466,0.10065136218343243,0.07754137775327008,0.07073418276617643,0.06331911219756764,0.05732135506894913,0.06546966469371301,0.07201990290943985,0.07123128635581291,0.0775,0.0
2015-11-30,0.011172495760364696,0.00439947434428755,0.0036024294182707096,0.004080372478826335,0.020760567091120643,0.010912521271866853,0.01368974988103135,0.00964880518027857,0.008257801535424228,0.0056999999999999,0.0
2015-12-31,-0.03523921489908481,-0.015089693937525992,-0.02067265110232846,-0.024646203306283324,-0.04006161000149981,-0.027826204369676047,-0.03335699940506449,-0.03388086359168879,-0.031693843665728035,-0.0214,0.0001
2016-01-31,-0.07378933942037477,-0.08077250375574815,-0.08273255060535574,-0.068622310664188,-0.07143767663341094,-0.07475419255321913,-0.07560624940138679,-0.06998657816422746,-0.08269180605384796,-0.0573,0.0001
2016-02-29,0.019845396330593696,0.008856518745599213,-0.0029644996237368415,0.007194667308907183,0.024897931960406218,0.013469145048498457,0.01546566608378325,0.01295930319039678,0.024367447762673508,-0.00039999999999999996,0.0002
2016-03-31,0.08779152332350859,0.06996630758739109,0.07038950614720035,0.07477300706489937,0.09459541385439925,0.0840447933333884,0.0795552257743391,0.08142137620848569,0.08169746383010956,0.06970000000000001,0.0002
