month,momentum,reversal,low_vol,size,value,profitability,cash_flow,earnings_yield,linear,xgboost
2013-08-31,0.22609781539593735,-0.1635339876643163,-0.1971927964420208,0.24516763865889074,-0.12669038279724698,-0.10265123175492769,0.0473717506326202,-0.13804179673306735,,
2013-09-30,0.10461801557793286,-0.046301205019397544,-0.06352264126270325,-0.07717618259053928,0.021273019212505875,0.05519840028294314,0.003424938474159147,0.06454127122263523,,
2013-10-31,0.07700401192485146,0.04195526372938516,-0.09055866225139836,-0.050433196534427724,0.10918923840852578,-0.011383020690218055,-0.08487343255595921,0.1000555032896403,,
2013-11-30,-0.13667147939271374,0.14688557441863526,-0.13225271131450922,0.13935203761432965,0.1156630699617125,-0.08147216754099376,-0.011850965135418225,-0.003271259408205576,,
2013-12-31,0.07979147142918935,-0.06330282461738754,-0.30023849851739265,0.26445054888525366,-0.14377703744219583,-0.12706514681480416,-0.10082842490443866,-0.2360444784608946,,
2014-01-31,0.19809349776351376,-0.06731302034007655,-0.07192601119115792,0.2563844563103799,-0.07758241605278914,0.1253388232141569,0.07169344197624909,-0.17716003125482024,,
2014-02-28,-0.17426037823280321,0.19317785207912871,0.14424554331247993,-0.21307750875590073,0.3202365715642612,-0.012230931939778526,-0.13346913999403273,0.37163228802269016,,
2014-03-31,-0.3136889370074462,-0.18260054983550816,0.23800783121785124,-0.27638343231308055,0.06892431946100894,0.141132335961672,0.14102629373477557,0.2042508332395256,,
2014-04-30,0.30618132989977564,0.15167218071199337,-0.1359352024727838,0.04902722568064202,-0.23884482031338417,-0.027920914852576466,-0.015987340309370008,-0.214049658178189,,
2014-05-31,0.08961079554122955,-0.09579269884806253,-0.24857348927066428,0.2407294832826748,0.0179754506096697,-0.21567141866848766,-0.11068205789288645,-0.2026721877013954,,
2014-06-30,-0.023194849973923702,0.22238310653818236,0.036148010189086865,-0.2012246929380188,0.0769016701965716,-0.0046577104060268335,0.0888726122114145,0.04681089551768856,,
2014-07-31,-0.010722983120058028,0.1410007949628198,-0.10267182097542538,0.1567474345204631,-0.11433275393764145,-0.008847280641030826,-0.07123835681872463,-0.03466063052977753,,
2014-08-31,0.0034086093224500206,-0.01736557146711566,0.3369103101048137,-0.27066055859317273,-0.05134944970693209,0.15104309425917467,0.061816110937099565,0.1497796110116668,,
2014-09-30,-0.004892441392660439,-0.038621168630944024,0.005926695863784627,0.1206487365154426,-0.14206148121858345,0.1252002436424547,-0.0011461642410906954,-0.05677522209880124,,
2014-10-31,0.06293941007124823,-0.19148534077299048,0.20852423698127842,-0.04740405663241127,-0.16154721274177014,0.08919985472807578,0.005894352845177239,-0.042193750550454046,,
2014-11-30,0.011480997996432417,-0.11869385078376382,0.05932564320546865,0.0872377904332644,0.27785092163929165,-0.10721587188847678,-0.11624513267780157,0.139146984442165,,
2014-12-31,0.18180795414230433,0.06562816842698599,-0.06188545218863119,-0.05475923641260843,-0.3633105266461616,0.07719606324448479,0.05910791288615618,-0.27424947231488,,
2015-01-31,-0.09483722878916878,0.11304635533415297,-0.0807291888586746,0.037447927948290535,0.06844098508149729,-0.10130668767694033,-0.08017629534912192,0.13455472901709573,,
2015-02-28,0.222029215841139,-0.018774974499606748,-0.047455147652674765,0.10718897517892494,-0.023412436660411977,-0.052482527210310465,-0.0314618074606104,-0.03482232202507528,,
