ticker,momentum,reversal,low_vol,size,value,profitability,cash_flow,earnings_yield,linear,xgboost
DPZ,-0.46765004303218716,0.3798377766692949,0.6297691207031726,0.933311646142177,,2.4333951422284135,3.0,0.35801075412175476,2.970334545363009,
KRC,-0.2896330516114675,0.8330271121392611,0.4117367046665489,1.606364002431566,3.0,,-0.43957486093295944,,2.4428886386017132,
ABG,-0.34693865619898273,1.04113081000872,0.6343380435773135,1.6789542992783804,2.926803751133487,-0.04590346737307123,-0.28781354667549863,1.227220378221113,2.4423757104852366,
WDC,3.0,1.824527602546202,-1.6509626619226239,-0.8847193593295248,-0.9237527217973187,3.0,1.8398805693672884,0.41325438092700345,2.3674653351188923,
DPC,,0.9697215472788964,1.5245589048363826,1.3364433781740614,-0.6538567115141286,,,,2.2729198431380326,
VRSN,-0.22504603971455578,0.2661231599862664,0.4521211711746227,0.3647203270458364,,,3.0,,2.2081968059470665,
FICO,-0.49589327876209555,0.03996792960043285,0.03999448108564249,0.39843421205965557,,2.256755191383804,2.815276996157912,0.052694539587739765,2.088149558728765,
GTX,0.8855362373858796,1.474038564753544,-0.6484632701270681,1.4867096220564149,,0.6819707479204626,0.7597146186908734,0.4541737678192013,2.082614146376768,
DECK,-0.4374663776899758,1.1652938206682022,-0.08582226212799254,0.9001723468908911,-0.3764544015216518,1.797009533880814,2.05772269875286,0.73351753155275,2.058530014468398,
TPR,0.13672011065224995,1.981624349746679,0.1411382829584893,0.40582868972893477,-1.0273611167107304,1.4941698452508119,1.9603953414413158,0.4620892597506857,1.9872641702802725,
MA,-0.3082229757512379,-0.021451987703503365,0.9615252075567504,,,,2.06149388921188,,1.9272409810225537,
V,-0.24441373265939068,-0.11132042575113206,0.9245514707309301,,,1.3505463703316656,1.4365455544578012,,1.9210807234519003,
WGO,-0.38343120621506804,0.29539911104679817,0.11821236778812404,2.7079420920952666,3.0,-0.29961505704601843,-0.33419967712765947,0.10124610226834298,1.8624928910426306,
VRSK,-0.49969204430173203,0.28821706993031665,0.8578449579577876,0.3817706302838066,,1.2382508710760745,2.124447686496928,0.16024874421445184,1.8609521014320896,
NYT,-0.06620662571106413,1.170732836224929,0.6159339454224305,,,0.5540494816507593,0.9749093818631155,,1.8601753793439426,
MSCI,-0.2675010734201926,0.23080617126267017,0.799949695010909,0.046655200856088236,,1.3802654826075793,1.8405451202215286,0.08302979149812639,1.68228919432965,
APP,-0.4233202946502852,2.17943621200802,-1.637621224654638,-0.5847206337916095,-1.0195246179181834,2.9483760637839826,3.0,0.1157737915435169,1.6383111680482771,
STX,3.0,0.5350433972852114,-1.77434433475996,-0.9837507642226097,-1.0930139158378307,2.250938485872463,2.6787576933868107,-0.05362492770249652,1.6317361959736165,
DKS,-0.32992126948868705,3.0,0.14496187005134226,,,-0.008416805983479669,-0.10738529478482421,,1.545508599544388,
AS,-0.36159868392542377,1.518481548966554,0.3210437886196621,0.6540604815977725,,,,,1.525917250480176,
TFC,-0.16620694738481948,0.5506655329502192,0.8627915926534273,-0.21161998366916115,3.0,,-0.8565455426206847,,1.5169111768768635,
LULU,-0.6179978750545907,0.1306617856983269,0.2728083101451103,0.8364877175253876,0.3167446316721268,1.13492967809265,0.8958572609047664,1.1300689447093373,1.4671461239518648,
ETSY,0.15713741835899106,0.27715608084181126,-0.07232839669644608,1.2172578209804532,,0.15123293136012572,1.848034302184409,0.001788117467817367,1.4643529948419345,
MO,-0.21313521612296635,0.21774355831019093,0.6428021628189161,-0.6453081440930154,,1.3266618885388946,1.7895645653701462,0.44419393066552304,1.457099433851569,
IDXX,-0.39342462569468045,0.2769001258795483,0.49965611840452623,0.00872060903518014,-0.9938106805998509,2.1551391920082126,2.4308030110949814,0.02819820840233043,1.435911932724694,
MKL,-0.31463659352423073,0.6247468364076229,0.9339583231569869,0.46916043725410467,2.2073500380810716,-0.15857335153423815,-0.5759227829451167,0.8257608493783234,1.4357910394327114,
FLG,-0.19119910752455824,0.824586951156841,0.8616015882744296,1.423135459550534,3.0,-0.421245481512883,-0.9788120557540803,-0.6108149595325728,1.3984039617156991,
META,-0.4811666187829999,-0.019534538609091025,0.6435548816103859,,,0.7129739455460303,1.5822314094150263,,1.3961312873737424,
NVR,-0.4802392194709053,-0.012968496399628415,0.6895662314051832,0.6624254532156445,-0.34599700986213794,1.6323351504081225,1.065058920027261,0.6585393072981591,1.3846303476607769,
YUM,-0.23154728623295234,0.23607595690563113,0.7320714307606615,0.0443057189836115,,1.0889009998076167,1.3270864454184599,0.17929328778618955,1.380976614132285,
RRX,0.031187670512097972,2.327675257046908,-0.6174667277960064,0.9810496782935649,1.4389162171078729,-0.23543427259623034,-0.24716732026852822,0.05470243738222332,1.3362814330561879,
LKQ,-0.5184075711022716,-0.9646612701612548,0.41995660505828025,1.3275925221254792,2.8538479584112872,-0.06801932995300854,-0.2601869373934267,0.8418857362291909,1.300015393699717,
MTDR,-0.27085597416953033,-1.3364490829476148,-0.0001309889030001175,1.243885909426451,2.1090957807909843,0.06343192035473857,0.8156083161862981,0.9557045165202899,1.2815285963097625,
MHK,-0.3415699180204206,-0.1456919610066988,0.3569411467943136,1.1137210242328948,2.7275875768830633,-0.181919819012985,-0.20413450169036712,0.2375884522641456,1.2751771307360507,
MEDP,-0.1089873654140666,-0.030293778812632337,0.11457702002002995,0.6726384784484374,-1.0354952810335591,1.4192724256243359,2.4642128716729497,0.06289708105478287,1.2738543378536311,
LAD,-0.15950379465518594,0.6521205228946986,-0.027416501941050383,1.1636272661679947,1.9793854321666131,-0.1447576958339249,-0.824271330615519,0.9073324636336417,1.2694557781693028,
AIG,-0.2914258161502161,0.4968867649912224,0.742143181657132,0.07277017640273044,2.860761901918848,-0.2469497844607956,-0.7582976680333494,0.6349735827193193,1.2567109424609901,
MAS,-0.2927396223375067,0.11006280200424158,0.2359695162926588,0.761410233039379,,0.8828187312918548,0.9695736797203574,0.38608177669825505,1.2490194841328346,
