feature,2016-08-31,2017-08-31,2018-08-31,2019-08-31,2020-08-31,2021-08-31,2022-08-31,2023-08-31,2024-08-31,2025-08-31,2026-08-31
momentum,0.18934431230356732,0.2080372086402536,0.20320862440766285,0.21874230002741343,0.23130971716223442,0.16861242432807136,0.19049522728588653,0.20315232840268477,0.18972080574858827,0.19869709944526529,0.2219290031180319
reversal,0.1364866199875294,0.13288033785340303,0.14202442091825762,0.12683792817748685,0.13840940034966384,0.11677430588063707,0.14325371287415087,0.15808619951403305,0.14791473905770627,0.15551572251761675,0.13971978378993713
low_vol,0.14614271582483013,0.16166156402373968,0.1514813118542207,0.1345072115193789,0.12145792515134582,0.1588358845342491,0.1538578972535773,0.1337277144536733,0.1433275660034302,0.13579395281615056,0.13808292205944295
size,0.1079083162750403,0.09927663505041659,0.0913072519876415,0.09063451785457893,0.08146323525380181,0.09071428436595076,0.08209086360836108,0.08511032654799872,0.10078043427095798,0.09130726488113866,0.07888009078079308
value,0.11303698163276225,0.10676253088041412,0.0930756799127198,0.11950211331822173,0.1044357663001048,0.1403040747017444,0.11415589796035447,0.07786614088386709,0.0702630966295055,0.0687916810532097,0.10595468605125818
profitability,0.11900425405751212,0.10175227422223619,0.11532075693387872,0.11257218189732045,0.1073843321867762,0.13242959425912643,0.13078589372325533,0.13111192774978275,0.10545352203483088,0.09639508744034173,0.10898430840352297
cash_flow,0.08081880350522594,0.07741160057428384,0.10327223391235664,0.10420103970959944,0.11552189227740667,0.09497825883427226,0.10821591369967108,0.11470609109076618,0.12694531436333525,0.13454661508214147,0.11560581737092648
earnings_yield,0.10725799641353255,0.11221784875525295,0.10030972007326218,0.09300270749600029,0.10001773131866645,0.09735117309594858,0.07714459359474336,0.09623927135719415,0.11559452189164565,0.11895257676413586,0.09084338842608729
