slug,name,manager,cells,factor_set,quantities,max_abs_diff,max_rel_diff,agree,worst_quantity,ff3_alpha_r,ff3_alpha_python,ff3_t_r,ff3_t_python,score_r,score_python
exoduspoint,ExodusPoint Capital,Michael Gelband,89,US,51,2.34479102800833e-13,2.39322121437043e-12,True,t_alpha (FF5),-0.0422421569106941,-0.0422421569106941,-1.77774647319867,-1.77774647319866,0.0,0.0
fairfax-13f,Fairfax Financial (13F holdings),Prem Watsa,38,US,51,1.36557432028894e-14,1.98082241709034e-14,True,t_alpha (FF5),-0.118519043558266,-0.118519043558266,-1.06500910155091,-1.06500910155091,0.0,0.0
farallon,Farallon Capital,Andrew Spokes,80,US,51,2.0119322874378999e-13,4.6770662185224195e-12,True,t_alpha (FF5),0.0007022967586753,0.0007022967586751,0.021577768885948,0.0215777688859409,33.7748397385713,33.7748397385713
fisher,Fisher Investments,Ken Fisher,156,US,51,4.40536496171262e-13,2.92986819491453e-12,True,alpha-maxing score,-0.0002311745662146,-0.0002311745662148,-0.020879870145393,-0.020879870145416,48.2653369976386,48.2653369976391
fundsmith,Fundsmith,Terry Smith,156,US,51,8.29614155151148e-14,3.92690260661667e-13,True,t_alpha (FF5),0.0080945771458893,0.0080945771458892,0.413452300858943,0.413452300858937,54.6368002412534,54.6368002412534
gardner-russo,Gardner Russo & Quinn,Tom Russo,155,US,51,2.23820961764432e-13,6.9012855726135e-14,True,alpha-maxing score,-0.0126796104313433,-0.0126796104313433,-0.737732112398807,-0.737732112398807,20.6634767730873,20.6634767730871
giverny,Giverny Capital,François Rochon,134,US,51,2.23820961764432e-13,3.7517965687370097e-13,True,alpha-maxing score,-0.0245995660525455,-0.024599566052545,-1.43542889864838,-1.43542889864836,18.0891788867514,18.0891788867512
glenview,Glenview Capital,Larry Robbins,101,US,51,2.20767848446712e-13,8.04686084289678e-13,True,t_alpha (FF5),0.0120005783671263,0.0120005783671277,0.37314876315602,0.373148763156062,57.9054878754412,57.9054878754412
gotham,Gotham Asset Management,Joel Greenblatt,125,US,51,2.24875673637825e-13,1.42540840442483e-12,True,t_alpha (FF5),0.0024785993135203,0.0024785993135202,0.229444479226961,0.229444479226951,51.6687613222171,51.6687613222171
greenhaven-road,Greenhaven Road,Scott Miller,77,US,51,9.08717545655691e-14,4.37436152531306e-13,True,t_alpha (FF5),0.0488486186932113,0.0488486186932115,0.382902375849709,0.382902375849711,100.0,100.0
greenlight,Greenlight Capital,David Einhorn,89,US,51,2.01838545876853e-13,2.81533343636783e-13,True,t_alpha (FF5),0.044888482891624,0.0448884828916241,0.867099574723281,0.867099574723282,99.1873166527071,99.1873166527071
harris,Harris Associates (Oakmark),Bill Nygren,155,US,51,2.27373675443232e-13,3.09440285053918e-13,True,alpha-maxing score,-0.0186583962115913,-0.0186583962115911,-0.99671309928976,-0.99671309928975,41.5220851452449,41.5220851452446
