factor,vol_ann,mean_ret_ann,t
cash_flow,0.042714075552783094,0.01822203817066302,1.0667089438063533
earnings_yield,0.07574338219177043,-0.01845627181847767,-0.595400372297881
ind:Basic Materials,0.13213216992436372,-0.023383167469507585,-0.4041674622399179
ind:Communication Services,0.1313767535134575,-0.07152966399269986,-1.3003057232498532
ind:Consumer Cyclical,0.07200404507415353,-0.044932486685536295,-1.2357944547129303
ind:Consumer Defensive,0.10542978761014514,-0.0493728891035128,-1.0775280390257358
ind:Energy,0.2527937958163212,0.15141748434572763,1.3321999217665377
ind:Financial Services,0.09043766426156914,0.006301240253749906,0.17155949759278855
ind:Healthcare,0.11179222211074942,-0.002480470119261549,-0.055800402256767925
ind:Industrials,0.08259457483624408,0.06645508808052156,1.9482941238426599
ind:Real Estate,0.13659844522039744,-0.04943427941390173,-0.7134602233940616
ind:Technology,0.11952930109617832,0.005299847599731702,0.10931602899397548
ind:Unknown,0.11177515318864284,-0.012359746144347535,-0.2746044075683798
ind:Utilities,0.15025294923928165,0.11667728049189238,1.7850382795884399
low_vol,0.08284920499327114,0.00847035501489049,0.227599562614999
market,0.15716535138902418,0.0967722703173566,1.2279040870612241
momentum,0.09057869747913959,0.06935180588553891,1.912544732538651
profitability,0.06646192111386744,0.006021187820704633,0.20837330328288503
reversal,0.05483223002577009,-0.022864229913893513,-0.9875284683595751
size,0.03547679820297254,-0.013494448881604617,-0.9310288541948584
value,0.04924426718007929,0.029385170991144467,1.3092400185221797
