month,r2
2013-08-31,0.24463268189805631
2013-09-30,0.13727846200867888
2013-10-31,0.16912269353618958
2013-11-30,0.24347646027417813
2013-12-31,0.3949037495764647
2014-01-31,0.11697622784781847
2014-02-28,0.21198148835050368
2014-03-31,0.36837357253010883
2014-04-30,0.27474957697044033
2014-05-31,0.1739142599862894
2014-06-30,0.23348693727930014
2014-07-31,0.12482864109243552
2014-08-31,0.2622672380215524
2014-09-30,0.18180242800183366
2014-10-31,0.3357937340203756
2014-11-30,0.13748907697727308
2014-12-31,0.22527454667510072
2015-01-31,0.13692133885231805
2015-02-28,0.18025151153769248
2015-03-31,0.27017356435165885
2015-04-30,0.26234314984573537
2015-05-31,0.22275903633895078
2015-06-30,0.252543192371272
2015-07-31,0.13043278181096074
2015-08-31,0.35025132926111047
2015-09-30,0.15325815389585162
2015-10-31,0.1244657164289602
2015-11-30,0.41758346137758295
2015-12-31,0.28391506284589874
2016-01-31,0.2452897732747994
2016-02-29,0.1687292612154433
2016-03-31,0.2733736336373237
2016-04-30,0.15426784838444418
2016-05-31,0.3509242367955713
2016-06-30,0.26121380649733283
2016-07-31,0.2478865515743468
2016-08-31,0.18468114920663203
2016-09-30,0.23213606978282064
2016-10-31,0.3486934236964371
2016-11-30,0.16217776861089195
2016-12-31,0.16888149450471235
2017-01-31,0.21282456703599506
2017-02-28,0.20061061623462506
2017-03-31,0.13902598843557745
2017-04-30,0.23242178162634575
2017-05-31,0.348554516949527
2017-06-30,0.14562598867786491
2017-07-31,0.1513243008584002
2017-08-31,0.18826833221508277
2017-09-30,0.2924300250283718
2017-10-31,0.10321681445608288
2017-11-30,0.21211381540606544
2017-12-31,0.22590036065188757
2018-01-31,0.27857783967707483
2018-02-28,0.1592097151551869
2018-03-31,0.1730589162747702
2018-04-30,0.24361388032400444
2018-05-31,0.2478865997893389
2018-06-30,0.19350743040309681
2018-07-31,0.26458847270679997
2018-08-31,0.17497138567324766
2018-09-30,0.19683968351129966
2018-10-31,0.19119621358616368
2018-11-30,0.12710073339876027
2018-12-31,0.22397371830787993
2019-01-31,0.18814794959730308
2019-02-28,0.11622741727815666
2019-03-31,0.25838841023932224
2019-04-30,0.2733791889739008
2019-05-31,0.22002352277679105
2019-06-30,0.12421560859468928
2019-07-31,0.30243704425658957
2019-08-31,0.24153821710765
2019-09-30,0.1386959043441508
2019-10-31,0.1642308068961813
2019-11-30,0.14906838442177084
2019-12-31,0.22836890139509614
2020-01-31,0.14725919044611402
2020-02-29,0.4686423407475213
2020-03-31,0.30644606811545105
2020-04-30,0.1805563683926351
2020-05-31,0.2921408395093884
2020-06-30,0.15271490187458192
2020-07-31,0.23217362173973444
2020-08-31,0.17313035840268742
2020-09-30,0.10951345807973112
2020-10-31,0.4177686596474097
2020-11-30,0.09637895557616472
2020-12-31,0.26674448441398835
2021-01-31,0.28581441307091393
2021-02-28,0.3420000932247229
2021-03-31,0.10885035043907454
2021-04-30,0.2151810000355905
2021-05-31,0.2571642712974719
2021-06-30,0.2953017740788283
2021-07-31,0.07353133375129783
2021-08-31,0.18891462309167084
2021-09-30,0.09286594082454502
2021-10-31,0.18032654264886683
2021-11-30,0.32613086602255303
2021-12-31,0.49617850774011163
2022-01-31,0.14239652710783313
2022-02-28,0.20226409278262436
2022-03-31,0.42456238866144935
2022-04-30,0.26283651911650807
2022-05-31,0.18728416909715284
2022-06-30,0.3058549325236307
2022-07-31,0.14908064238345586
2022-08-31,0.19312890614912437
2022-09-30,0.20465405184340324
2022-10-31,0.17819982105577448
2022-11-30,0.207880394120055
2022-12-31,0.5296588164747305
2023-01-31,0.08884652429441109
2023-02-28,0.23420867286504876
2023-03-31,0.25745295848047167
2023-04-30,0.3169667769095771
2023-05-31,0.16792738810566077
2023-06-30,0.3493489822222323
2023-07-31,0.12237950597057834
2023-08-31,0.13634533275813687
2023-09-30,0.2179160088393275
2023-10-31,0.20181921540985426
2023-11-30,0.23398911974164638
2023-12-31,0.29576951645114014
2024-01-31,0.11766977576268178
2024-02-29,0.18955292214471775
2024-03-31,0.11630401312173888
2024-04-30,0.1033285627446584
2024-05-31,0.18356065132111143
2024-06-30,0.19114051531500043
2024-07-31,0.12636950310928774
2024-08-31,0.20328564583255548
2024-09-30,0.1278494505817276
2024-10-31,0.16057908186117165
2024-11-30,0.08679297005215159
2024-12-31,0.1753588528920661
2025-01-31,0.1330447279776491
2025-02-28,0.26820652764054187
2025-03-31,0.2124230597454494
2025-04-30,0.19145679936996574
2025-05-31,0.1753641983258979
2025-06-30,0.11934130623951311
2025-07-31,0.1897546304035329
2025-08-31,0.22311248958888708
2025-09-30,0.23270824114350752
2025-10-31,0.17701122341178788
2025-11-30,0.10550974869554952
2025-12-31,0.16698826028115898
2026-01-31,0.24949985375903483
2026-02-28,0.2288515997877777
2026-03-31,0.34168496414616145
2026-04-30,0.30339866337819776
2026-05-31,0.18565874463907794
2026-06-30,0.45231298850592383
2026-07-31,0.2681123015866562
