month,cash_flow,earnings_yield,ind:Basic Materials,ind:Communication Services,ind:Consumer Cyclical,ind:Consumer Defensive,ind:Energy,ind:Financial Services,ind:Healthcare,ind:Industrials,ind:Real Estate,ind:Technology,ind:Unknown,ind:Utilities,low_vol,market,momentum,profitability,reversal,size,value
2013-08-31,0.022535230819781683,0.0028062139870319637,0.02794340313656054,0.031351978926743046,-0.009265785705490266,-0.01664005520546256,-0.026072954982376495,0.007187613259769004,-0.0023927536086462073,0.006227756332959929,0.033792290187344635,0.0006295552627724628,-0.012092819491127211,0.003989687357874784,0.0008780632157728606,0.05016544589098111,0.019823891551417297,-0.013270077953567461,-0.01067085053743737,0.005880864822767504,-0.001422187496339473
2013-09-30,0.001238699088735177,0.0038439946208722797,0.01682881755457708,-0.011091713235148534,-0.020514070863236374,0.02050663103851142,0.0348808933930716,-0.00026298207106371804,-0.0038198455294287488,0.010235902525869133,-0.02270999921532818,-0.012341307803054041,0.010407897476368212,0.016286329472666703,-0.005170536491175427,0.03931927032563957,0.01816412567245785,0.006260145385387238,-0.0022799908571248455,-0.005455955336356985,0.0037894772505832706
2013-10-31,-0.008043907833609448,0.005645829022688715,-0.03141520789621277,-0.02524889762671354,0.010200619917799037,-0.016275932341427945,-0.010988685128929051,0.004082387841760558,0.006258497168256318,0.021260650525109254,-0.010982223053528094,-0.0004971242212638443,-0.04174208517855403,-0.11164013502985357,-0.007748741413137086,0.0337142560070239,0.007763112809836893,0.009228125718240755,0.0015977216613694356,-0.0061475991342076685,0.007333068509643698
2013-11-30,0.0035355233530679217,-4.860457471472884e-05,0.0027039751756065176,0.04279135298626598,-0.0007150555637896398,-0.0165771680583278,0.0027170153951911868,-0.0057595594652708635,-0.02032348724741255,0.005088935951798849,-0.0009764662526324394,0.009773362473516008,0.0321687115099127,0.020384553643327225,-0.013805496131254286,0.037246306773995014,-0.012748379817125706,-0.008517932744890822,0.009526388481442542,0.0004002820034606172,0.003547013514706396
2013-12-31,-0.008077050670677299,-0.008954518750013905,-0.02433746600669474,-0.039815723842452536,-0.01018296857066329,-0.014820610867733367,-0.0078045917866738455,-0.025155199625015275,0.03840403835030331,0.012066786616874759,0.014079445536529912,0.02476013176316217,-0.013315205345478521,-0.005051789471183808,-0.02769768557433238,-0.02065968115111244,-0.002067005124921407,-0.008196196436659456,-0.002534707346201415,0.00518878925047825,-0.007683679787723007
2014-01-31,-0.0076475346044005636,-0.01871931628012255,0.03545101194290918,-0.029230153360148035,0.019036055849151724,-0.008759907832980909,0.0031667296022438044,-0.022100589580810587,0.00649220401678121,-0.007255465600828217,-0.0035611991375483986,0.010717061622569607,0.03127964932244609,-0.027771118375615855,0.006329445003145041,0.05540164124769849,0.010295976010806967,0.01895829717746978,0.000675883324507412,0.013149928556600797,0.010600908733142431
2014-02-28,-0.007493833682058356,0.012955414291617116,0.013024283224495184,-0.04450250162261198,-0.0024689684799555156,0.004768631209192296,0.02883410426312179,0.0043566421756832405,-0.008200504125352634,0.003663451612016397,-0.0183810670201009,-0.0012861092999335375,-0.031136180711923908,0.056809462659221446,-0.004021783906148882,-0.0017333549594342008,-0.006621585560817503,0.0021089388037354496,0.006174756369848399,-0.007798497307267154,0.005764842152801765
2014-03-31,0.003288561870653073,0.011773492264969125,0.020580804476300608,-0.00484527200843592,-0.02158140564301269,0.02036562842604724,0.061627742652017835,-0.02159668490633787,-0.008542787736383162,0.008147920622021855,0.018191056844314563,-0.005240157434020195,-0.01290204447999993,0.06437980575975105,0.003731793772098764,-0.00896477682091592,-0.004933828422824155,0.005845474254578789,0.0002003739703440046,-0.006739413735212286,0.0038811563273505097
2014-04-30,-0.007324510520482058,-0.00731740383344672,-0.015250795084475712,0.030498270436683468,-0.006229078389645754,0.0007756865524098177,-0.0011183959133061116,0.0016097700958193888,0.0017829238434813835,-0.014443848468468625,0.04179180874099226,0.003035226931960049,-0.013191002816697144,0.029468903049521496,-0.0034692157424162317,0.03143038686374318,0.024977992895206642,0.004520104355606915,0.005242313730490801,-0.0031157706880706707,-0.013086982262647186
2014-05-31,0.0023865390801212838,0.0037122913817575214,0.00015661467887820486,-0.007171345940874608,-0.0012216259519228726,-0.008843472498129553,0.02442242098992496,0.0017921472061631519,-0.010380970868283785,-0.011367130202070206,-0.013453252635527482,0.011496083527133124,0.01806195588706937,0.025454106107566016,-0.009759374455222345,0.03299366995637768,0.0033686373788686273,-0.013402081903925408,-0.005371504264429091,0.00894180916515736,-0.006948232855742349
