ticker,specific_vol_ann
SNDK,1.3029668591458843
TNGX,0.8228449408538838
ALAB,0.7803907219050491
BE,0.7430970268300804
PARA,0.7267577372004026
INSM,0.7208113702289277
GDS,0.7121762444816001
HTZ,0.702045546772466
ARM,0.6977141319195377
LITE,0.681977603091774
DNA,0.6767639409600044
BFLY,0.6671307886479181
FIGR,0.6480179789583917
OPEN,0.6364688603274637
ACHC,0.624783627848609
GH,0.6229531819091073
DOCN,0.6203506958215488
IOVA,0.6142848332288593
INTC,0.6036393292103474
SRPT,0.6036217218835811
OSCR,0.6022254389141428
APP,0.5991474499238628
CRWV,0.5982973912961648
COGT,0.5654288228585005
CIEN,0.5587889649993402
KLAC,0.5540250943270509
LI,0.550470186110959
ECHO,0.548877885096891
CHYM,0.5482216749985329
U,0.5461167991334864
MU,0.5412939054215478
EVH,0.539394627328129
RIOT,0.5390020151381226
RDDT,0.5384982946538627
RBLX,0.531044091487939
CVNA,0.5223116503420231
FROG,0.5211995801188424
EXFY,0.5200675800820518
BEKE,0.5193515938134609
BHC,0.5158626240230214
TUYA,0.5144473631573488
SNOW,0.5114486428374667
BZ,0.5099274475784403
PTON,0.5078933064766668
OKTA,0.5052718358479444
AMD,0.5043999425956535
COMP,0.5042625431953053
AFRM,0.5029277249127494
DDOG,0.5028190679805283
STNE,0.5014582163396478
SNAP,0.5001123827854307
W,0.4990518771022584
FIG,0.49866300976371364
RUN,0.4979072276986667
CHGG,0.49130149389327094
IONS,0.4858381779746477
AA,0.48322634765146555
RIVN,0.4819208130016154
CLF,0.48110629051262277
FSLR,0.48092163005575084
TEAM,0.4797997777461835
GTM,0.4795574062685814
SMCI,0.47725989148221765
ALNY,0.4729510085696962
DLO,0.4686786794500095
AMAT,0.4670956264858092
GLW,0.46681663901452014
ENPH,0.462478773775276
DIDIY,0.4587291031854649
BABA,0.4559098708674162
FIVE,0.4553113619922151
NOK,0.45247912318126754
VRT,0.4522903315201806
FTCHQ,0.4522744663
FUTU,0.4497910900129309
HIMS,0.44901052058322627
TSLA,0.4480135559890071
PAGS,0.4449351321272695
AAP,0.4427499344839061
MDB,0.4417702937067629
LYFT,0.44100445928883597
NIO,0.44079074798389767
MNDY,0.4382676107011736
BILL,0.4373546496658607
JBLU,0.43663834722616296
WGS,0.4339981812766959
GFS,0.43157707823501534
MQ,0.43153076760719816
